Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, U, Y, T1, T2, T3, T4, T5, T6, R, L2, D, L3
INVAR-1, Run: 001, F, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 002, F, 0, 0, 0, 10, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 003, F, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 004, F, 0, 10, 0, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0, 0, 1, 1, 0, 49, 0
INVAR-1, Run: 005, F, 0, 10, 0, 0, 0, 85, 15, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 006, F, 0, 10, 0, 0, 2, 74, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 17, 0, 6
INVAR-1, Run: 007, F, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 008, F, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 009, F, 0, 10, 0, 0, 0, 87, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 11, 0, 2
INVAR-1, Run: 010, F, 10, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 011, F, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 012, F, 0, 10, 0, 0, 0, 98, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 1
INVAR-1, Run: 013, F, 0, 10, 0, 0, 0, 97, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 014, F, 0, 10, 0, 0, 0, 92, 8, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 015, F, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 016, F, 0, 10, 0, 0, 0, 0, 0, 1, 100, 0, 2, 0, 1, 0, 1, 1, 0, 46, 0
INVAR-1, Run: 017, P, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 1, 0, 2, 0, 0, 1, 0, 47, 0
INVAR-1, Run: 018, F, 0, 10, 0, 0, 0, 94, 6, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 019, F, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 020, P, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 0, 1, 1, 1, 0, 1, 0, 47, 0
INVAR-1, Run: 021, F, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 022, F, 0, 10, 0, 0, 0, 97, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 023, F, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 024, F, 0, 10, 0, 0, 0, 99, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
INVAR-1, Run: 025, F, 0, 10, 0, 0, 0, 98, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
INVAR-1, Run: 026, F, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 027, F, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 028, F, 0, 10, 0, 0, 0, 92, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 2
INVAR-1, Run: 029, P, 10, 0, 0, 0, 0, 0, 0, 6, 100, 1, 1, 0, 2, 0, 2, 1, 0, 44, 0
INVAR-1, Run: 030, P, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 1, 0, 0, 0, 1, 1, 0, 48, 0
INVAR-1, Run: 031, F, 0, 10, 0, 0, 0, 93, 5, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 1
INVAR-1, Run: 032, F, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 033, F, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 034, F, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 035, F, 0, 10, 0, 0, 0, 97, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 036, F, 0, 10, 0, 0, 0, 92, 8, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 037, F, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 038, F, 0, 10, 0, 0, 0, 98, 1, 0, 1, 20, 12, 10, 4, 2, 1, 1, 0, 1, 0
INVAR-1, Run: 039, F, 0, 10, 0, 0, 0, 87, 12, 0, 1, 27, 6, 6, 4, 4, 1, 1, 0, 2, 0
INVAR-1, Run: 040, F, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 041, F, 0, 0, 0, 10, 0, 94, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 1
INVAR-1, Run: 042, P, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 0, 1, 0, 0, 2, 1, 0, 47, 0
