Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, U, Y, T1, T2, T3, T4, T5, T6, R, L2, D, L3
INVAR-1, Run: 001, P, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 002, P, 0, 0, 0, 10, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 003, P, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 004, P, 0, 10, 0, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0, 0, 1, 1, 0, 49, 0
INVAR-1, Run: 005, P, 0, 10, 0, 0, 0, 85, 15, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 006, P, 0, 10, 0, 0, 2, 74, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 17, 0, 6
INVAR-1, Run: 007, P, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 008, P, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 009, P, 0, 10, 0, 0, 0, 87, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 11, 0, 2
INVAR-1, Run: 010, P, 10, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 011, P, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 012, P, 0, 10, 0, 0, 0, 98, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 1
INVAR-1, Run: 013, P, 0, 10, 0, 0, 0, 97, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 014, P, 0, 10, 0, 0, 0, 92, 8, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 015, P, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 016, P, 0, 10, 0, 0, 0, 0, 0, 1, 100, 0, 2, 0, 1, 0, 1, 1, 0, 46, 0
INVAR-1, Run: 017, P, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 1, 0, 2, 0, 0, 1, 0, 47, 0
INVAR-1, Run: 018, P, 0, 10, 0, 0, 0, 94, 6, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 019, P, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 020, P, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 0, 1, 1, 1, 0, 1, 0, 47, 0
INVAR-1, Run: 021, P, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 022, P, 0, 10, 0, 0, 0, 97, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 023, P, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 024, P, 0, 10, 0, 0, 0, 99, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
INVAR-1, Run: 025, P, 0, 10, 0, 0, 0, 98, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
INVAR-1, Run: 026, P, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 027, P, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 028, P, 0, 10, 0, 0, 0, 92, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 2
INVAR-1, Run: 029, P, 10, 0, 0, 0, 0, 0, 0, 6, 100, 1, 1, 0, 2, 0, 2, 1, 0, 44, 0
INVAR-1, Run: 030, P, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 1, 0, 0, 0, 1, 1, 0, 48, 0
INVAR-1, Run: 031, P, 0, 10, 0, 0, 0, 93, 5, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 1
INVAR-1, Run: 032, P, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 033, P, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 034, P, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 035, P, 0, 10, 0, 0, 0, 97, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 036, P, 0, 10, 0, 0, 0, 92, 8, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 037, P, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 038, P, 0, 10, 0, 0, 0, 98, 1, 0, 1, 20, 12, 10, 4, 2, 1, 1, 0, 1, 0
INVAR-1, Run: 039, P, 0, 10, 0, 0, 0, 87, 12, 0, 1, 27, 6, 6, 4, 4, 1, 1, 0, 2, 0
INVAR-1, Run: 040, P, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 041, P, 0, 0, 0, 10, 0, 94, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 1
INVAR-1, Run: 042, P, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 0, 1, 0, 0, 2, 1, 0, 47, 0
INVAR-1, Run: 043, P, 0, 0, 0, 10, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 044, P, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 045, P, 0, 0, 0, 10, 0, 95, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 2
INVAR-1, Run: 046, P, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 047, P, 0, 10, 0, 0, 4, 85, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 7, 0, 1
INVAR-1, Run: 048, P, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 049, P, 0, 10, 0, 0, 0, 95, 5, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 050, P, 0, 10, 0, 0, 0, 0, 0, 1, 100, 0, 1, 0, 0, 0, 1, 1, 0, 48, 0
INVAR-1, Run: 051, P, 0, 10, 0, 0, 0, 96, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 4, 0, 0
INVAR-1, Run: 052, P, 0, 10, 0, 0, 0, 91, 9, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 053, P, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 054, P, 0, 0, 0, 10, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 055, P, 0, 10, 0, 0, 3, 62, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 22, 0, 11
INVAR-1, Run: 056, P, 0, 10, 0, 0, 0, 96, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 1
INVAR-1, Run: 057, P, 0, 10, 0, 0, 0, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 1
INVAR-1, Run: 058, P, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 059, P, 0, 10, 0, 0, 0, 83, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 14, 0, 3
INVAR-1, Run: 060, P, 10, 0, 0, 0, 0, 93, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 4
INVAR-1, Run: 061, P, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 0, 2, 2, 0, 0, 1, 0, 46, 0
