Input Number, Run_Number, Result@ 100, X1, H, PO, CE, Y, D, CO, PE, A, M, B
1, Run: 065, F, 18, 2, 0, 89, 89, 580, 0, 3, 0, 0, 0
1, Run: 066, F, 18, 2, 4, 16, 16, 687, 0, 2, 0, 0, 0
1, Run: 067, F, 18, 3, 3, 27, 27, 656, 0, 2, 0, 0, 0
1, Run: 068, F, 18, 3, 3, 24, 24, 642, 0, 2, 0, 0, 0
1, Run: 069, F, 18, 5, 3, 24, 24, 674, 0, 2, 0, 0, 0
1, Run: 070, F, 18, 2, 4, 20, 20, 655, 0, 2, 0, 0, 0
1, Run: 071, F, 18, 2, 2, 28, 28, 637, 0, 2, 0, 0, 0
1, Run: 072, F, 18, 4, 2, 21, 21, 655, 0, 2, 0, 0, 0
1, Run: 073, F, 18, 4, 4, 10, 10, 655, 0, 2, 0, 0, 0
1, Run: 074, F, 18, 4, 2, 31, 31, 634, 0, 3, 0, 0, 0
1, Run: 075, F, 18, 5, 3, 20, 20, 658, 0, 2, 0, 0, 0
1, Run: 076, F, 18, 6, 4, 21, 21, 641, 0, 2, 0, 0, 0
1, Run: 077, F, 18, 3, 3, 23, 23, 644, 0, 2, 0, 0, 0
1, Run: 078, F, 18, 1, 3, 20, 20, 666, 0, 2, 0, 0, 0
1, Run: 079, F, 18, 3, 3, 21, 21, 652, 0, 2, 0, 0, 0
1, Run: 080, F, 18, 5, 3, 15, 15, 672, 0, 0, 0, 0, 0
1, Run: 081, F, 18, 6, 2, 36, 36, 626, 0, 3, 0, 0, 0
1, Run: 082, F, 18, 5, 5, 16, 16, 657, 0, 3, 0, 0, 0
1, Run: 083, F, 18, 5, 3, 38, 38, 656, 0, 4, 0, 0, 0
1, Run: 084, F, 18, 1, 3, 26, 26, 651, 0, 3, 0, 0, 0
1, Run: 085, F, 18, 4, 4, 16, 16, 671, 0, 2, 0, 0, 0
1, Run: 086, F, 18, 4, 4, 17, 17, 665, 0, 2, 0, 0, 0
1, Run: 087, F, 18, 4, 2, 34, 34, 636, 0, 3, 0, 0, 0
1, Run: 088, F, 18, 5, 3, 21, 21, 611, 0, 3, 0, 0, 0
1, Run: 089, F, 18, 4, 4, 28, 28, 640, 0, 3, 0, 0, 0
1, Run: 090, F, 18, 3, 3, 24, 24, 632, 0, 2, 0, 0, 0
1, Run: 091, F, 18, 6, 4, 11, 11, 670, 0, 3, 0, 0, 0
1, Run: 092, F, 18, 1, 1, 30, 30, 639, 0, 1, 0, 0, 0
1, Run: 093, F, 18, 5, 3, 29, 29, 649, 0, 3, 0, 0, 0
1, Run: 094, F, 18, 2, 2, 26, 26, 639, 0, 4, 0, 0, 0
1, Run: 095, F, 18, 6, 2, 37, 37, 620, 0, 3, 0, 0, 0
1, Run: 096, F, 18, 2, 4, 19, 19, 669, 0, 2, 0, 0, 0
1, Run: 097, F, 18, 5, 5, 14, 14, 663, 0, 1, 0, 0, 0
1, Run: 098, F, 18, 3, 1, 30, 30, 640, 0, 2, 0, 0, 0
1, Run: 099, F, 18, 3, 1, 61, 61, 606, 0, 4, 0, 0, 0
1, Run: 100, F, 18, 5, 5, 15, 15, 660, 0, 2, 0, 0, 0
10, Run: 001, F, 200, 10, 10, 29, 29, 1182, 0, 7, 0, 0, 0
10, Run: 002, F, 200, 7, 9, 29, 29, 1212, 0, 6, 0, 0, 0
10, Run: 003, F, 200, 9, 5, 40, 40, 1199, 0, 7, 0, 0, 0
10, Run: 004, F, 200, 10, 12, 25, 25, 1173, 0, 6, 0, 0, 0
10, Run: 005, F, 200, 11, 11, 20, 20, 1234, 0, 6, 0, 0, 0
10, Run: 006, F, 200, 13, 13, 30, 30, 1185, 0, 9, 0, 0, 0
10, Run: 007, F, 200, 9, 7, 38, 38, 1206, 0, 8, 0, 0, 0
10, Run: 008, F, 200, 15, 15, 30, 30, 1202, 0, 6, 0, 0, 0
10, Run: 009, F, 200, 7, 11, 16, 16, 1199, 0, 3, 0, 0, 0
10, Run: 010, F, 200, 8, 8, 35, 35, 1182, 0, 9, 0, 0, 0
10, Run: 011, F, 200, 11, 11, 19, 19, 1217, 0, 5, 0, 0, 0
10, Run: 012, F, 200, 11, 11, 24, 24, 1226, 0, 4, 0, 0, 0
10, Run: 013, F, 200, 9, 7, 24, 24, 1202, 0, 4, 0, 0, 0
10, Run: 014, F, 200, 7, 9, 35, 35, 1213, 0, 9, 0, 0, 0
10, Run: 015, F, 200, 9, 7, 27, 27, 1182, 0, 8, 0, 0, 0
10, Run: 016, F, 200, 7, 11, 22, 22, 1230, 0, 4, 0, 0, 0
10, Run: 017, F, 200, 3, 7, 31, 31, 1174, 0, 4, 0, 0, 0
10, Run: 018, F, 200, 9, 9, 31, 31, 1213, 0, 9, 0, 0, 0
10, Run: 019, F, 200, 11, 11, 30, 30, 1193, 0, 7, 0, 0, 0
10, Run: 020, F, 200, 10, 8, 36, 36, 1171, 0, 8, 0, 0, 0
10, Run: 021, F, 200, 8, 6, 36, 36, 1187, 0, 8, 0, 0, 0
10, Run: 022, F, 200, 10, 10, 30, 30, 1191, 0, 6, 0, 0, 0
10, Run: 023, F, 200, 13, 7, 37, 37, 1176, 0, 6, 0, 0, 0
10, Run: 024, F, 200, 10, 10, 28, 28, 1223, 0, 6, 0, 0, 0
10, Run: 025, F, 200, 14, 14, 17, 17, 1212, 0, 5, 0, 0, 0
10, Run: 026, F, 200, 10, 8, 39, 39, 1190, 0, 9, 0, 0, 0
10, Run: 027, F, 200, 4, 8, 24, 24, 1236, 0, 5, 0, 0, 0
10, Run: 028, F, 200, 8, 12, 35, 35, 1208, 0, 13, 0, 0, 0
10, Run: 029, F, 200, 8, 6, 39, 39, 1194, 0, 9, 0, 0, 0
10, Run: 030, F, 200, 6, 6, 35, 35, 1180, 0, 9, 0, 0, 0
10, Run: 031, F, 200, 9, 13, 17, 17, 1212, 0, 4, 0, 0, 0
10, Run: 032, F, 200, 6, 8, 22, 22, 1206, 0, 3, 0, 0, 0
10, Run: 033, F, 200, 12, 10, 29, 29, 1221, 0, 8, 0, 0, 0
10, Run: 034, F, 200, 5, 7, 36, 36, 1208, 0, 8, 0, 0, 0
10, Run: 035, F, 200, 9, 11, 24, 24, 1217, 0, 7, 0, 0, 0
10, Run: 036, F, 200, 12, 8, 33, 33, 1210, 0, 7, 0, 0, 0
10, Run: 037, F, 200, 12, 12, 24, 24, 1222, 0, 5, 0, 0, 0
10, Run: 038, F, 200, 6, 6, 39, 39, 1218, 0, 9, 0, 0, 0
10, Run: 039, F, 200, 10, 10, 20, 20, 1224, 0, 3, 0, 0, 0
10, Run: 040, F, 200, 12, 10, 35, 35, 1197, 0, 8, 0, 0, 0
10, Run: 041, F, 200, 10, 8, 32, 32, 1180, 0, 7, 0, 0, 0
10, Run: 042, F, 200, 12, 8, 26, 26, 1191, 0, 6, 0, 0, 0
10, Run: 043, F, 200, 12, 14, 35, 35, 1201, 0, 6, 0, 0, 0
10, Run: 044, F, 200, 17, 7, 36, 36, 1223, 0, 11, 0, 0, 0
10, Run: 045, F, 200, 11, 11, 28, 28, 1225, 0, 5, 0, 0, 0
10, Run: 046, F, 200, 8, 10, 24, 24, 1211, 0, 6, 0, 0, 0
10, Run: 047, F, 200, 6, 8, 40, 40, 1226, 0, 9, 0, 0, 0
10, Run: 048, F, 200, 7, 9, 37, 37, 1213, 0, 7, 0, 0, 0
10, Run: 049, F, 200, 11, 17, 10, 10, 1231, 0, 1, 0, 0, 0
10, Run: 050, F, 200, 11, 11, 29, 29, 1201, 0, 9, 0, 0, 0
10, Run: 051, F, 200, 17, 13, 21, 21, 1210, 0, 6, 0, 0, 0
10, Run: 052, F, 200, 7, 13, 20, 20, 1202, 0, 6, 0, 0, 0
