Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, A, PE, B
4, Run: 001, F, 0, 1, 0, 1, 11, 16, 8, 5, 113, 7, 1
4, Run: 002, F, 0, 1, 0, 1, 10, 15, 9, 5, 113, 17, 1
4, Run: 003, F, 0, 1, 0, 1, 8, 19, 11, 11, 107, 8, 1
4, Run: 004, F, 0, 1, 0, 1, 7, 15, 12, 8, 110, 11, 1
4, Run: 005, F, 0, 1, 0, 1, 6, 14, 13, 8, 110, 6, 1
4, Run: 006, F, 0, 1, 0, 1, 6, 13, 13, 7, 111, 6, 1
4, Run: 007, F, 0, 1, 0, 1, 9, 17, 10, 8, 110, 13, 1
4, Run: 008, F, 0, 1, 0, 1, 7, 10, 12, 3, 115, 7, 1
4, Run: 009, F, 0, 1, 0, 1, 8, 12, 11, 4, 114, 10, 1
4, Run: 010, F, 0, 1, 0, 1, 6, 16, 13, 10, 108, 9, 1
4, Run: 011, F, 0, 1, 0, 1, 10, 22, 9, 12, 106, 11, 1
4, Run: 012, F, 0, 1, 0, 1, 11, 14, 8, 3, 115, 8, 1
4, Run: 013, F, 0, 1, 0, 1, 9, 17, 10, 8, 110, 12, 1
4, Run: 014, F, 0, 1, 0, 1, 4, 12, 15, 8, 110, 12, 1
4, Run: 015, F, 0, 1, 0, 1, 10, 16, 9, 6, 112, 15, 1
4, Run: 016, F, 0, 1, 0, 1, 5, 13, 14, 8, 110, 11, 1
4, Run: 017, F, 0, 1, 0, 1, 6, 12, 13, 6, 112, 9, 1
4, Run: 018, F, 0, 1, 0, 1, 7, 14, 12, 7, 111, 9, 1
4, Run: 019, F, 0, 1, 0, 1, 6, 12, 13, 6, 112, 6, 1
4, Run: 020, F, 0, 1, 0, 1, 7, 13, 12, 6, 112, 11, 1
4, Run: 021, F, 0, 1, 0, 1, 8, 16, 11, 8, 110, 10, 1
4, Run: 022, F, 0, 1, 0, 1, 5, 9, 14, 4, 114, 7, 1
4, Run: 023, F, 0, 1, 0, 1, 9, 16, 10, 7, 111, 13, 1
4, Run: 024, F, 0, 1, 0, 1, 10, 13, 9, 3, 115, 11, 1
4, Run: 025, F, 0, 1, 0, 1, 7, 13, 12, 6, 112, 11, 1
4, Run: 026, F, 0, 1, 0, 1, 8, 13, 11, 5, 113, 9, 1
4, Run: 027, F, 0, 1, 0, 1, 7, 16, 12, 9, 109, 12, 1
4, Run: 028, F, 0, 1, 0, 1, 8, 15, 11, 7, 111, 6, 1
4, Run: 029, F, 0, 1, 0, 1, 6, 12, 13, 6, 112, 8, 1
4, Run: 030, F, 0, 1, 0, 1, 10, 15, 9, 5, 113, 13, 1
