Input Number, Run_Number, Result@ 100, CE, X1, H, M, PO, Y, D, CO, PE, A, B
4, Run: 001, F, 0, 0, 1, 0, 1, 222, 6, 196, 0, 0, 1
4, Run: 002, F, 0, 0, 1, 0, 1, 222, 6, 196, 0, 0, 1
4, Run: 003, F, 11, 0, 0, 0, 0, 28, 0, 0, 1, 168, 0
4, Run: 004, F, 0, 0, 1, 0, 1, 206, 8, 184, 0, 0, 1
4, Run: 005, F, 7, 0, 0, 0, 0, 32, 0, 0, 1, 192, 0
4, Run: 006, F, 0, 0, 1, 0, 1, 182, 11, 166, 0, 0, 1
4, Run: 007, F, 11, 0, 0, 0, 0, 28, 0, 0, 1, 168, 0
4, Run: 008, F, 12, 0, 0, 0, 0, 27, 0, 0, 1, 162, 0
4, Run: 009, F, 10, 0, 0, 0, 0, 29, 0, 0, 1, 174, 0
4, Run: 010, F, 0, 0, 1, 0, 1, 158, 14, 148, 0, 0, 1
4, Run: 011, F, 0, 0, 1, 0, 1, 214, 7, 190, 0, 0, 1
4, Run: 012, F, 9, 0, 0, 0, 0, 30, 0, 0, 1, 180, 0
4, Run: 013, F, 9, 0, 0, 0, 0, 30, 0, 0, 1, 180, 0
4, Run: 014, F, 0, 0, 1, 0, 1, 166, 13, 154, 0, 0, 1
4, Run: 015, F, 0, 0, 1, 0, 1, 166, 13, 154, 0, 0, 1
4, Run: 016, F, 0, 0, 1, 0, 1, 166, 13, 154, 0, 0, 1
4, Run: 017, F, 7, 0, 0, 0, 0, 32, 0, 0, 1, 192, 0
4, Run: 018, F, 13, 0, 0, 0, 0, 26, 0, 0, 1, 156, 0
4, Run: 019, F, 0, 0, 1, 0, 1, 214, 7, 190, 0, 0, 1
4, Run: 020, F, 0, 0, 1, 0, 1, 166, 13, 154, 0, 0, 1
4, Run: 021, F, 9, 0, 0, 0, 0, 30, 0, 0, 1, 180, 0
4, Run: 022, F, 10, 0, 0, 0, 0, 29, 0, 0, 1, 174, 0
4, Run: 023, F, 13, 0, 0, 0, 0, 26, 0, 0, 1, 156, 0
