Input Number, Run_Number, Result@ 100, F, X1, A, B, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 94, 18, 55, 2, 2, 55, 9, 6, 2, 9, 36, 18, 818, 436
INVAR-1, Run: 002, F, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 90, 18, 119, 6, 6, 119, 9, 3, 5, 9, 36, 18, 966, 510
INVAR-1, Run: 003, F, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 86, 18, 59, 8, 8, 59, 9, 5, 3, 9, 36, 18, 828, 441
INVAR-1, Run: 004, F, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 102, 18, 50, 2, 2, 50, 9, 5, 3, 9, 36, 18, 814, 434
INVAR-1, Run: 005, F, 63, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8, 117, 18, 99, 13, 11, 99, 9, 4, 4, 8, 36, 18, 888, 471
INVAR-1, Run: 006, F, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 105, 18, 90, 2, 2, 90, 9, 8, 0, 9, 36, 18, 540, 297
INVAR-1, Run: 007, F, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 113, 18, 60, 10, 10, 60, 9, 3, 5, 9, 36, 18, 666, 360
INVAR-1, Run: 008, F, 37, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8, 91, 18, 69, 7, 5, 69, 9, 2, 6, 8, 36, 18, 918, 486
INVAR-1, Run: 009, F, 60, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8, 114, 18, 21, 6, 4, 21, 9, 4, 4, 8, 36, 18, 592, 323
INVAR-1, Run: 010, F, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 89, 18, 118, 6, 6, 118, 9, 6, 2, 9, 36, 18, 692, 373
INVAR-1, Run: 011, F, 33, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8, 87, 18, 84, 8, 6, 84, 9, 5, 3, 8, 36, 18, 986, 520
INVAR-1, Run: 012, F, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 110, 18, 127, 10, 10, 127, 9, 4, 4, 9, 36, 18, 586, 320
INVAR-1, Run: 013, F, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 90, 18, 62, 9, 9, 62, 9, 7, 1, 9, 36, 18, 1004, 529
INVAR-1, Run: 014, F, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 84, 18, 199, 7, 7, 199, 9, 5, 3, 9, 36, 18, 980, 517
INVAR-1, Run: 015, F, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 88, 18, 104, 10, 10, 104, 9, 6, 2, 9, 36, 18, 630, 342
INVAR-1, Run: 016, F, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 101, 18, 144, 5, 5, 144, 9, 7, 1, 9, 36, 18, 826, 440
INVAR-1, Run: 017, F, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 106, 18, 71, 6, 6, 71, 9, 6, 2, 9, 36, 18, 1026, 540
INVAR-1, Run: 018, F, 53, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8, 107, 18, 127, 8, 6, 127, 9, 3, 5, 8, 36, 18, 852, 453
INVAR-1, Run: 019, F, 64, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 118, 18, 88, 1, 1, 88, 9, 3, 5, 9, 36, 18, 674, 364
INVAR-1, Run: 020, F, 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 112, 18, 63, 12, 12, 63, 9, 5, 3, 9, 36, 18, 704, 379
