Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 033, F, 6, 570, 0, 0, 0, 0, 0, 48, 0, 1, 12, 0, 576, 18, 57, 7, 13, 51, 9, 4, 4, 12, 9, 18, 110, 55
INVAR-1, Run: 034, F, 38, 3713, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0, 3751, 18, 106, 14, 52, 68, 9, 7, 1, 28, 9, 18, 98, 49
INVAR-1, Run: 035, P, 0, 2, 0, 0, 0, 0, 0, 54, 2, 1, 8, 0, 0, 18, 19, 4, 2, 19, 9, 3, 5, 8, 9, 18, 328, 164
INVAR-1, Run: 036, F, 50, 4876, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0, 4926, 18, 79, 7, 57, 29, 9, 6, 2, 34, 9, 18, 36, 18
INVAR-1, Run: 037, F, 38, 3718, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0, 3756, 18, 96, 9, 47, 58, 9, 5, 3, 28, 9, 18, 154, 77
INVAR-1, Run: 038, F, 48, 4618, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0, 4666, 18, 82, 4, 52, 34, 9, 6, 2, 33, 9, 18, 76, 38
INVAR-1, Run: 039, F, 30, 2752, 0, 0, 0, 0, 0, 24, 0, 1, 24, 0, 2782, 18, 92, 11, 41, 62, 9, 7, 1, 24, 9, 18, 46, 23
INVAR-1, Run: 040, F, 16, 1606, 0, 0, 0, 0, 0, 38, 0, 1, 17, 0, 1622, 18, 110, 10, 26, 94, 9, 6, 2, 17, 9, 18, 76, 38
INVAR-1, Run: 041, F, 52, 4970, 0, 0, 0, 0, 0, 2, 0, 1, 35, 0, 5022, 18, 117, 11, 63, 65, 9, 6, 2, 35, 9, 18, 72, 36
INVAR-1, Run: 042, F, 42, 3940, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0, 3982, 18, 111, 9, 51, 69, 9, 5, 3, 30, 9, 18, 88, 44
INVAR-1, Run: 043, F, 12, 1118, 0, 0, 0, 0, 0, 42, 0, 1, 15, 0, 1130, 18, 110, 13, 25, 98, 9, 4, 4, 15, 9, 18, 566, 283
