Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 147, 9, 7, 1, 9, 18, 27, 23, 147
INVAR-1, Run: 002, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 71, 9, 6, 2, 9, 18, 27, 23, 71
INVAR-1, Run: 003, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 121, 9, 7, 1, 9, 18, 27, 25, 121
INVAR-1, Run: 004, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 19, 78, 9, 5, 3, 9, 18, 27, 28, 78
INVAR-1, Run: 005, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 25, 124, 9, 2, 6, 9, 18, 27, 34, 124
INVAR-1, Run: 006, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 22, 129, 9, 6, 2, 9, 18, 27, 31, 129
INVAR-1, Run: 007, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 28, 97, 9, 4, 4, 9, 18, 27, 37, 97
INVAR-1, Run: 008, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 13, 121, 9, 5, 3, 9, 18, 27, 22, 121
INVAR-1, Run: 009, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 89, 9, 4, 4, 9, 18, 27, 21, 89
INVAR-1, Run: 010, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 24, 186, 9, 6, 2, 9, 18, 27, 33, 186
INVAR-1, Run: 011, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 101, 9, 6, 2, 9, 18, 27, 23, 101
INVAR-1, Run: 012, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 9, 116, 9, 5, 3, 9, 18, 27, 18, 116
INVAR-1, Run: 013, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 100, 9, 4, 4, 9, 18, 27, 24, 100
INVAR-1, Run: 014, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 26, 142, 9, 5, 3, 9, 18, 27, 35, 142
INVAR-1, Run: 015, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 23, 103, 9, 2, 6, 9, 18, 27, 32, 103
INVAR-1, Run: 016, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 162, 9, 6, 2, 9, 18, 27, 27, 162
INVAR-1, Run: 017, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 19, 142, 9, 5, 3, 9, 18, 27, 28, 142
INVAR-1, Run: 018, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 20, 114, 9, 7, 1, 9, 18, 27, 29, 114
INVAR-1, Run: 019, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 111, 9, 5, 3, 9, 18, 27, 23, 111
INVAR-1, Run: 020, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 9, 43, 9, 6, 2, 9, 18, 27, 18, 43
INVAR-1, Run: 021, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 11, 123, 9, 8, 0, 9, 18, 27, 20, 123
INVAR-1, Run: 022, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 20, 94, 9, 5, 3, 9, 18, 27, 29, 94
INVAR-1, Run: 023, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 7, 107, 9, 8, 0, 9, 18, 27, 16, 107
INVAR-1, Run: 024, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 35, 192, 9, 4, 4, 9, 18, 27, 44, 192
INVAR-1, Run: 025, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 129, 9, 7, 1, 9, 18, 27, 23, 129
INVAR-1, Run: 026, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 19, 61, 9, 7, 1, 9, 18, 27, 28, 61
INVAR-1, Run: 027, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 13, 27, 9, 6, 2, 9, 18, 27, 22, 27
INVAR-1, Run: 028, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 10, 129, 9, 7, 1, 9, 18, 27, 19, 129
INVAR-1, Run: 029, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 11, 97, 9, 5, 3, 9, 18, 27, 20, 97
INVAR-1, Run: 030, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 21, 162, 9, 5, 3, 9, 18, 27, 30, 162
INVAR-1, Run: 031, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 17, 126, 9, 6, 2, 9, 18, 27, 26, 126
INVAR-1, Run: 032, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 8, 94, 9, 8, 0, 9, 18, 27, 17, 94
INVAR-1, Run: 033, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 5, 122, 9, 8, 0, 9, 18, 27, 14, 122
INVAR-1, Run: 034, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 35, 144, 9, 6, 2, 9, 18, 27, 44, 144
INVAR-1, Run: 035, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 6, 43, 9, 6, 2, 9, 18, 27, 15, 43
INVAR-1, Run: 036, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 116, 9, 5, 3, 9, 18, 27, 23, 116
INVAR-1, Run: 037, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 6, 87, 9, 7, 1, 9, 18, 27, 15, 87
INVAR-1, Run: 038, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 139, 9, 6, 2, 9, 18, 27, 25, 139
INVAR-1, Run: 039, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 142, 9, 5, 3, 9, 18, 27, 21, 142
INVAR-1, Run: 040, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 23, 64, 9, 5, 3, 9, 18, 27, 32, 64
INVAR-1, Run: 041, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 84, 9, 2, 6, 9, 18, 27, 21, 84
INVAR-1, Run: 042, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 20, 82, 9, 4, 4, 9, 18, 27, 29, 82
INVAR-1, Run: 043, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 90, 9, 5, 3, 9, 18, 27, 27, 90
INVAR-1, Run: 044, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 22, 220, 9, 7, 1, 9, 18, 27, 31, 220
INVAR-1, Run: 045, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 17, 108, 9, 6, 2, 9, 18, 27, 26, 108
INVAR-1, Run: 046, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 7, 67, 9, 8, 0, 9, 18, 27, 16, 67
INVAR-1, Run: 047, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 13, 59, 9, 3, 5, 9, 18, 27, 22, 59
INVAR-1, Run: 048, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 6, 88, 9, 7, 1, 9, 18, 27, 15, 88
INVAR-1, Run: 049, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 13, 96, 9, 5, 3, 9, 18, 27, 22, 96
INVAR-1, Run: 050, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 8, 100, 9, 8, 0, 9, 18, 27, 17, 100
INVAR-1, Run: 051, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 7, 67, 9, 6, 2, 9, 18, 27, 16, 67
INVAR-1, Run: 052, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 67, 9, 7, 1, 9, 18, 27, 21, 67
INVAR-1, Run: 053, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 21, 190, 9, 4, 4, 9, 18, 27, 30, 190
INVAR-1, Run: 054, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 11, 88, 9, 6, 2, 9, 18, 27, 20, 88
INVAR-1, Run: 055, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 5, 58, 9, 5, 3, 9, 18, 27, 14, 58
INVAR-1, Run: 056, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 102, 9, 5, 3, 9, 18, 27, 24, 102
INVAR-1, Run: 057, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 92, 9, 6, 2, 9, 18, 27, 25, 92
INVAR-1, Run: 058, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 132, 9, 8, 0, 9, 18, 27, 27, 132
INVAR-1, Run: 059, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 171, 9, 6, 2, 9, 18, 27, 27, 171
INVAR-1, Run: 060, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 89, 9, 5, 3, 9, 18, 27, 25, 89
INVAR-1, Run: 061, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 24, 152, 9, 6, 2, 9, 18, 27, 33, 152
INVAR-1, Run: 062, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 92, 9, 7, 1, 9, 18, 27, 24, 92
INVAR-1, Run: 063, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 113, 9, 8, 0, 9, 18, 27, 25, 113
INVAR-1, Run: 064, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 19, 161, 9, 8, 0, 9, 18, 27, 28, 161
INVAR-1, Run: 065, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 27, 257, 9, 7, 1, 9, 18, 27, 36, 257
INVAR-1, Run: 066, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 96, 9, 7, 1, 9, 18, 27, 25, 96
