Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 034, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 8, 3, 9, 7, 1, 9, 9, 13, 17, 3
INVAR-1, Run: 035, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 17, 16, 9, 4, 4, 9, 9, 13, 26, 16
INVAR-1, Run: 036, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 4, 21, 9, 6, 2, 9, 9, 13, 13, 21
INVAR-1, Run: 037, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 5, 11, 9, 4, 4, 9, 9, 13, 14, 11
INVAR-1, Run: 038, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 10, 22, 9, 6, 2, 9, 9, 13, 19, 22
INVAR-1, Run: 039, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 8, 7, 9, 6, 2, 9, 9, 13, 17, 7
INVAR-1, Run: 040, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 17, 17, 9, 5, 3, 9, 9, 13, 26, 17
INVAR-1, Run: 041, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 10, 11, 9, 6, 2, 9, 9, 13, 19, 11
INVAR-1, Run: 042, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 6, 15, 9, 7, 1, 9, 9, 13, 15, 15
INVAR-1, Run: 043, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 10, 4, 9, 4, 4, 9, 9, 13, 19, 4
INVAR-1, Run: 044, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 12, 0, 9, 3, 5, 9, 9, 13, 21, 0
INVAR-1, Run: 045, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 11, 20, 9, 7, 1, 9, 9, 13, 20, 20
INVAR-1, Run: 046, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 3, 13, 9, 4, 4, 9, 9, 13, 12, 13
INVAR-1, Run: 047, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 6, 12, 9, 5, 3, 9, 9, 13, 15, 12
INVAR-1, Run: 048, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 9, 19, 9, 4, 4, 9, 9, 13, 18, 19
INVAR-1, Run: 049, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 10, 16, 9, 7, 1, 9, 9, 13, 19, 16
INVAR-1, Run: 050, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 16, 21, 9, 4, 4, 9, 9, 13, 25, 21
INVAR-1, Run: 051, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 10, 11, 9, 5, 3, 9, 9, 13, 19, 11
INVAR-1, Run: 052, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 12, 9, 9, 7, 1, 9, 9, 13, 21, 9
INVAR-1, Run: 053, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 30, 21, 9, 8, 0, 9, 9, 13, 39, 21
INVAR-1, Run: 054, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 13, 4, 9, 7, 1, 9, 9, 13, 22, 4
INVAR-1, Run: 055, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 9, 27, 9, 6, 2, 9, 9, 13, 18, 27
INVAR-1, Run: 056, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 8, 6, 9, 3, 5, 9, 9, 13, 17, 6
INVAR-1, Run: 057, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 9, 0, 9, 4, 4, 9, 9, 13, 18, 0
