Input Number, Run_Number, Result@ 100, PE, Y, M, X1, H, PO, CE, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-6, Run: 084, F, 0, 706, 0, 0, 1, 1, 0, 87, 796, 0, 1, 90, 175, 568, 5169, 87, 58, 29, 87, 265, 397, 568, 5965
INVAR-6, Run: 085, F, 0, 710, 0, 0, 1, 1, 0, 87, 802, 0, 1, 92, 175, 776, 4422, 87, 51, 36, 87, 267, 400, 776, 5224
INVAR-6, Run: 086, F, 0, 771, 0, 0, 1, 1, 0, 87, 894, 0, 0, 123, 175, 976, 8011, 87, 54, 33, 87, 298, 447, 976, 8905
INVAR-6, Run: 087, F, 0, 718, 0, 0, 1, 1, 0, 87, 814, 0, 1, 96, 175, 695, 4189, 87, 52, 35, 87, 271, 406, 695, 5003
INVAR-6, Run: 088, F, 0, 719, 0, 0, 1, 1, 0, 87, 816, 0, 0, 97, 175, 536, 5673, 87, 61, 26, 87, 272, 408, 536, 6489
INVAR-6, Run: 089, F, 0, 743, 0, 0, 1, 1, 0, 87, 852, 0, 0, 109, 175, 794, 6788, 87, 51, 36, 87, 284, 426, 794, 7640
INVAR-6, Run: 090, F, 0, 707, 0, 0, 1, 1, 0, 87, 798, 0, 0, 91, 175, 694, 5128, 87, 56, 31, 87, 266, 399, 694, 5926
INVAR-6, Run: 091, F, 0, 719, 0, 0, 1, 1, 0, 87, 816, 0, 0, 97, 175, 722, 5249, 87, 49, 38, 87, 272, 408, 722, 6065
INVAR-6, Run: 092, F, 0, 714, 0, 0, 1, 1, 0, 87, 808, 0, 1, 94, 175, 746, 6250, 87, 62, 25, 87, 269, 403, 746, 7058
INVAR-6, Run: 093, F, 0, 719, 0, 0, 1, 1, 0, 87, 816, 0, 0, 97, 175, 623, 6015, 87, 56, 31, 87, 272, 408, 623, 6831
INVAR-6, Run: 094, F, 0, 734, 0, 0, 1, 1, 0, 87, 838, 0, 1, 104, 175, 950, 5560, 87, 58, 29, 87, 279, 418, 950, 6398
INVAR-6, Run: 095, F, 0, 706, 0, 0, 1, 1, 0, 87, 796, 0, 1, 90, 175, 725, 3848, 87, 55, 32, 87, 265, 397, 725, 4644
INVAR-6, Run: 096, F, 0, 722, 0, 0, 1, 1, 0, 87, 820, 0, 1, 98, 175, 654, 5079, 87, 52, 35, 87, 273, 409, 654, 5899
INVAR-6, Run: 097, F, 0, 731, 0, 0, 1, 1, 0, 87, 834, 0, 0, 103, 175, 731, 4998, 87, 49, 38, 87, 278, 417, 731, 5832
INVAR-6, Run: 098, F, 0, 750, 0, 0, 1, 1, 0, 87, 862, 0, 1, 112, 175, 661, 6977, 87, 63, 24, 87, 287, 430, 661, 7839
INVAR-6, Run: 099, F, 0, 691, 0, 0, 1, 1, 0, 87, 774, 0, 0, 83, 175, 789, 4188, 87, 47, 40, 87, 258, 387, 789, 4962
INVAR-6, Run: 100, F, 0, 731, 0, 0, 1, 1, 0, 87, 834, 0, 0, 103, 175, 766, 4585, 87, 53, 34, 87, 278, 417, 766, 5419
INVAR-7, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 003, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 004, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 005, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 006, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 007, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 008, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 009, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 011, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 012, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-7, Run: 013, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
