Input Number, Run_Number, Result@ 100, CE, X1, H, M, PO, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 14, 171, 10, 5, 5, 10, 21, 31, 17, 235
INVAR-1, Run: 002, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1, 1, 19, 25, 178, 9, 4, 5, 9, 19, 28, 26, 236
INVAR-1, Run: 003, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0, 10, 28, 5, 305, 14, 7, 6, 14, 28, 42, 19, 305
INVAR-1, Run: 004, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 7, 95, 10, 8, 1, 10, 20, 30, 17, 95
INVAR-1, Run: 005, P, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1, 9, 27, 13, 316, 13, 9, 4, 13, 27, 40, 22, 398
INVAR-1, Run: 006, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 9, 142, 10, 10, 0, 10, 21, 31, 12, 206
INVAR-1, Run: 007, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 5, 73, 10, 7, 2, 10, 20, 30, 15, 73
INVAR-1, Run: 008, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 11, 195, 12, 8, 3, 12, 24, 36, 23, 195
INVAR-1, Run: 009, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 10, 79, 10, 8, 2, 10, 21, 31, 13, 143
INVAR-1, Run: 010, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0, 10, 28, 9, 294, 14, 10, 3, 14, 28, 42, 23, 294
INVAR-1, Run: 011, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1, 7, 25, 13, 194, 12, 6, 6, 12, 25, 37, 20, 270
INVAR-1, Run: 012, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1, 5, 23, 14, 267, 11, 6, 5, 11, 23, 34, 19, 337
INVAR-1, Run: 013, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 8, 148, 10, 7, 2, 10, 20, 30, 18, 148
INVAR-1, Run: 014, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 7, 191, 12, 6, 5, 12, 24, 36, 19, 191
INVAR-1, Run: 015, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 10, 135, 12, 7, 4, 12, 24, 36, 22, 135
INVAR-1, Run: 016, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 13, 152, 10, 8, 2, 10, 21, 31, 16, 216
INVAR-1, Run: 017, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 5, 111, 10, 7, 2, 10, 20, 30, 15, 111
INVAR-1, Run: 018, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0, 8, 26, 17, 209, 13, 8, 4, 13, 26, 39, 30, 209
INVAR-1, Run: 019, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 9, 165, 10, 9, 0, 10, 20, 30, 19, 165
INVAR-1, Run: 020, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0, 10, 28, 28, 456, 14, 9, 4, 14, 28, 42, 42, 456
INVAR-1, Run: 021, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1, 5, 23, 26, 130, 11, 7, 4, 11, 23, 34, 31, 200
INVAR-1, Run: 022, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 11, 162, 10, 8, 2, 10, 21, 31, 14, 226
INVAR-1, Run: 023, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1, 7, 25, 21, 420, 12, 9, 3, 12, 25, 37, 28, 496
INVAR-1, Run: 024, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1, 5, 23, 20, 161, 11, 7, 4, 11, 23, 34, 25, 231
INVAR-1, Run: 025, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 10, 123, 10, 9, 1, 10, 21, 31, 13, 187
INVAR-1, Run: 026, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 10, 110, 10, 6, 3, 10, 20, 30, 20, 110
INVAR-1, Run: 027, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 18, 171, 10, 7, 3, 10, 21, 31, 21, 235
INVAR-1, Run: 028, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 22, 112, 10, 7, 2, 10, 20, 30, 32, 112
INVAR-1, Run: 029, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 15, 189, 10, 7, 2, 10, 20, 30, 25, 189
INVAR-1, Run: 030, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 17, 252, 12, 10, 1, 12, 24, 36, 29, 252
INVAR-1, Run: 031, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 10, 100, 10, 7, 2, 10, 20, 30, 20, 100
INVAR-1, Run: 032, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 5, 237, 12, 6, 5, 12, 24, 36, 17, 237
INVAR-1, Run: 033, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0, 10, 28, 22, 367, 14, 10, 3, 14, 28, 42, 36, 367
INVAR-1, Run: 034, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 11, 202, 11, 7, 3, 11, 22, 33, 22, 202
INVAR-1, Run: 035, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 24, 197, 10, 8, 2, 10, 21, 31, 27, 261
INVAR-1, Run: 036, P, 3, 0, 0, 0, 0, 15, 0, 0, 1, 90, 0, 12, 30, 13, 469, 15, 9, 5, 15, 30, 45, 28, 469
INVAR-1, Run: 037, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1, 1, 19, 5, 107, 9, 7, 2, 9, 19, 28, 6, 165
INVAR-1, Run: 038, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1, 1, 19, 15, 131, 9, 7, 2, 9, 19, 28, 16, 189
INVAR-1, Run: 039, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 14, 169, 10, 10, 0, 10, 21, 31, 17, 233
INVAR-1, Run: 040, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1, 1, 19, 18, 67, 9, 4, 5, 9, 19, 28, 19, 125
INVAR-1, Run: 041, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1, 5, 23, 9, 132, 11, 9, 2, 11, 23, 34, 14, 202
INVAR-1, Run: 042, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1, 1, 19, 36, 259, 9, 7, 2, 9, 19, 28, 37, 317
INVAR-1, Run: 043, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1, 5, 23, 17, 288, 11, 10, 1, 11, 23, 34, 22, 358
INVAR-1, Run: 044, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1, 7, 25, 16, 225, 12, 10, 2, 12, 25, 37, 23, 301
INVAR-1, Run: 045, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 6, 221, 11, 6, 4, 11, 22, 33, 17, 221
INVAR-1, Run: 046, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 6, 106, 11, 4, 6, 11, 22, 33, 17, 106
INVAR-1, Run: 047, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 16, 145, 10, 7, 3, 10, 21, 31, 19, 209
INVAR-1, Run: 048, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1, 5, 23, 19, 217, 11, 5, 6, 11, 23, 34, 24, 287
INVAR-1, Run: 049, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 13, 143, 10, 10, 0, 10, 21, 31, 16, 207
INVAR-1, Run: 050, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1, 7, 25, 13, 197, 12, 6, 6, 12, 25, 37, 20, 273
INVAR-1, Run: 051, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0, 8, 26, 15, 321, 13, 9, 3, 13, 26, 39, 28, 321
INVAR-1, Run: 052, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 12, 160, 12, 7, 4, 12, 24, 36, 24, 160
INVAR-1, Run: 053, P, 0, 0, 1, 0, 1, 99, 3, 88, 0, 0, 1, 11, 29, 16, 412, 14, 11, 3, 14, 29, 43, 27, 500
INVAR-1, Run: 054, P, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1, 9, 27, 22, 286, 13, 9, 4, 13, 27, 40, 31, 368
INVAR-1, Run: 055, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 12, 193, 10, 6, 3, 10, 20, 30, 22, 193
INVAR-1, Run: 056, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 9, 91, 11, 6, 4, 11, 22, 33, 20, 91
INVAR-1, Run: 057, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1, 1, 19, 23, 188, 9, 8, 1, 9, 19, 28, 24, 246
INVAR-1, Run: 058, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 16, 150, 11, 7, 3, 11, 22, 33, 27, 150
INVAR-1, Run: 059, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 9, 80, 11, 5, 5, 11, 22, 33, 20, 80
INVAR-1, Run: 060, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 12, 163, 10, 7, 2, 10, 20, 30, 22, 163
