Input Number, Run_Number, Result@ 100, X1, X2, U, Reaction1, Reaction2, Reaction3
INVAR-1, Run: 001, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 002, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 003, E, 38, 0, 0, 17, 14, 3
INVAR-1, Run: 004, E, 38, 0, 0, 19, 14, 5
INVAR-1, Run: 005, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 006, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 007, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 008, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 009, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 010, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 011, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 012, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 013, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 014, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 015, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 016, E, 38, 0, 0, 23, 14, 9
INVAR-1, Run: 017, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 018, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 019, E, 38, 0, 0, 18, 14, 4
INVAR-1, Run: 020, E, 38, 0, 0, 17, 14, 3
INVAR-1, Run: 021, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 022, E, 38, 0, 0, 18, 14, 4
INVAR-1, Run: 023, E, 38, 0, 0, 17, 14, 3
INVAR-1, Run: 024, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 025, E, 38, 0, 0, 18, 14, 4
INVAR-1, Run: 026, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 027, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 028, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 029, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 030, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 031, E, 38, 0, 0, 19, 14, 5
INVAR-1, Run: 032, E, 38, 0, 0, 17, 14, 3
INVAR-1, Run: 033, E, 38, 0, 0, 21, 14, 7
INVAR-1, Run: 034, E, 38, 0, 0, 17, 14, 3
INVAR-1, Run: 035, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 036, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 037, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 038, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 039, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 040, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 041, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 042, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 043, E, 38, 0, 0, 17, 14, 3
INVAR-1, Run: 044, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 045, E, 38, 0, 0, 17, 14, 3
INVAR-1, Run: 046, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 047, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 048, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 049, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 050, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 051, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 052, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 053, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 054, E, 38, 0, 0, 18, 14, 4
INVAR-1, Run: 055, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 056, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 057, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 058, E, 38, 0, 0, 18, 14, 4
INVAR-1, Run: 059, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 060, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 061, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 062, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 063, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 064, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 065, E, 38, 0, 0, 17, 14, 3
INVAR-1, Run: 066, E, 38, 0, 0, 17, 14, 3
INVAR-1, Run: 067, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 068, E, 38, 0, 0, 17, 14, 3
INVAR-1, Run: 069, E, 38, 0, 0, 20, 14, 6
INVAR-1, Run: 070, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 071, E, 38, 0, 0, 14, 14, 0
INVAR-1, Run: 072, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 073, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 074, E, 38, 0, 0, 17, 14, 3
INVAR-1, Run: 075, E, 38, 0, 0, 18, 14, 4
INVAR-1, Run: 076, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 077, E, 38, 0, 0, 15, 14, 1
INVAR-1, Run: 078, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 079, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 080, E, 38, 0, 0, 16, 14, 2
INVAR-1, Run: 081, E, 38, 0, 0, 19, 14, 5
INVAR-1, Run: 082, E, 38, 0, 0, 17, 14, 3
INVAR-1, Run: 083, E, 38, 0, 0, 16, 14, 2
