Input Number, Run_Number, Result@ 1000, A, B, H, C, L5, T2, T5, L4, L1, Y, T1, T3, T4, T6, R, U, L2, D, L3
INVAR-2, Run: 053, P, 0, 0, 0, 100, 0, 1, 0, 0, 0, 76, 2, 2, 2, 0, 1, 6, 0, 91, 0
INVAR-2, Run: 054, P, 100, 0, 0, 0, 0, 0, 2, 0, 0, 84, 0, 0, 2, 0, 1, 6, 0, 78, 0
INVAR-2, Run: 055, P, 100, 0, 0, 0, 0, 1, 1, 0, 0, 76, 1, 0, 0, 1, 1, 6, 0, 94, 0
INVAR-2, Run: 056, P, 0, 0, 0, 100, 0, 3, 2, 0, 0, 73, 0, 1, 1, 0, 1, 6, 0, 97, 0
INVAR-2, Run: 057, P, 100, 0, 0, 0, 0, 2, 2, 0, 0, 79, 3, 0, 2, 0, 1, 6, 0, 83, 0
INVAR-2, Run: 058, P, 0, 100, 0, 0, 0, 2, 0, 0, 0, 73, 2, 2, 0, 1, 1, 6, 0, 97, 0
INVAR-2, Run: 059, P, 100, 0, 0, 0, 0, 1, 0, 0, 0, 84, 0, 1, 2, 0, 1, 6, 0, 78, 0
INVAR-2, Run: 060, P, 0, 100, 0, 0, 0, 2, 1, 0, 0, 76, 0, 1, 3, 3, 1, 6, 0, 88, 0
INVAR-2, Run: 061, P, 100, 0, 0, 0, 0, 2, 1, 0, 0, 74, 2, 2, 3, 0, 1, 6, 0, 92, 0
INVAR-2, Run: 062, P, 0, 0, 0, 100, 0, 2, 0, 0, 0, 86, 0, 2, 1, 1, 1, 6, 0, 72, 0
INVAR-2, Run: 063, P, 100, 0, 0, 0, 0, 2, 0, 0, 0, 82, 2, 2, 0, 0, 1, 6, 0, 80, 0
INVAR-2, Run: 064, P, 0, 0, 0, 100, 0, 1, 0, 0, 0, 78, 1, 2, 3, 0, 1, 6, 0, 87, 0
INVAR-2, Run: 065, P, 0, 0, 0, 100, 0, 2, 0, 0, 0, 68, 1, 2, 1, 3, 1, 6, 0, 105, 0
INVAR-2, Run: 066, P, 0, 100, 0, 0, 0, 1, 0, 0, 0, 83, 1, 4, 1, 0, 1, 6, 0, 77, 0
INVAR-2, Run: 067, P, 0, 100, 0, 0, 0, 2, 1, 0, 0, 72, 2, 1, 2, 0, 1, 6, 0, 98, 0
INVAR-2, Run: 068, P, 100, 0, 0, 0, 0, 4, 2, 0, 0, 61, 2, 1, 1, 4, 1, 6, 0, 114, 0
INVAR-2, Run: 069, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 75, 1, 1, 1, 0, 1, 6, 0, 97, 0
INVAR-2, Run: 070, P, 0, 100, 0, 0, 0, 1, 0, 0, 0, 80, 0, 3, 2, 0, 1, 6, 0, 84, 0
INVAR-2, Run: 071, P, 0, 100, 0, 0, 0, 1, 0, 0, 0, 85, 3, 1, 0, 1, 1, 6, 0, 74, 0
INVAR-2, Run: 072, P, 0, 100, 0, 0, 0, 2, 1, 0, 0, 71, 0, 2, 0, 2, 1, 6, 0, 101, 0
INVAR-2, Run: 073, P, 100, 0, 0, 0, 0, 0, 2, 0, 0, 84, 4, 1, 2, 0, 1, 6, 0, 73, 0
INVAR-2, Run: 074, P, 0, 100, 0, 0, 0, 2, 1, 0, 0, 71, 3, 1, 2, 1, 1, 6, 0, 98, 0
INVAR-2, Run: 075, P, 0, 0, 0, 100, 0, 2, 3, 0, 0, 62, 1, 0, 2, 2, 1, 6, 0, 116, 0
INVAR-2, Run: 076, P, 0, 100, 0, 0, 0, 1, 1, 0, 0, 76, 0, 0, 1, 1, 1, 6, 0, 94, 0
INVAR-2, Run: 077, P, 0, 100, 0, 0, 0, 3, 1, 0, 0, 71, 4, 3, 3, 0, 1, 6, 0, 94, 0
INVAR-2, Run: 078, P, 0, 0, 0, 100, 0, 1, 3, 0, 0, 75, 2, 0, 2, 2, 1, 6, 0, 90, 0
INVAR-2, Run: 079, P, 0, 100, 0, 0, 0, 4, 0, 0, 0, 63, 1, 5, 3, 1, 1, 6, 0, 110, 0
INVAR-2, Run: 080, P, 0, 100, 0, 0, 0, 3, 1, 0, 0, 63, 3, 2, 5, 2, 1, 6, 0, 108, 0
INVAR-2, Run: 081, P, 100, 0, 0, 0, 0, 2, 0, 0, 0, 80, 1, 2, 2, 1, 1, 6, 0, 82, 0
INVAR-2, Run: 082, P, 0, 0, 0, 100, 0, 2, 1, 0, 0, 72, 1, 0, 0, 0, 1, 6, 0, 102, 0
INVAR-2, Run: 083, P, 0, 100, 0, 0, 0, 3, 2, 0, 0, 68, 3, 3, 1, 2, 1, 6, 0, 100, 0
INVAR-2, Run: 084, P, 100, 0, 0, 0, 0, 0, 2, 0, 0, 81, 2, 0, 2, 4, 1, 6, 0, 78, 0
INVAR-2, Run: 085, P, 0, 0, 0, 100, 0, 2, 2, 0, 0, 72, 0, 3, 1, 2, 1, 6, 0, 96, 0
INVAR-2, Run: 086, P, 100, 0, 0, 0, 0, 1, 1, 0, 0, 75, 0, 1, 1, 2, 1, 6, 0, 94, 0
INVAR-2, Run: 087, P, 0, 100, 0, 0, 0, 0, 2, 0, 0, 75, 1, 2, 2, 1, 1, 6, 0, 92, 0
INVAR-2, Run: 088, P, 0, 0, 0, 100, 0, 0, 1, 0, 0, 70, 2, 1, 1, 1, 1, 6, 0, 104, 0
INVAR-2, Run: 089, P, 0, 0, 0, 100, 0, 0, 1, 0, 0, 85, 2, 1, 1, 0, 1, 6, 0, 75, 0
