Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3
1, Run: 001, F, 0, 0, 0, 10, 0, 0, 0, 31, 0, 3, 1, 1, 4, 1, 1, 6, 0, 40, 0
1, Run: 002, F, 0, 10, 0, 0, 0, 0, 0, 16, 2, 1, 5, 3, 2, 1, 1, 6, 0, 36, 0
1, Run: 003, P, 0, 10, 0, 0, 0, 0, 0, 16, 2, 0, 0, 2, 2, 1, 1, 6, 0, 43, 0
1, Run: 004, F, 0, 10, 0, 0, 0, 0, 0, 25, 1, 3, 1, 0, 0, 3, 1, 6, 0, 42, 0
1, Run: 005, F, 0, 10, 0, 0, 0, 0, 0, 33, 2, 3, 2, 0, 1, 1, 1, 6, 0, 41, 0
1, Run: 006, F, 0, 10, 0, 0, 0, 0, 0, 3, 8, 11, 8, 6, 4, 2, 1, 6, 0, 11, 0
1, Run: 007, P, 0, 10, 0, 0, 0, 0, 0, 21, 2, 3, 3, 2, 3, 0, 1, 6, 0, 37, 0
1, Run: 008, F, 0, 10, 0, 0, 0, 0, 0, 14, 3, 2, 2, 6, 4, 2, 1, 6, 0, 31, 0
1, Run: 009, F, 0, 10, 0, 0, 0, 0, 0, 4, 14, 8, 7, 1, 3, 5, 1, 6, 0, 12, 0
1, Run: 010, F, 0, 10, 0, 0, 0, 0, 0, 9, 2, 5, 11, 1, 4, 2, 1, 6, 0, 25, 0
1, Run: 011, F, 0, 10, 0, 0, 0, 0, 0, 18, 4, 3, 1, 0, 0, 4, 1, 6, 0, 38, 0
1, Run: 012, F, 0, 0, 0, 10, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0
1, Run: 013, F, 0, 10, 0, 0, 0, 0, 0, 20, 3, 0, 2, 1, 2, 4, 1, 6, 0, 38, 0
1, Run: 014, F, 0, 10, 0, 0, 0, 0, 0, 3, 15, 7, 3, 8, 5, 3, 1, 6, 0, 9, 0
1, Run: 015, F, 0, 10, 0, 0, 0, 0, 0, 12, 2, 1, 7, 1, 6, 3, 1, 6, 0, 30, 0
1, Run: 016, P, 0, 10, 0, 0, 0, 0, 0, 22, 1, 1, 4, 4, 1, 3, 1, 6, 0, 36, 0
1, Run: 017, F, 0, 10, 0, 0, 0, 0, 0, 25, 2, 3, 1, 5, 3, 3, 1, 6, 0, 33, 0
1, Run: 018, F, 0, 10, 0, 0, 0, 0, 0, 9, 5, 2, 2, 5, 6, 4, 1, 6, 0, 26, 0
1, Run: 019, F, 0, 10, 0, 0, 0, 0, 0, 6, 7, 8, 4, 6, 3, 3, 1, 6, 0, 19, 0
1, Run: 020, F, 0, 10, 0, 0, 0, 0, 0, 17, 2, 2, 2, 3, 2, 5, 1, 6, 0, 34, 0
