Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, U, Y, T1, T2, T3, T4, T5, T6, R, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-3, Run: 031, P, 0, 0, 0, 1000, 0, 97, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 1, 7208, 7308, 6408, 7208, 26, 6, 2, 25, 10, 3, 0, 0, 15, 3662, 7, 3, 0, 0, 0, 0, 217, 34, 8, 2, 3443, 182
INVAR-3, Run: 032, P, 0, 1000, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 12631, 11731, 11831, 12631, 28, 6, 0, 0, 0, 0, 0, 0, 0, 4151, 0, 0, 0, 0, 0, 0, 220, 34, 6, 0, 3931, 186
INVAR-3, Run: 033, P, 0, 0, 0, 1000, 0, 97, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0, 78596, 78696, 77796, 78596, 36, 6, 2, 15, 1, 0, 0, 0, 14, 5228, 1, 0, 0, 0, 0, 0, 247, 46, 10, 2, 4980, 201
INVAR-3, Run: 034, P, 0, 1000, 0, 0, 0, 0, 0, 1, 100, 0, 1, 0, 2, 1, 1, 1, 0, 45, 0, 4059, 3159, 3259, 4059, 24, 5, 0, 49120, 48605, 48091, 47610, 47135, 514, 3387, 514, 479, 474, 471, 46663, 46618, 295, 129, 105, 100, 3092, 166
INVAR-3, Run: 035, P, 0, 1000, 0, 0, 0, 0, 0, 1, 100, 0, 1, 1, 0, 1, 1, 1, 0, 46, 0, 2982, 2082, 2182, 2982, 20, 5, 0, 49242, 48736, 48261, 47775, 47327, 505, 3181, 474, 486, 447, 478, 46848, 46802, 299, 125, 105, 100, 2882, 174
INVAR-3, Run: 036, P, 0, 0, 0, 1000, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5038, 5138, 4238, 5038, 34, 6, 0, 0, 0, 0, 0, 0, 0, 3306, 0, 0, 0, 0, 0, 0, 193, 41, 7, 0, 3113, 152
INVAR-3, Run: 037, P, 1000, 0, 0, 0, 0, 98, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1967, 2067, 2167, 1967, 33, 6, 0, 0, 0, 0, 0, 0, 0, 3043, 0, 0, 0, 0, 0, 0, 231, 40, 7, 0, 2811, 191
INVAR-3, Run: 038, P, 0, 1000, 0, 0, 0, 99, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3989, 3089, 3189, 3989, 19, 6, 0, 0, 0, 0, 0, 0, 0, 3245, 0, 0, 0, 0, 0, 0, 167, 25, 6, 0, 3077, 142
INVAR-3, Run: 039, P, 1000, 0, 0, 0, 0, 99, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0, 5111, 5211, 5311, 5111, 22, 6, 1, 7, 1, 0, 0, 0, 6, 3626, 1, 0, 0, 0, 0, 0, 203, 29, 7, 1, 3422, 174
INVAR-3, Run: 040, P, 1000, 0, 0, 0, 6, 69, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 12, 0, 11, 2983, 3083, 3183, 2983, 35, 6, 2, 15, 3, 0, 0, 0, 12, 3059, 3, 0, 0, 0, 0, 0, 232, 51, 10, 2, 2815, 170
INVAR-3, Run: 041, P, 0, 1000, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8206, 7306, 7406, 8206, 28, 6, 0, 0, 0, 0, 0, 0, 0, 4008, 0, 0, 0, 0, 0, 0, 197, 34, 6, 0, 3811, 163
INVAR-3, Run: 042, P, 1000, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4118, 4218, 4318, 4118, 30, 6, 0, 0, 0, 0, 0, 0, 0, 3159, 0, 0, 0, 0, 0, 0, 166, 36, 6, 0, 2993, 130
INVAR-3, Run: 043, P, 0, 1000, 0, 0, 6, 54, 1, 0, 1, 19, 14, 6, 6, 1, 1, 1, 30, 3, 8, 9337, 8437, 8537, 9337, 24, 6, 0, 24706, 12299, 6199, 3145, 1615, 12393, 3793, 6094, 3048, 1529, 776, 838, 835, 224, 38, 8, 1, 3539, 178
INVAR-3, Run: 044, P, 0, 1000, 0, 0, 1, 75, 0, 0, 1, 24, 15, 3, 5, 0, 1, 1, 15, 2, 8, 13696, 12796, 12896, 13696, 15, 6, 0, 24771, 12496, 6202, 3187, 1572, 12260, 3998, 6291, 3010, 1615, 790, 781, 779, 192, 23, 7, 1, 3791, 161
INVAR-3, Run: 045, P, 0, 1000, 0, 0, 5, 65, 2, 0, 1, 25, 17, 5, 1, 2, 0, 1, 16, 0, 11, 5027, 4127, 4227, 5027, 31, 6, 3, 24855, 12365, 6214, 3066, 1528, 12473, 3458, 6146, 3147, 1536, 739, 789, 789, 228, 48, 12, 4, 3214, 169
INVAR-3, Run: 046, P, 0, 0, 0, 1000, 1, 63, 1, 0, 1, 23, 12, 10, 4, 0, 1, 1, 23, 0, 11, 42951, 43051, 42151, 42951, 35, 6, 0, 24637, 12470, 6198, 3135, 1578, 12155, 5170, 6262, 3059, 1557, 802, 775, 775, 275, 44, 8, 1, 4872, 220
INVAR-3, Run: 047, P, 0, 1000, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7280, 6380, 6480, 7280, 31, 6, 2, 4, 1, 0, 0, 0, 3, 3508, 1, 0, 0, 0, 0, 0, 220, 40, 9, 2, 3288, 180
INVAR-3, Run: 048, P, 0, 1000, 0, 0, 0, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0, 18196, 17296, 17396, 18196, 29, 6, 1, 1, 0, 0, 0, 0, 1, 4366, 0, 0, 0, 0, 0, 0, 191, 36, 7, 1, 4173, 155
INVAR-3, Run: 049, P, 1000, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 117975, 118075, 118175, 117975, 10, 6, 1, 11, 0, 0, 0, 0, 11, 5707, 0, 0, 0, 0, 0, 0, 184, 17, 7, 1, 5523, 167
INVAR-3, Run: 050, P, 0, 0, 0, 1000, 0, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 1, 5095, 5195, 4295, 5095, 26, 6, 0, 0, 0, 0, 0, 0, 0, 3498, 0, 0, 0, 0, 0, 0, 213, 32, 6, 0, 3284, 180
INVAR-3, Run: 051, P, 0, 1000, 0, 0, 0, 91, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 7, 0, 2, 10239, 9339, 9439, 10239, 17, 6, 0, 0, 0, 0, 0, 0, 0, 3815, 0, 0, 0, 0, 0, 0, 177, 23, 6, 0, 3631, 152
INVAR-3, Run: 052, P, 1000, 0, 0, 0, 0, 0, 0, 1, 100, 0, 1, 0, 0, 0, 1, 1, 0, 48, 0, 10514, 10614, 10714, 10514, 24, 5, 0, 49091, 48587, 48073, 47577, 47124, 503, 4212, 514, 496, 453, 486, 46637, 46589, 323, 129, 105, 100, 3889, 194
INVAR-3, Run: 053, P, 0, 1000, 0, 0, 1, 88, 4, 0, 1, 25, 19, 2, 4, 0, 0, 1, 6, 0, 0, 10476, 9576, 9676, 10476, 36, 6, 6, 25024, 12506, 6136, 3034, 1526, 12499, 4078, 6368, 3098, 1508, 743, 783, 783, 263, 54, 17, 7, 3809, 209
INVAR-3, Run: 054, P, 0, 0, 0, 1000, 0, 0, 0, 1, 100, 0, 2, 0, 1, 0, 0, 1, 0, 47, 0, 5160, 5260, 4360, 5160, 24, 5, 0, 48896, 48380, 47901, 47375, 46918, 514, 3567, 479, 525, 457, 444, 46474, 46427, 302, 129, 105, 100, 3265, 173
INVAR-3, Run: 055, P, 1000, 0, 0, 0, 0, 98, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0, 59927, 60027, 60127, 59927, 21, 6, 1, 6, 0, 0, 0, 0, 6, 5130, 0, 0, 0, 0, 0, 0, 176, 29, 8, 1, 4953, 147
INVAR-3, Run: 056, P, 1000, 0, 0, 0, 0, 85, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 11, 0, 2, 9399, 9499, 9599, 9399, 24, 6, 0, 0, 0, 0, 0, 0, 0, 3813, 0, 0, 0, 0, 0, 0, 210, 32, 8, 0, 3592, 176
INVAR-3, Run: 057, P, 0, 0, 0, 1000, 0, 0, 0, 1, 100, 0, 0, 1, 1, 0, 1, 1, 0, 47, 0, 11198, 11298, 10398, 11198, 12, 5, 1, 48807, 48323, 47831, 47348, 46861, 484, 3898, 491, 482, 487, 484, 46376, 46329, 291, 118, 106, 101, 3607, 173
INVAR-3, Run: 058, P, 0, 1000, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3999, 3099, 3199, 3999, 17, 6, 0, 0, 0, 0, 0, 0, 0, 3512, 0, 0, 0, 0, 0, 0, 184, 23, 6, 0, 3328, 161
INVAR-3, Run: 059, P, 0, 1000, 0, 0, 5, 72, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 10, 0, 11, 10336, 9436, 9536, 10336, 38, 6, 6, 38, 13, 3, 2, 0, 25, 3890, 10, 1, 2, 0, 0, 0, 272, 57, 14, 6, 3608, 204
INVAR-3, Run: 060, P, 1000, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 22853, 22953, 23053, 22853, 28, 6, 1, 96, 47, 25, 8, 3, 49, 4627, 22, 17, 5, 2, 1, 1, 234, 35, 7, 1, 4393, 199
INVAR-3, Run: 061, P, 0, 0, 0, 1000, 0, 90, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 5, 0, 3, 3023, 3123, 2223, 3023, 24, 6, 1, 6, 0, 0, 0, 0, 6, 2994, 0, 0, 0, 0, 0, 0, 204, 33, 9, 1, 2785, 168
INVAR-3, Run: 062, P, 0, 1000, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6075, 5175, 5275, 6075, 13, 6, 0, 0, 0, 0, 0, 0, 0, 3321, 0, 0, 0, 0, 0, 0, 158, 19, 6, 0, 3163, 139
INVAR-3, Run: 063, P, 0, 1000, 0, 0, 3, 72, 0, 0, 1, 22, 13, 5, 5, 2, 3, 1, 18, 0, 6, 1950, 1050, 1150, 1950, 35, 6, 1, 24822, 12369, 6217, 3124, 1564, 12440, 2956, 6147, 3088, 1558, 781, 780, 780, 214, 46, 8, 2, 2724, 162
INVAR-3, Run: 064, P, 1000, 0, 0, 0, 3, 90, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 5, 0, 1, 29670, 29770, 29870, 29670, 46, 6, 2, 20, 2, 0, 0, 0, 18, 4803, 2, 0, 0, 0, 0, 0, 285, 58, 9, 2, 4513, 226
INVAR-3, Run: 065, P, 0, 1000, 0, 0, 0, 0, 0, 1, 100, 0, 2, 2, 0, 1, 3, 1, 0, 42, 0, 2982, 2082, 2182, 2982, 33, 5, 0, 48821, 48360, 47888, 47390, 46915, 459, 3396, 470, 498, 474, 495, 46417, 46375, 316, 138, 105, 100, 3080, 178
INVAR-3, Run: 066, P, 0, 0, 0, 1000, 1, 96, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1959, 2059, 1159, 1959, 33, 6, 2, 8, 0, 0, 0, 0, 8, 2828, 0, 0, 0, 0, 0, 0, 232, 42, 8, 2, 2595, 188
INVAR-3, Run: 067, P, 0, 0, 0, 1000, 0, 91, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 8, 0, 0, 4026, 4126, 3226, 4026, 27, 6, 2, 7, 0, 0, 0, 0, 7, 3383, 0, 0, 0, 0, 0, 0, 215, 36, 9, 2, 3160, 179
INVAR-3, Run: 068, P, 0, 1000, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 12636, 11736, 11836, 12636, 28, 6, 4, 46, 16, 7, 1, 1, 30, 3990, 9, 6, 0, 1, 0, 0, 219, 40, 12, 4, 3771, 179
INVAR-3, Run: 069, P, 1000, 0, 0, 0, 0, 0, 0, 1, 100, 1, 0, 0, 2, 0, 0, 1, 0, 47, 0, 44559, 44659, 44759, 44559, 14, 5, 2, 48928, 48411, 47906, 47435, 46986, 517, 5258, 505, 469, 449, 495, 46491, 46444, 323, 121, 107, 102, 4935, 202
INVAR-3, Run: 070, P, 0, 0, 0, 1000, 2, 92, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 3, 9248, 9348, 8448, 9248, 24, 6, 2, 26, 4, 1, 0, 0, 22, 3645, 3, 1, 0, 0, 0, 0, 214, 34, 8, 2, 3428, 177
