Input Number, Run_Number, Result@ 100, X, Y, Z, NEW_REACTION, Reaction1
INVAR-1, Run: 001, P, 92, 0, 38, 106, 38
INVAR-1, Run: 002, P, 88, 0, 38, 102, 38
INVAR-1, Run: 003, P, 91, 0, 38, 105, 38
INVAR-1, Run: 004, P, 86, 0, 38, 100, 38
INVAR-1, Run: 005, P, 85, 0, 38, 99, 38
INVAR-1, Run: 006, P, 91, 0, 38, 105, 38
INVAR-1, Run: 007, P, 74, 0, 38, 88, 38
INVAR-1, Run: 008, P, 69, 0, 38, 83, 38
INVAR-1, Run: 009, P, 105, 0, 38, 119, 38
INVAR-1, Run: 010, P, 78, 0, 38, 92, 38
INVAR-1, Run: 011, P, 108, 0, 38, 122, 38
INVAR-1, Run: 012, P, 103, 0, 38, 117, 38
INVAR-1, Run: 013, P, 96, 0, 38, 110, 38
INVAR-1, Run: 014, P, 78, 0, 38, 92, 38
INVAR-1, Run: 015, P, 97, 0, 38, 111, 38
INVAR-1, Run: 016, P, 88, 0, 38, 102, 38
INVAR-1, Run: 017, P, 80, 0, 38, 94, 38
INVAR-1, Run: 018, P, 91, 0, 38, 105, 38
INVAR-1, Run: 019, P, 103, 0, 38, 117, 38
INVAR-1, Run: 020, P, 86, 0, 38, 100, 38
INVAR-1, Run: 021, P, 81, 0, 38, 95, 38
INVAR-1, Run: 022, P, 100, 0, 38, 114, 38
INVAR-1, Run: 023, P, 99, 0, 38, 113, 38
INVAR-1, Run: 024, P, 76, 0, 38, 90, 38
INVAR-1, Run: 025, P, 78, 0, 38, 92, 38
INVAR-1, Run: 026, P, 93, 0, 38, 107, 38
INVAR-1, Run: 027, P, 110, 0, 38, 124, 38
INVAR-1, Run: 028, P, 87, 0, 38, 101, 38
INVAR-1, Run: 029, P, 93, 0, 38, 107, 38
INVAR-1, Run: 030, P, 88, 0, 38, 102, 38
INVAR-1, Run: 031, P, 107, 0, 38, 121, 38
INVAR-1, Run: 032, P, 81, 0, 38, 95, 38
INVAR-1, Run: 033, P, 112, 0, 38, 126, 38
INVAR-1, Run: 034, P, 80, 0, 38, 94, 38
INVAR-1, Run: 035, P, 74, 0, 38, 88, 38
INVAR-1, Run: 036, P, 88, 0, 38, 102, 38
INVAR-1, Run: 037, P, 79, 0, 38, 93, 38
INVAR-1, Run: 038, P, 84, 0, 38, 98, 38
INVAR-1, Run: 039, P, 95, 0, 38, 109, 38
INVAR-1, Run: 040, P, 96, 0, 38, 110, 38
INVAR-1, Run: 041, P, 106, 0, 38, 120, 38
