Input Number, Run_Number, Result@ 100, X, Y, Z, NEW_REACTION, Reaction1
INVAR-1, Run: 042, P, 95, 0, 38, 109, 38
INVAR-1, Run: 043, P, 92, 0, 38, 106, 38
INVAR-1, Run: 044, P, 77, 0, 38, 91, 38
INVAR-1, Run: 045, P, 88, 0, 38, 102, 38
INVAR-1, Run: 046, P, 75, 0, 38, 89, 38
INVAR-1, Run: 047, P, 90, 0, 38, 104, 38
INVAR-1, Run: 048, P, 96, 0, 38, 110, 38
INVAR-1, Run: 049, P, 73, 0, 38, 87, 38
INVAR-1, Run: 050, P, 91, 0, 38, 105, 38
INVAR-1, Run: 051, P, 79, 0, 38, 93, 38
INVAR-1, Run: 052, P, 88, 0, 38, 102, 38
INVAR-1, Run: 053, P, 66, 0, 38, 80, 38
INVAR-1, Run: 054, P, 103, 0, 38, 117, 38
INVAR-1, Run: 055, P, 71, 0, 38, 85, 38
INVAR-1, Run: 056, P, 96, 0, 38, 110, 38
INVAR-1, Run: 057, P, 81, 0, 38, 95, 38
INVAR-1, Run: 058, P, 58, 0, 38, 72, 38
INVAR-1, Run: 059, P, 76, 0, 38, 90, 38
INVAR-1, Run: 060, P, 93, 0, 38, 107, 38
INVAR-1, Run: 061, P, 91, 0, 38, 105, 38
INVAR-1, Run: 062, P, 90, 0, 38, 104, 38
INVAR-1, Run: 063, P, 92, 0, 38, 106, 38
INVAR-1, Run: 064, P, 75, 0, 38, 89, 38
INVAR-1, Run: 065, P, 90, 0, 38, 104, 38
INVAR-1, Run: 066, P, 90, 0, 38, 104, 38
INVAR-1, Run: 067, P, 85, 0, 38, 99, 38
INVAR-1, Run: 068, P, 90, 0, 38, 104, 38
INVAR-1, Run: 069, P, 85, 0, 38, 99, 38
INVAR-1, Run: 070, P, 67, 0, 38, 81, 38
INVAR-1, Run: 071, P, 76, 0, 38, 90, 38
INVAR-1, Run: 072, P, 90, 0, 38, 104, 38
INVAR-1, Run: 073, P, 84, 0, 38, 98, 38
INVAR-1, Run: 074, P, 80, 0, 38, 94, 38
INVAR-1, Run: 075, P, 97, 0, 38, 111, 38
INVAR-1, Run: 076, P, 94, 0, 38, 108, 38
INVAR-1, Run: 077, P, 78, 0, 38, 92, 38
INVAR-1, Run: 078, P, 99, 0, 38, 113, 38
INVAR-1, Run: 079, P, 82, 0, 38, 96, 38
INVAR-1, Run: 080, P, 85, 0, 38, 99, 38
INVAR-1, Run: 081, P, 97, 0, 38, 111, 38
INVAR-1, Run: 082, P, 81, 0, 38, 95, 38
INVAR-1, Run: 083, P, 86, 0, 38, 100, 38
INVAR-1, Run: 084, P, 102, 0, 38, 116, 38
INVAR-1, Run: 085, P, 77, 0, 38, 91, 38
INVAR-1, Run: 086, P, 90, 0, 38, 104, 38
INVAR-1, Run: 087, P, 79, 0, 38, 93, 38
INVAR-1, Run: 088, P, 89, 0, 38, 103, 38
INVAR-1, Run: 089, P, 92, 0, 38, 106, 38
INVAR-1, Run: 090, P, 79, 0, 38, 93, 38
INVAR-1, Run: 091, P, 79, 0, 38, 93, 38
INVAR-1, Run: 092, P, 80, 0, 38, 94, 38
INVAR-1, Run: 093, P, 111, 0, 38, 125, 38
INVAR-1, Run: 094, P, 93, 0, 38, 107, 38
INVAR-1, Run: 095, P, 91, 0, 38, 105, 38
INVAR-1, Run: 096, P, 92, 0, 38, 106, 38
INVAR-1, Run: 097, P, 73, 0, 38, 87, 38
INVAR-1, Run: 098, P, 80, 0, 38, 94, 38
INVAR-1, Run: 099, P, 74, 0, 38, 88, 38
INVAR-1, Run: 100, P, 98, 0, 38, 112, 38
INVAR-10, Run: 001, P, 92, 0, 50, 100, 50
INVAR-10, Run: 002, P, 92, 0, 50, 100, 50
INVAR-10, Run: 003, P, 92, 0, 50, 100, 50
INVAR-10, Run: 004, P, 93, 0, 50, 101, 50
INVAR-10, Run: 005, P, 116, 0, 50, 124, 50
INVAR-10, Run: 006, P, 99, 0, 50, 107, 50
INVAR-10, Run: 007, P, 94, 0, 50, 102, 50
INVAR-10, Run: 008, P, 90, 0, 50, 98, 50
INVAR-10, Run: 009, P, 84, 0, 50, 92, 50
INVAR-10, Run: 010, P, 96, 0, 50, 104, 50
INVAR-10, Run: 011, P, 103, 0, 50, 111, 50
INVAR-10, Run: 012, P, 99, 0, 50, 107, 50
INVAR-10, Run: 013, P, 86, 0, 50, 94, 50
INVAR-10, Run: 014, P, 83, 0, 50, 91, 50
INVAR-10, Run: 015, P, 85, 0, 50, 93, 50
INVAR-10, Run: 016, P, 87, 0, 50, 95, 50
INVAR-10, Run: 017, P, 95, 0, 50, 103, 50
INVAR-10, Run: 018, P, 108, 0, 50, 116, 50
INVAR-10, Run: 019, P, 94, 0, 50, 102, 50
INVAR-10, Run: 020, P, 101, 0, 50, 109, 50
INVAR-10, Run: 021, P, 78, 0, 50, 86, 50
INVAR-10, Run: 022, P, 87, 0, 50, 95, 50
INVAR-10, Run: 023, P, 100, 0, 50, 108, 50
INVAR-10, Run: 024, P, 98, 0, 50, 106, 50
INVAR-10, Run: 025, P, 114, 0, 50, 122, 50
INVAR-10, Run: 026, P, 111, 0, 50, 119, 50
INVAR-10, Run: 027, P, 80, 0, 50, 88, 50
INVAR-10, Run: 028, P, 87, 0, 50, 95, 50
INVAR-10, Run: 029, P, 83, 0, 50, 91, 50
INVAR-10, Run: 030, P, 89, 0, 50, 97, 50
INVAR-10, Run: 031, P, 100, 0, 50, 108, 50
INVAR-10, Run: 032, P, 83, 0, 50, 91, 50
INVAR-10, Run: 033, P, 86, 0, 50, 94, 50
INVAR-10, Run: 034, P, 87, 0, 50, 95, 50
INVAR-10, Run: 035, P, 100, 0, 50, 108, 50
INVAR-10, Run: 036, P, 92, 0, 50, 100, 50
INVAR-10, Run: 037, P, 85, 0, 50, 93, 50
INVAR-10, Run: 038, P, 80, 0, 50, 88, 50
INVAR-10, Run: 039, P, 81, 0, 50, 89, 50
INVAR-10, Run: 040, P, 89, 0, 50, 97, 50
INVAR-10, Run: 041, P, 98, 0, 50, 106, 50
INVAR-10, Run: 042, P, 95, 0, 50, 103, 50
INVAR-10, Run: 043, P, 84, 0, 50, 92, 50
INVAR-10, Run: 044, P, 93, 0, 50, 101, 50
INVAR-10, Run: 045, P, 91, 0, 50, 99, 50
INVAR-10, Run: 046, P, 101, 0, 50, 109, 50
INVAR-10, Run: 047, P, 81, 0, 50, 89, 50
INVAR-10, Run: 048, P, 97, 0, 50, 105, 50
INVAR-10, Run: 049, P, 112, 0, 50, 120, 50
INVAR-10, Run: 050, P, 94, 0, 50, 102, 50
INVAR-10, Run: 051, P, 86, 0, 50, 94, 50
INVAR-10, Run: 052, P, 87, 0, 50, 95, 50
INVAR-10, Run: 053, P, 103, 0, 50, 111, 50
INVAR-10, Run: 054, P, 93, 0, 50, 101, 50
INVAR-10, Run: 055, P, 79, 0, 50, 87, 50
INVAR-10, Run: 056, P, 95, 0, 50, 103, 50
INVAR-10, Run: 057, P, 88, 0, 50, 96, 50
INVAR-10, Run: 058, P, 100, 0, 50, 108, 50
INVAR-10, Run: 059, P, 97, 0, 50, 105, 50
INVAR-10, Run: 060, P, 90, 0, 50, 98, 50
INVAR-10, Run: 061, P, 93, 0, 50, 101, 50
INVAR-10, Run: 062, P, 105, 0, 50, 113, 50
INVAR-10, Run: 063, P, 93, 0, 50, 101, 50
INVAR-10, Run: 064, P, 100, 0, 50, 108, 50
INVAR-10, Run: 065, P, 112, 0, 50, 120, 50
INVAR-10, Run: 066, P, 91, 0, 50, 99, 50
INVAR-10, Run: 067, P, 103, 0, 50, 111, 50
INVAR-10, Run: 068, P, 99, 0, 50, 107, 50
INVAR-10, Run: 069, P, 118, 0, 50, 126, 50
INVAR-10, Run: 070, P, 98, 0, 50, 106, 50
INVAR-10, Run: 071, P, 88, 0, 50, 96, 50
INVAR-10, Run: 072, P, 89, 0, 50, 97, 50
INVAR-10, Run: 073, P, 91, 0, 50, 99, 50
INVAR-10, Run: 074, P, 89, 0, 50, 97, 50
INVAR-10, Run: 075, P, 90, 0, 50, 98, 50
INVAR-10, Run: 076, P, 80, 0, 50, 88, 50
INVAR-10, Run: 077, P, 92, 0, 50, 100, 50
INVAR-10, Run: 078, P, 91, 0, 50, 99, 50
INVAR-10, Run: 079, P, 98, 0, 50, 106, 50
INVAR-10, Run: 080, P, 84, 0, 50, 92, 50
INVAR-10, Run: 081, P, 75, 0, 50, 83, 50
INVAR-10, Run: 082, P, 88, 0, 50, 96, 50
INVAR-10, Run: 083, P, 88, 0, 50, 96, 50
INVAR-10, Run: 084, P, 87, 0, 50, 95, 50
INVAR-10, Run: 085, P, 87, 0, 50, 95, 50
INVAR-10, Run: 086, P, 101, 0, 50, 109, 50
INVAR-10, Run: 087, P, 99, 0, 50, 107, 50
INVAR-10, Run: 088, P, 101, 0, 50, 109, 50
INVAR-10, Run: 089, P, 92, 0, 50, 100, 50
INVAR-10, Run: 090, P, 83, 0, 50, 91, 50
INVAR-10, Run: 091, P, 90, 0, 50, 98, 50
INVAR-10, Run: 092, P, 96, 0, 50, 104, 50
INVAR-10, Run: 093, P, 106, 0, 50, 114, 50
INVAR-10, Run: 094, P, 99, 0, 50, 107, 50
INVAR-10, Run: 095, P, 92, 0, 50, 100, 50
INVAR-10, Run: 096, P, 81, 0, 50, 89, 50
INVAR-10, Run: 097, P, 88, 0, 50, 96, 50
INVAR-10, Run: 098, P, 89, 0, 50, 97, 50
INVAR-10, Run: 099, P, 94, 0, 50, 102, 50
INVAR-10, Run: 100, P, 83, 0, 50, 91, 50
INVAR-11, Run: 001, P, 56, 0, 100, 98, 100
INVAR-11, Run: 002, P, 43, 0, 100, 85, 100
INVAR-11, Run: 003, P, 49, 0, 100, 91, 100
INVAR-11, Run: 004, P, 36, 0, 100, 78, 100
INVAR-11, Run: 005, P, 72, 0, 100, 114, 100
INVAR-11, Run: 006, P, 75, 0, 100, 117, 100
INVAR-11, Run: 007, P, 54, 0, 100, 96, 100
INVAR-11, Run: 008, P, 60, 0, 100, 102, 100
INVAR-11, Run: 009, P, 59, 0, 100, 101, 100
INVAR-11, Run: 010, P, 47, 0, 100, 89, 100
INVAR-11, Run: 011, P, 46, 0, 100, 88, 100
INVAR-11, Run: 012, P, 68, 0, 100, 110, 100
INVAR-11, Run: 013, P, 79, 0, 100, 121, 100
INVAR-11, Run: 014, P, 66, 0, 100, 108, 100
INVAR-11, Run: 015, P, 71, 0, 100, 113, 100
INVAR-11, Run: 016, P, 47, 0, 100, 89, 100
INVAR-11, Run: 017, P, 49, 0, 100, 91, 100
INVAR-11, Run: 018, P, 70, 0, 100, 112, 100
INVAR-11, Run: 019, P, 48, 0, 100, 90, 100
INVAR-11, Run: 020, P, 66, 0, 100, 108, 100
INVAR-11, Run: 021, P, 56, 0, 100, 98, 100
INVAR-11, Run: 022, P, 64, 0, 100, 106, 100
INVAR-11, Run: 023, P, 51, 0, 100, 93, 100
INVAR-11, Run: 024, P, 65, 0, 100, 107, 100
INVAR-11, Run: 025, P, 41, 0, 100, 83, 100
INVAR-11, Run: 026, P, 67, 0, 100, 109, 100
INVAR-11, Run: 027, P, 61, 0, 100, 103, 100
INVAR-11, Run: 028, P, 37, 0, 100, 79, 100
INVAR-11, Run: 029, P, 70, 0, 100, 112, 100
INVAR-11, Run: 030, P, 58, 0, 100, 100, 100
INVAR-11, Run: 031, P, 54, 0, 100, 96, 100
INVAR-11, Run: 032, P, 69, 0, 100, 111, 100
INVAR-11, Run: 033, P, 57, 0, 100, 99, 100
INVAR-11, Run: 034, P, 69, 0, 100, 111, 100
INVAR-11, Run: 035, P, 52, 0, 100, 94, 100
INVAR-11, Run: 036, P, 60, 0, 100, 102, 100
INVAR-11, Run: 037, P, 69, 0, 100, 111, 100
INVAR-11, Run: 038, P, 67, 0, 100, 109, 100
INVAR-11, Run: 039, P, 56, 0, 100, 98, 100
INVAR-11, Run: 040, P, 63, 0, 100, 105, 100
INVAR-11, Run: 041, P, 52, 0, 100, 94, 100
INVAR-11, Run: 042, P, 65, 0, 100, 107, 100
INVAR-11, Run: 043, P, 60, 0, 100, 102, 100
INVAR-11, Run: 044, P, 62, 0, 100, 104, 100
INVAR-11, Run: 045, P, 58, 0, 100, 100, 100
INVAR-11, Run: 046, P, 69, 0, 100, 111, 100
INVAR-11, Run: 047, P, 73, 0, 100, 115, 100
INVAR-11, Run: 048, P, 51, 0, 100, 93, 100
INVAR-11, Run: 049, P, 50, 0, 100, 92, 100
INVAR-11, Run: 050, P, 51, 0, 100, 93, 100
INVAR-11, Run: 051, P, 63, 0, 100, 105, 100
INVAR-11, Run: 052, P, 67, 0, 100, 109, 100
INVAR-11, Run: 053, P, 48, 0, 100, 90, 100
INVAR-11, Run: 054, P, 54, 0, 100, 96, 100
INVAR-11, Run: 055, P, 62, 0, 100, 104, 100
INVAR-11, Run: 056, P, 68, 0, 100, 110, 100
INVAR-11, Run: 057, P, 63, 0, 100, 105, 100
INVAR-11, Run: 058, P, 49, 0, 100, 91, 100
INVAR-11, Run: 059, P, 47, 0, 100, 89, 100
INVAR-11, Run: 060, P, 48, 0, 100, 90, 100
INVAR-11, Run: 061, P, 46, 0, 100, 88, 100
INVAR-11, Run: 062, P, 56, 0, 100, 98, 100
INVAR-11, Run: 063, P, 67, 0, 100, 109, 100
INVAR-11, Run: 064, P, 57, 0, 100, 99, 100
INVAR-11, Run: 065, P, 73, 0, 100, 115, 100
INVAR-11, Run: 066, P, 46, 0, 100, 88, 100
INVAR-11, Run: 067, P, 52, 0, 100, 94, 100
INVAR-11, Run: 068, P, 45, 0, 100, 87, 100
INVAR-11, Run: 069, P, 55, 0, 100, 97, 100
INVAR-11, Run: 070, P, 44, 0, 100, 86, 100
INVAR-11, Run: 071, P, 42, 0, 100, 84, 100
INVAR-11, Run: 072, P, 58, 0, 100, 100, 100
INVAR-11, Run: 073, P, 56, 0, 100, 98, 100
INVAR-11, Run: 074, P, 55, 0, 100, 97, 100
INVAR-11, Run: 075, P, 52, 0, 100, 94, 100
INVAR-11, Run: 076, P, 68, 0, 100, 110, 100
INVAR-11, Run: 077, P, 47, 0, 100, 89, 100
INVAR-11, Run: 078, P, 65, 0, 100, 107, 100
INVAR-11, Run: 079, P, 62, 0, 100, 104, 100
INVAR-11, Run: 080, P, 65, 0, 100, 107, 100
INVAR-11, Run: 081, P, 51, 0, 100, 93, 100
INVAR-11, Run: 082, P, 48, 0, 100, 90, 100
INVAR-11, Run: 083, P, 54, 0, 100, 96, 100
INVAR-11, Run: 084, P, 64, 0, 100, 106, 100
INVAR-11, Run: 085, P, 73, 0, 100, 115, 100
INVAR-11, Run: 086, P, 55, 0, 100, 97, 100
INVAR-11, Run: 087, P, 52, 0, 100, 94, 100
INVAR-11, Run: 088, P, 63, 0, 100, 105, 100
INVAR-11, Run: 089, P, 51, 0, 100, 93, 100
INVAR-11, Run: 090, P, 53, 0, 100, 95, 100
INVAR-11, Run: 091, P, 56, 0, 100, 98, 100
INVAR-11, Run: 092, P, 58, 0, 100, 100, 100
INVAR-11, Run: 093, P, 49, 0, 100, 91, 100
INVAR-11, Run: 094, P, 51, 0, 100, 93, 100
INVAR-11, Run: 095, P, 68, 0, 100, 110, 100
INVAR-11, Run: 096, P, 66, 0, 100, 108, 100
INVAR-11, Run: 097, P, 69, 0, 100, 111, 100
INVAR-11, Run: 098, P, 73, 0, 100, 115, 100
INVAR-11, Run: 099, P, 63, 0, 100, 105, 100
INVAR-11, Run: 100, P, 56, 0, 100, 98, 100
INVAR-12, Run: 001, P, 13, 0, 200, 83, 200
INVAR-12, Run: 002, P, 30, 0, 200, 100, 200
INVAR-12, Run: 003, P, 20, 0, 200, 90, 200
INVAR-12, Run: 004, P, 48, 0, 200, 118, 200
INVAR-12, Run: 005, P, 39, 0, 200, 109, 200
INVAR-12, Run: 006, P, 46, 0, 200, 116, 200
INVAR-12, Run: 007, P, 41, 0, 200, 111, 200
INVAR-12, Run: 008, P, 39, 0, 200, 109, 200
INVAR-12, Run: 009, P, 32, 0, 200, 102, 200
INVAR-12, Run: 010, P, 27, 0, 200, 97, 200
INVAR-12, Run: 011, P, 29, 0, 200, 99, 200
INVAR-12, Run: 012, P, 44, 0, 200, 114, 200
INVAR-12, Run: 013, P, 34, 0, 200, 104, 200
INVAR-12, Run: 014, P, 32, 0, 200, 102, 200
INVAR-12, Run: 015, P, 23, 0, 200, 93, 200
INVAR-12, Run: 016, P, 42, 0, 200, 112, 200
INVAR-12, Run: 017, P, 40, 0, 200, 110, 200
INVAR-12, Run: 018, P, 39, 0, 200, 109, 200
INVAR-12, Run: 019, P, 45, 0, 200, 115, 200
INVAR-12, Run: 020, P, 25, 0, 200, 95, 200
INVAR-12, Run: 021, P, 24, 0, 200, 94, 200
INVAR-12, Run: 022, P, 24, 0, 200, 94, 200
INVAR-12, Run: 023, P, 34, 0, 200, 104, 200
INVAR-12, Run: 024, P, 33, 0, 200, 103, 200
INVAR-12, Run: 025, P, 33, 0, 200, 103, 200
INVAR-12, Run: 026, P, 16, 0, 200, 86, 200
INVAR-12, Run: 027, P, 31, 0, 200, 101, 200
INVAR-12, Run: 028, P, 36, 0, 200, 106, 200
INVAR-12, Run: 029, P, 25, 0, 200, 95, 200
INVAR-12, Run: 030, P, 24, 0, 200, 94, 200
INVAR-12, Run: 031, P, 36, 0, 200, 106, 200
INVAR-12, Run: 032, P, 26, 0, 200, 96, 200
INVAR-12, Run: 033, P, 26, 0, 200, 96, 200
INVAR-12, Run: 034, P, 41, 0, 200, 111, 200
INVAR-12, Run: 035, P, 8, 0, 200, 78, 200
INVAR-12, Run: 036, P, 24, 0, 200, 94, 200
INVAR-12, Run: 037, P, 20, 0, 200, 90, 200
INVAR-12, Run: 038, P, 15, 0, 200, 85, 200
INVAR-12, Run: 039, P, 22, 0, 200, 92, 200
INVAR-12, Run: 040, P, 27, 0, 200, 97, 200
INVAR-12, Run: 041, P, 19, 0, 200, 89, 200
INVAR-12, Run: 042, P, 37, 0, 200, 107, 200
INVAR-12, Run: 043, P, 35, 0, 200, 105, 200
INVAR-12, Run: 044, P, 30, 0, 200, 100, 200
INVAR-12, Run: 045, P, 17, 0, 200, 87, 200
INVAR-12, Run: 046, P, 38, 0, 200, 108, 200
INVAR-12, Run: 047, P, 20, 0, 200, 90, 200
INVAR-12, Run: 048, P, 37, 0, 200, 107, 200
INVAR-12, Run: 049, P, 15, 0, 200, 85, 200
INVAR-12, Run: 050, P, 15, 0, 200, 85, 200
INVAR-12, Run: 051, P, 37, 0, 200, 107, 200
INVAR-12, Run: 052, P, 25, 0, 200, 95, 200
INVAR-12, Run: 053, P, 51, 0, 200, 121, 200
INVAR-12, Run: 054, P, 26, 0, 200, 96, 200
INVAR-12, Run: 055, P, 25, 0, 200, 95, 200
INVAR-12, Run: 056, P, 31, 0, 200, 101, 200
INVAR-12, Run: 057, P, 42, 0, 200, 112, 200
INVAR-12, Run: 058, P, 30, 0, 200, 100, 200
INVAR-12, Run: 059, P, 19, 0, 200, 89, 200
INVAR-12, Run: 060, P, 31, 0, 200, 101, 200
INVAR-12, Run: 061, P, 37, 0, 200, 107, 200
INVAR-12, Run: 062, P, 30, 0, 200, 100, 200
INVAR-12, Run: 063, P, 31, 0, 200, 101, 200
INVAR-12, Run: 064, P, 25, 0, 200, 95, 200
INVAR-12, Run: 065, P, 27, 0, 200, 97, 200
INVAR-12, Run: 066, P, 17, 0, 200, 87, 200
INVAR-12, Run: 067, P, 21, 0, 200, 91, 200
INVAR-12, Run: 068, P, 37, 0, 200, 107, 200
INVAR-12, Run: 069, P, 29, 0, 200, 99, 200
INVAR-12, Run: 070, P, 46, 0, 200, 116, 200
INVAR-12, Run: 071, P, 48, 0, 200, 118, 200
INVAR-12, Run: 072, P, 24, 0, 200, 94, 200
INVAR-12, Run: 073, P, 12, 0, 200, 82, 200
INVAR-12, Run: 074, P, 16, 0, 200, 86, 200
INVAR-12, Run: 075, P, 29, 0, 200, 99, 200
INVAR-12, Run: 076, P, 32, 0, 200, 102, 200
INVAR-12, Run: 077, P, 31, 0, 200, 101, 200
INVAR-12, Run: 078, P, 32, 0, 200, 102, 200
INVAR-12, Run: 079, P, 13, 0, 200, 83, 200
INVAR-12, Run: 080, P, 45, 0, 200, 115, 200
INVAR-12, Run: 081, P, 32, 0, 200, 102, 200
INVAR-12, Run: 082, P, 38, 0, 200, 108, 200
INVAR-12, Run: 083, P, 18, 0, 200, 88, 200
INVAR-12, Run: 084, P, 20, 0, 200, 90, 200
INVAR-12, Run: 085, P, 18, 0, 200, 88, 200
INVAR-12, Run: 086, P, 6, 0, 200, 76, 200
INVAR-12, Run: 087, P, 21, 0, 200, 91, 200
INVAR-12, Run: 088, P, 35, 0, 200, 105, 200
INVAR-12, Run: 089, P, 20, 0, 200, 90, 200
INVAR-12, Run: 090, P, 26, 0, 200, 96, 200
INVAR-12, Run: 091, P, 23, 0, 200, 93, 200
INVAR-12, Run: 092, P, 23, 0, 200, 93, 200
INVAR-12, Run: 093, P, 30, 0, 200, 100, 200
INVAR-12, Run: 094, P, 28, 0, 200, 98, 200
INVAR-12, Run: 095, P, 22, 0, 200, 92, 200
INVAR-12, Run: 096, P, 29, 0, 200, 99, 200
INVAR-12, Run: 097, P, 29, 0, 200, 99, 200
INVAR-12, Run: 098, P, 28, 0, 200, 98, 200
INVAR-12, Run: 099, P, 42, 0, 200, 112, 200
INVAR-12, Run: 100, P, 32, 0, 200, 102, 200
INVAR-13, Run: 001, P, 86, 0, 18, 99, 18
INVAR-13, Run: 002, P, 94, 0, 18, 107, 18
INVAR-13, Run: 003, P, 92, 0, 18, 105, 18
INVAR-13, Run: 004, P, 90, 0, 18, 103, 18
INVAR-13, Run: 005, P, 81, 0, 18, 94, 18
INVAR-13, Run: 006, P, 79, 0, 18, 92, 18
INVAR-13, Run: 007, P, 65, 0, 18, 78, 18
INVAR-13, Run: 008, P, 87, 0, 18, 100, 18
INVAR-13, Run: 009, P, 105, 0, 18, 118, 18
INVAR-13, Run: 010, P, 87, 0, 18, 100, 18
INVAR-13, Run: 011, P, 96, 0, 18, 109, 18
INVAR-13, Run: 012, P, 89, 0, 18, 102, 18
INVAR-13, Run: 013, P, 100, 0, 18, 113, 18
INVAR-13, Run: 014, P, 99, 0, 18, 112, 18
INVAR-13, Run: 015, P, 93, 0, 18, 106, 18
INVAR-13, Run: 016, P, 78, 0, 18, 91, 18
INVAR-13, Run: 017, P, 90, 0, 18, 103, 18
INVAR-13, Run: 018, P, 79, 0, 18, 92, 18
INVAR-13, Run: 019, P, 94, 0, 18, 107, 18
INVAR-13, Run: 020, P, 97, 0, 18, 110, 18
INVAR-13, Run: 021, P, 97, 0, 18, 110, 18
INVAR-13, Run: 022, P, 109, 0, 18, 122, 18
INVAR-13, Run: 023, P, 82, 0, 18, 95, 18
INVAR-13, Run: 024, P, 94, 0, 18, 107, 18
INVAR-13, Run: 025, P, 93, 0, 18, 106, 18
INVAR-13, Run: 026, P, 87, 0, 18, 100, 18
INVAR-13, Run: 027, P, 77, 0, 18, 90, 18
INVAR-13, Run: 028, P, 94, 0, 18, 107, 18
INVAR-13, Run: 029, P, 82, 0, 18, 95, 18
INVAR-13, Run: 030, P, 75, 0, 18, 88, 18
INVAR-13, Run: 031, P, 101, 0, 18, 114, 18
INVAR-13, Run: 032, P, 95, 0, 18, 108, 18
INVAR-13, Run: 033, P, 77, 0, 18, 90, 18
INVAR-13, Run: 034, P, 98, 0, 18, 111, 18
INVAR-13, Run: 035, P, 82, 0, 18, 95, 18
INVAR-13, Run: 036, P, 84, 0, 18, 97, 18
INVAR-13, Run: 037, P, 76, 0, 18, 89, 18
INVAR-13, Run: 038, P, 84, 0, 18, 97, 18
INVAR-13, Run: 039, P, 97, 0, 18, 110, 18
INVAR-13, Run: 040, P, 109, 0, 18, 122, 18
INVAR-13, Run: 041, P, 83, 0, 18, 96, 18
INVAR-13, Run: 042, P, 100, 0, 18, 113, 18
INVAR-13, Run: 043, P, 92, 0, 18, 105, 18
INVAR-13, Run: 044, P, 92, 0, 18, 105, 18
INVAR-13, Run: 045, P, 98, 0, 18, 111, 18
INVAR-13, Run: 046, P, 93, 0, 18, 106, 18
INVAR-13, Run: 047, P, 95, 0, 18, 108, 18
INVAR-13, Run: 048, P, 80, 0, 18, 93, 18
INVAR-13, Run: 049, P, 105, 0, 18, 118, 18
INVAR-13, Run: 050, P, 76, 0, 18, 89, 18
INVAR-13, Run: 051, P, 77, 0, 18, 90, 18
INVAR-13, Run: 052, P, 80, 0, 18, 93, 18
INVAR-13, Run: 053, P, 88, 0, 18, 101, 18
INVAR-13, Run: 054, P, 88, 0, 18, 101, 18
INVAR-13, Run: 055, P, 89, 0, 18, 102, 18
INVAR-13, Run: 056, P, 69, 0, 18, 82, 18
INVAR-13, Run: 057, P, 109, 0, 18, 122, 18
INVAR-13, Run: 058, P, 105, 0, 18, 118, 18
INVAR-13, Run: 059, P, 94, 0, 18, 107, 18
INVAR-13, Run: 060, P, 74, 0, 18, 87, 18
INVAR-13, Run: 061, P, 95, 0, 18, 108, 18
INVAR-13, Run: 062, P, 89, 0, 18, 102, 18
INVAR-13, Run: 063, P, 92, 0, 18, 105, 18
