Input Number, Run_Number, Result@ 100, X2, U, X1
INVAR-1, Run: 001, P, 0, 0, 38
INVAR-1, Run: 002, F, 499929, 1, 0
INVAR-1, Run: 003, F, 0, 0, 41
INVAR-1, Run: 004, F, 0, 0, 40
INVAR-1, Run: 005, F, 0, 0, 40
INVAR-1, Run: 006, F, 0, 0, 40
INVAR-1, Run: 007, F, 0, 0, 40
INVAR-1, Run: 008, F, 0, 0, 39
INVAR-1, Run: 009, P, 0, 0, 38
INVAR-1, Run: 010, F, 0, 0, 39
INVAR-1, Run: 011, P, 0, 0, 38
INVAR-1, Run: 012, P, 0, 0, 38
INVAR-1, Run: 013, P, 0, 0, 38
INVAR-1, Run: 014, F, 0, 0, 42
INVAR-1, Run: 015, P, 0, 0, 38
INVAR-1, Run: 016, F, 0, 0, 39
INVAR-1, Run: 017, F, 0, 0, 39
INVAR-1, Run: 018, P, 0, 0, 38
INVAR-1, Run: 019, F, 0, 0, 39
INVAR-1, Run: 020, F, 0, 0, 39
INVAR-1, Run: 021, P, 0, 0, 38
INVAR-1, Run: 022, F, 0, 0, 40
INVAR-1, Run: 023, F, 0, 0, 42
INVAR-1, Run: 024, F, 0, 0, 39
INVAR-1, Run: 025, F, 0, 0, 41
INVAR-1, Run: 026, F, 0, 0, 39
INVAR-1, Run: 027, F, 0, 0, 41
INVAR-1, Run: 028, P, 0, 0, 38
INVAR-1, Run: 029, P, 0, 0, 38
INVAR-1, Run: 030, P, 0, 0, 38
INVAR-1, Run: 031, F, 0, 0, 39
INVAR-1, Run: 032, P, 0, 0, 38
INVAR-1, Run: 033, F, 0, 0, 39
INVAR-1, Run: 034, F, 0, 0, 39
INVAR-1, Run: 035, P, 0, 0, 38
INVAR-1, Run: 036, P, 0, 0, 38
INVAR-1, Run: 037, F, 0, 0, 41
INVAR-1, Run: 038, F, 0, 0, 39
INVAR-1, Run: 039, P, 0, 0, 38
INVAR-1, Run: 040, P, 0, 0, 38
INVAR-1, Run: 041, P, 0, 0, 38
INVAR-1, Run: 042, F, 0, 0, 42
INVAR-1, Run: 043, F, 0, 0, 41
INVAR-1, Run: 044, F, 0, 0, 42
INVAR-1, Run: 045, P, 0, 0, 38
INVAR-1, Run: 046, P, 0, 0, 38
INVAR-1, Run: 047, F, 0, 0, 40
INVAR-1, Run: 048, F, 0, 0, 40
INVAR-1, Run: 049, P, 0, 0, 38
INVAR-1, Run: 050, P, 0, 0, 38
INVAR-1, Run: 051, F, 0, 0, 40
INVAR-1, Run: 052, F, 0, 0, 39
INVAR-1, Run: 053, F, 0, 0, 42
INVAR-1, Run: 054, F, 0, 0, 40
INVAR-1, Run: 055, F, 0, 0, 39
INVAR-1, Run: 056, P, 0, 0, 38
INVAR-1, Run: 057, F, 0, 0, 41
INVAR-1, Run: 058, P, 0, 0, 38
INVAR-1, Run: 059, P, 0, 0, 38
INVAR-1, Run: 060, P, 0, 0, 38
INVAR-1, Run: 061, F, 0, 0, 39
INVAR-1, Run: 062, P, 0, 0, 38
INVAR-1, Run: 063, F, 0, 0, 39
INVAR-1, Run: 064, P, 0, 0, 38
INVAR-1, Run: 065, P, 0, 0, 38
INVAR-1, Run: 066, P, 0, 0, 38
INVAR-1, Run: 067, F, 0, 0, 39
INVAR-1, Run: 068, F, 0, 0, 39
INVAR-1, Run: 069, F, 0, 0, 39
INVAR-1, Run: 070, F, 0, 0, 40
INVAR-1, Run: 071, F, 0, 0, 39
INVAR-1, Run: 072, F, 0, 0, 39
INVAR-1, Run: 073, F, 0, 0, 42
INVAR-1, Run: 074, F, 0, 0, 40
INVAR-1, Run: 075, P, 0, 0, 38
INVAR-1, Run: 076, P, 0, 0, 38
INVAR-1, Run: 077, P, 0, 0, 38
INVAR-1, Run: 078, P, 0, 0, 38
INVAR-1, Run: 079, F, 0, 0, 39
INVAR-1, Run: 080, F, 0, 0, 39
INVAR-1, Run: 081, F, 0, 0, 41
INVAR-1, Run: 082, F, 0, 0, 39
INVAR-1, Run: 083, F, 499965, 1, 0
INVAR-1, Run: 084, P, 0, 0, 38
INVAR-1, Run: 085, F, 0, 0, 40
INVAR-1, Run: 086, P, 0, 0, 38
INVAR-1, Run: 087, F, 0, 0, 39
INVAR-1, Run: 088, P, 0, 0, 38
INVAR-1, Run: 089, P, 0, 0, 38
INVAR-1, Run: 090, F, 0, 0, 39
INVAR-1, Run: 091, P, 0, 0, 38
INVAR-1, Run: 092, P, 0, 0, 38
INVAR-1, Run: 093, F, 0, 0, 39
INVAR-1, Run: 094, P, 0, 0, 38
INVAR-1, Run: 095, P, 0, 0, 38
INVAR-1, Run: 096, F, 0, 0, 39
INVAR-1, Run: 097, P, 0, 0, 38
INVAR-1, Run: 098, F, 0, 0, 40
INVAR-1, Run: 099, P, 0, 0, 38
INVAR-1, Run: 100, P, 0, 0, 38
INVAR-10, Run: 001, F, 0, 0, 13
INVAR-10, Run: 002, P, 0, 0, 12
INVAR-10, Run: 003, F, 0, 0, 13
INVAR-10, Run: 004, F, 499984, 3, 0
INVAR-10, Run: 005, F, 499996, 3, 0
INVAR-10, Run: 006, P, 0, 0, 12
INVAR-10, Run: 007, F, 499997, 1, 0
INVAR-10, Run: 008, F, 0, 0, 13
INVAR-10, Run: 009, F, 499978, 1, 0
INVAR-10, Run: 010, F, 0, 0, 14
INVAR-10, Run: 011, F, 499991, 3, 0
INVAR-10, Run: 012, F, 0, 0, 14
INVAR-10, Run: 013, F, 499998, 1, 0
INVAR-10, Run: 014, F, 0, 0, 14
INVAR-10, Run: 015, P, 0, 0, 12
INVAR-10, Run: 016, F, 0, 0, 13
INVAR-10, Run: 017, F, 500001, 1, 0
INVAR-10, Run: 018, P, 0, 0, 12
INVAR-10, Run: 019, F, 0, 0, 14
INVAR-10, Run: 020, P, 0, 0, 12
INVAR-10, Run: 021, F, 0, 0, 13
INVAR-10, Run: 022, P, 0, 0, 12
INVAR-10, Run: 023, F, 0, 0, 13
INVAR-10, Run: 024, F, 499971, 3, 0
INVAR-10, Run: 025, F, 0, 0, 13
INVAR-10, Run: 026, P, 0, 0, 12
INVAR-10, Run: 027, F, 0, 0, 14
INVAR-10, Run: 028, F, 499992, 1, 0
INVAR-10, Run: 029, F, 0, 0, 13
INVAR-10, Run: 030, F, 0, 0, 13
INVAR-10, Run: 031, F, 499980, 1, 0
INVAR-10, Run: 032, F, 0, 0, 14
INVAR-10, Run: 033, F, 0, 0, 14
INVAR-10, Run: 034, P, 0, 0, 12
INVAR-10, Run: 035, F, 0, 0, 15
INVAR-10, Run: 036, P, 0, 0, 12
INVAR-10, Run: 037, P, 0, 0, 12
INVAR-10, Run: 038, P, 0, 0, 12
INVAR-10, Run: 039, P, 0, 0, 12
INVAR-10, Run: 040, F, 499999, 3, 0
INVAR-10, Run: 041, F, 0, 0, 13
INVAR-10, Run: 042, F, 0, 0, 13
INVAR-10, Run: 043, F, 499994, 3, 0
INVAR-10, Run: 044, F, 499956, 1, 0
INVAR-10, Run: 045, F, 0, 0, 14
INVAR-10, Run: 046, P, 0, 0, 12
INVAR-10, Run: 047, F, 0, 0, 13
INVAR-10, Run: 048, P, 0, 0, 12
INVAR-10, Run: 049, F, 499996, 1, 0
INVAR-10, Run: 050, P, 0, 0, 12
INVAR-10, Run: 051, F, 0, 0, 13
INVAR-10, Run: 052, F, 0, 0, 14
INVAR-10, Run: 053, P, 0, 0, 12
INVAR-10, Run: 054, F, 499972, 5, 0
INVAR-10, Run: 055, F, 0, 0, 13
INVAR-10, Run: 056, F, 499999, 1, 0
INVAR-10, Run: 057, F, 0, 0, 15
INVAR-10, Run: 058, F, 0, 0, 13
INVAR-10, Run: 059, P, 0, 0, 12
INVAR-10, Run: 060, F, 0, 0, 13
INVAR-10, Run: 061, F, 499988, 3, 0
INVAR-10, Run: 062, F, 0, 0, 14
