Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_H1, predator_ccdB, predator_Q1a, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532
INVAR-1, Run: 001, P, 1, 2, 0, 0, 0, 1, 112, 0, 102, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1
INVAR-1, Run: 002, P, 1, 1, 1, 1, 1, 1, 88, 0, 31, 0, 0, 3, 1, 1, 3, 0, 0, 3, 1, 0, 0, 0, 1, 0, 0, 2, 0
INVAR-1, Run: 003, P, 1, 0, 0, 1, 0, 1, 98, 0, 58, 0, 3, 0, 0, 1, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1
INVAR-1, Run: 004, P, 1, 2, 0, 2, 4, 1, 104, 0, 30, 0, 1, 2, 2, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 005, P, 1, 1, 0, 2, 0, 1, 103, 0, 73, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 006, P, 1, 2, 0, 1, 0, 1, 94, 0, 91, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 3, 4, 0, 0, 6, 1
INVAR-1, Run: 007, P, 1, 0, 0, 2, 0, 1, 90, 0, 46, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 3, 3, 3, 0, 0, 0, 0, 1
INVAR-1, Run: 008, P, 1, 0, 1, 2, 3, 1, 107, 0, 29, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0
INVAR-1, Run: 009, P, 1, 2, 0, 1, 0, 1, 91, 0, 46, 0, 0, 2, 0, 1, 2, 0, 0, 5, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 010, P, 1, 2, 0, 1, 0, 1, 90, 0, 45, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 2, 3, 1, 0, 0, 2, 1
INVAR-1, Run: 011, P, 1, 1, 0, 0, 0, 1, 120, 0, 116, 0, 0, 2, 0, 1, 1, 0, 0, 2, 1, 3, 3, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 012, P, 1, 3, 1, 0, 0, 1, 99, 0, 41, 1, 0, 2, 1, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 013, P, 1, 3, 1, 1, 1, 1, 110, 0, 114, 0, 0, 2, 2, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 014, P, 1, 0, 0, 0, 1, 1, 108, 0, 63, 0, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 015, P, 1, 3, 1, 1, 0, 1, 116, 0, 112, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 1, 0
INVAR-1, Run: 016, P, 1, 0, 1, 2, 1, 1, 104, 0, 72, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 017, P, 1, 1, 0, 1, 2, 1, 103, 0, 27, 0, 1, 1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 018, P, 1, 0, 0, 0, 1, 1, 93, 0, 48, 0, 0, 4, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 1
INVAR-1, Run: 019, P, 1, 0, 0, 0, 1, 1, 88, 0, 42, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 2, 1
INVAR-1, Run: 020, P, 1, 1, 0, 1, 2, 1, 114, 0, 71, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1
INVAR-1, Run: 021, P, 1, 1, 1, 2, 1, 1, 107, 0, 77, 1, 0, 3, 2, 1, 2, 0, 0, 0, 1, 1, 1, 1, 2, 0, 0, 0, 0
INVAR-1, Run: 022, P, 1, 0, 1, 3, 5, 1, 100, 0, 17, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 023, P, 1, 0, 0, 1, 2, 1, 106, 0, 24, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 024, P, 1, 0, 1, 1, 0, 1, 98, 0, 87, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0
