Input Number, Run_Number, Result@ 1000, A, B, H, C, T1, L4, T4, L1, L5, Y, T2, T3, T5, T6, R, U, L2, D, L3
1, Run: 001, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 2, 0, 1, 1, 6, 0, 47, 0
1, Run: 002, P, 0, 0, 0, 10, 0, 0, 1, 0, 0, 108, 1, 2, 0, 0, 1, 6, 0, 46, 0
1, Run: 003, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 109, 0, 0, 1, 0, 1, 6, 0, 48, 0
1, Run: 004, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 106, 0, 0, 1, 0, 1, 6, 0, 48, 0
1, Run: 005, P, 0, 10, 0, 0, 3, 0, 1, 0, 0, 109, 0, 0, 0, 0, 1, 6, 0, 46, 0
1, Run: 006, P, 0, 10, 0, 0, 1, 0, 0, 0, 0, 112, 0, 1, 1, 0, 1, 6, 0, 47, 0
1, Run: 007, P, 0, 10, 0, 0, 2, 0, 1, 0, 0, 108, 1, 0, 0, 0, 1, 6, 0, 46, 0
1, Run: 008, P, 0, 10, 0, 0, 1, 0, 0, 0, 0, 107, 1, 0, 2, 0, 1, 6, 0, 46, 0
1, Run: 009, P, 10, 0, 0, 0, 0, 0, 1, 0, 0, 100, 0, 0, 0, 0, 1, 6, 0, 49, 0
1, Run: 010, P, 0, 0, 0, 10, 1, 0, 0, 0, 0, 108, 1, 1, 0, 1, 1, 6, 0, 46, 0
1, Run: 011, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 107, 2, 1, 0, 0, 1, 6, 0, 47, 0
1, Run: 012, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 1, 6, 0, 50, 0
1, Run: 013, P, 0, 0, 0, 10, 1, 0, 1, 0, 0, 109, 0, 0, 0, 0, 1, 6, 0, 48, 0
1, Run: 014, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 107, 0, 1, 0, 0, 1, 6, 0, 48, 0
1, Run: 015, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 1, 6, 0, 50, 0
1, Run: 016, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 108, 0, 0, 1, 1, 1, 6, 0, 48, 0
1, Run: 017, P, 0, 10, 0, 0, 1, 0, 0, 0, 0, 109, 0, 0, 0, 1, 1, 6, 0, 48, 0
1, Run: 018, P, 0, 10, 0, 0, 1, 0, 0, 0, 0, 108, 2, 1, 1, 1, 1, 6, 0, 44, 0
1, Run: 019, P, 0, 10, 0, 0, 1, 0, 1, 0, 0, 105, 1, 0, 0, 0, 1, 6, 0, 47, 0
1, Run: 020, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 108, 0, 0, 0, 0, 1, 6, 0, 49, 0
1, Run: 021, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 1, 1, 6, 0, 49, 0
1, Run: 022, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 0, 2, 1, 1, 1, 6, 0, 46, 0
1, Run: 023, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 1, 0, 1, 3, 1, 6, 0, 45, 0
1, Run: 024, P, 0, 10, 0, 0, 1, 0, 0, 0, 0, 109, 2, 1, 0, 0, 1, 6, 0, 46, 0
1, Run: 025, P, 0, 10, 0, 0, 1, 0, 0, 0, 0, 104, 0, 0, 0, 0, 1, 6, 0, 49, 0
1, Run: 026, P, 10, 0, 0, 0, 1, 0, 2, 0, 0, 100, 0, 0, 0, 0, 1, 6, 0, 47, 0
1, Run: 027, P, 0, 10, 0, 0, 2, 0, 0, 0, 0, 109, 0, 0, 0, 1, 1, 6, 0, 47, 0
1, Run: 028, P, 0, 0, 0, 10, 1, 0, 0, 0, 0, 108, 0, 0, 1, 1, 1, 6, 0, 47, 0
1, Run: 029, P, 0, 0, 0, 10, 0, 0, 1, 0, 0, 109, 0, 1, 1, 1, 1, 6, 0, 46, 0
1, Run: 030, P, 0, 10, 0, 0, 1, 0, 0, 0, 0, 107, 0, 0, 1, 1, 1, 6, 0, 47, 0
1, Run: 031, P, 0, 10, 0, 0, 1, 0, 1, 0, 0, 110, 0, 0, 0, 0, 1, 6, 0, 48, 0
1, Run: 032, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 2, 1, 1, 6, 0, 47, 0
1, Run: 033, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 108, 0, 0, 0, 2, 1, 6, 0, 47, 0
1, Run: 034, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 107, 0, 0, 0, 0, 1, 6, 0, 49, 0
1, Run: 035, P, 0, 10, 0, 0, 1, 0, 0, 0, 0, 107, 2, 1, 0, 0, 1, 6, 0, 46, 0
1, Run: 036, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 107, 2, 1, 0, 0, 1, 6, 0, 47, 0
1, Run: 037, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 107, 1, 1, 0, 0, 1, 6, 0, 47, 0
1, Run: 038, P, 0, 10, 0, 0, 2, 0, 0, 0, 0, 109, 0, 1, 0, 0, 1, 6, 0, 47, 0
1, Run: 039, P, 0, 10, 0, 0, 1, 0, 1, 0, 0, 111, 0, 0, 0, 1, 1, 6, 0, 47, 0
1, Run: 040, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 107, 1, 2, 0, 0, 1, 6, 0, 47, 0
1, Run: 041, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 109, 0, 0, 0, 0, 1, 6, 0, 49, 0
1, Run: 042, P, 0, 10, 0, 0, 0, 0, 2, 0, 0, 109, 1, 1, 1, 1, 1, 6, 0, 44, 0
1, Run: 043, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 107, 1, 0, 2, 0, 1, 6, 0, 46, 0
1, Run: 044, P, 0, 10, 0, 0, 1, 0, 0, 0, 0, 108, 0, 1, 0, 0, 1, 6, 0, 48, 0
1, Run: 045, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 1, 1, 6, 0, 49, 0
1, Run: 046, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 1, 1, 6, 0, 49, 0
1, Run: 047, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 111, 0, 1, 0, 0, 1, 6, 0, 49, 0
1, Run: 048, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 108, 0, 0, 0, 0, 1, 6, 0, 49, 0
1, Run: 049, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 1, 6, 0, 50, 0
1, Run: 050, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 110, 1, 0, 0, 0, 1, 6, 0, 49, 0
