Input Number, Run_Number, Result@ 100, X, V, Y, Reaction1, Reaction2, Reaction4, Reaction5
INVAR-1, Run: 001, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 002, E, 0, 0, 2, 8, 12, 10, 10
INVAR-1, Run: 003, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 004, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 005, E, 0, 0, 2, 8, 12, 9, 11
INVAR-1, Run: 006, E, 0, 0, 2, 8, 12, 4, 16
INVAR-1, Run: 007, E, 0, 0, 2, 8, 12, 8, 12
INVAR-1, Run: 008, E, 0, 0, 2, 8, 12, 11, 9
INVAR-1, Run: 009, E, 0, 0, 2, 8, 12, 9, 11
INVAR-1, Run: 010, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 011, E, 0, 0, 2, 8, 12, 8, 12
INVAR-1, Run: 012, E, 0, 0, 2, 8, 12, 4, 16
INVAR-1, Run: 013, E, 0, 0, 2, 8, 12, 3, 17
INVAR-1, Run: 014, E, 0, 0, 2, 8, 12, 1, 19
INVAR-1, Run: 015, E, 0, 0, 2, 8, 12, 3, 17
INVAR-1, Run: 016, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 017, E, 0, 0, 2, 8, 12, 8, 12
INVAR-1, Run: 018, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 019, E, 0, 0, 2, 8, 12, 13, 7
INVAR-1, Run: 020, E, 0, 0, 2, 8, 12, 4, 16
INVAR-1, Run: 021, E, 0, 0, 2, 8, 12, 8, 12
INVAR-1, Run: 022, E, 0, 0, 2, 8, 12, 8, 12
INVAR-1, Run: 023, E, 0, 0, 2, 8, 12, 6, 14
INVAR-1, Run: 024, E, 0, 0, 2, 8, 12, 4, 16
INVAR-1, Run: 025, E, 0, 0, 2, 8, 12, 0, 20
INVAR-1, Run: 026, E, 0, 0, 2, 8, 12, 7, 13
INVAR-1, Run: 027, E, 0, 0, 2, 8, 12, 7, 13
INVAR-1, Run: 028, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 029, E, 0, 0, 2, 8, 12, 3, 17
INVAR-1, Run: 030, E, 0, 0, 2, 8, 12, 8, 12
INVAR-1, Run: 031, E, 0, 0, 2, 8, 12, 11, 9
INVAR-1, Run: 032, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 033, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 034, E, 0, 0, 2, 8, 12, 3, 17
INVAR-1, Run: 035, E, 0, 0, 2, 8, 12, 11, 9
INVAR-1, Run: 036, E, 0, 0, 2, 8, 12, 6, 14
INVAR-1, Run: 037, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 038, E, 0, 0, 2, 8, 12, 6, 14
INVAR-1, Run: 039, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 040, E, 0, 0, 2, 8, 12, 9, 11
INVAR-1, Run: 041, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 042, E, 0, 0, 2, 8, 12, 0, 20
INVAR-1, Run: 043, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 044, E, 0, 0, 2, 8, 12, 6, 14
INVAR-1, Run: 045, E, 0, 0, 2, 8, 12, 6, 14
INVAR-1, Run: 046, E, 0, 0, 2, 8, 12, 11, 9
INVAR-1, Run: 047, E, 0, 0, 2, 8, 12, 3, 17
INVAR-1, Run: 048, E, 0, 0, 2, 8, 12, 8, 12
INVAR-1, Run: 049, E, 0, 0, 2, 8, 12, 3, 17
INVAR-1, Run: 050, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 051, E, 0, 0, 2, 8, 12, 11, 9
INVAR-1, Run: 052, E, 0, 0, 2, 8, 12, 11, 9
INVAR-1, Run: 053, E, 0, 0, 2, 8, 12, 3, 17
INVAR-1, Run: 054, E, 0, 0, 2, 8, 12, 9, 11
INVAR-1, Run: 055, E, 0, 0, 2, 8, 12, 10, 10
INVAR-1, Run: 056, E, 0, 0, 2, 8, 12, 6, 14
INVAR-1, Run: 057, E, 0, 0, 2, 8, 12, 9, 11
INVAR-1, Run: 058, E, 0, 0, 2, 8, 12, 4, 16
INVAR-1, Run: 059, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 060, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 061, E, 0, 0, 2, 8, 12, 7, 13
INVAR-1, Run: 062, E, 0, 0, 2, 8, 12, 3, 17
INVAR-1, Run: 063, E, 0, 0, 2, 8, 12, 10, 10
INVAR-1, Run: 064, E, 0, 0, 2, 8, 12, 9, 11
INVAR-1, Run: 065, E, 0, 0, 2, 8, 12, 11, 9
INVAR-1, Run: 066, E, 0, 0, 2, 8, 12, 7, 13
INVAR-1, Run: 067, E, 0, 0, 2, 8, 12, 6, 14
INVAR-1, Run: 068, E, 0, 0, 2, 8, 12, 12, 8
INVAR-1, Run: 069, E, 0, 0, 2, 8, 12, 9, 11
INVAR-1, Run: 070, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 071, E, 0, 0, 2, 8, 12, 4, 16
INVAR-1, Run: 072, E, 0, 0, 2, 8, 12, 3, 17
INVAR-1, Run: 073, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 074, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 075, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 076, E, 0, 0, 2, 8, 12, 4, 16
INVAR-1, Run: 077, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 078, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 079, E, 0, 0, 2, 8, 12, 10, 10
INVAR-1, Run: 080, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 081, E, 0, 0, 2, 8, 12, 4, 16
INVAR-1, Run: 082, E, 0, 0, 2, 8, 12, 8, 12
INVAR-1, Run: 083, E, 0, 0, 2, 8, 12, 1, 19
INVAR-1, Run: 084, E, 0, 0, 2, 8, 12, 6, 14
INVAR-1, Run: 085, E, 0, 0, 2, 8, 12, 8, 12
INVAR-1, Run: 086, E, 0, 0, 2, 8, 12, 6, 14
INVAR-1, Run: 087, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 088, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 089, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 090, E, 0, 0, 2, 8, 12, 11, 9
INVAR-1, Run: 091, E, 0, 0, 2, 8, 12, 2, 18
INVAR-1, Run: 092, E, 0, 0, 2, 8, 12, 9, 11
INVAR-1, Run: 093, E, 0, 0, 2, 8, 12, 6, 14
INVAR-1, Run: 094, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 095, E, 0, 0, 2, 8, 12, 6, 14
INVAR-1, Run: 096, E, 0, 0, 2, 8, 12, 7, 13
INVAR-1, Run: 097, E, 0, 0, 2, 8, 12, 4, 16
INVAR-1, Run: 098, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 099, E, 0, 0, 2, 8, 12, 5, 15
INVAR-1, Run: 100, E, 0, 0, 2, 8, 12, 10, 10
INVAR-10, Run: 001, E, 0, 0, 2, 14, 16, 4, 26
INVAR-10, Run: 002, E, 0, 0, 2, 14, 16, 6, 24
INVAR-10, Run: 003, E, 0, 0, 2, 14, 16, 12, 18
INVAR-10, Run: 004, E, 0, 0, 2, 14, 16, 13, 17
INVAR-10, Run: 005, E, 0, 0, 2, 14, 16, 0, 30
INVAR-10, Run: 006, E, 0, 0, 2, 14, 16, 13, 17
INVAR-10, Run: 007, E, 0, 0, 2, 14, 16, 0, 30
INVAR-10, Run: 008, E, 0, 0, 2, 14, 16, 8, 22
INVAR-10, Run: 009, E, 0, 0, 2, 14, 16, 5, 25
INVAR-10, Run: 010, E, 0, 0, 2, 14, 16, 6, 24
INVAR-10, Run: 011, E, 0, 0, 2, 14, 16, 14, 16
INVAR-10, Run: 012, E, 0, 0, 2, 14, 16, 1, 29
INVAR-10, Run: 013, E, 0, 0, 2, 14, 16, 13, 17
INVAR-10, Run: 014, E, 0, 0, 2, 14, 16, 2, 28
INVAR-10, Run: 015, E, 0, 0, 2, 14, 16, 7, 23
INVAR-10, Run: 016, E, 0, 0, 2, 14, 16, 8, 22
INVAR-10, Run: 017, E, 0, 0, 2, 14, 16, 10, 20
