Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9, NEW_REACTION
INVAR-1, Run: 001, F, 0, 0, 0, 1, 0, 54, 6, 54, 0, 0, 0, 18, 7, 20, 7, 3, 4, 9, 18, 27, 10, 74, 3
INVAR-1, Run: 002, F, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 18, 4, 59, 8, 6, 1, 9, 18, 27, 13, 59, 2
INVAR-1, Run: 003, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 5, 80, 6, 3, 2, 9, 18, 27, 14, 80, 6
INVAR-1, Run: 004, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 3, 35, 6, 2, 3, 9, 18, 27, 12, 35, 6
INVAR-1, Run: 005, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 5, 55, 6, 2, 3, 9, 18, 27, 14, 55, 6
INVAR-1, Run: 006, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 4, 32, 7, 3, 3, 9, 18, 27, 13, 32, 4
INVAR-1, Run: 007, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 3, 33, 7, 2, 4, 9, 18, 27, 12, 33, 4
INVAR-1, Run: 008, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 7, 94, 7, 1, 5, 9, 18, 27, 16, 94, 4
INVAR-1, Run: 009, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 8, 56, 6, 4, 1, 9, 18, 27, 17, 56, 6
INVAR-1, Run: 010, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 0, 45, 6, 3, 2, 9, 18, 27, 9, 45, 6
INVAR-1, Run: 011, F, 0, 0, 0, 1, 0, 54, 8, 54, 0, 0, 0, 18, 4, 65, 8, 6, 2, 9, 18, 27, 5, 119, 1
INVAR-1, Run: 012, F, 0, 0, 0, 1, 0, 54, 4, 54, 0, 0, 0, 18, 5, 85, 6, 5, 1, 9, 18, 27, 10, 139, 5
INVAR-1, Run: 013, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 7, 17, 7, 1, 5, 9, 18, 27, 16, 17, 4
INVAR-1, Run: 014, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 1, 21, 6, 3, 2, 9, 18, 27, 10, 21, 6
INVAR-1, Run: 015, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 4, 33, 7, 4, 2, 9, 18, 27, 13, 33, 4
INVAR-1, Run: 016, F, 0, 0, 0, 1, 0, 54, 2, 54, 0, 0, 0, 18, 6, 46, 5, 3, 2, 9, 18, 27, 13, 100, 7
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 8, 3, 8, 0, 46, 0, 18, 6, 37, 6, 4, 2, 9, 18, 27, 12, 45, 6
INVAR-1, Run: 018, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 11, 98, 6, 3, 2, 9, 18, 27, 20, 98, 6
INVAR-1, Run: 019, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 5, 46, 7, 6, 0, 9, 18, 27, 14, 46, 4
INVAR-1, Run: 020, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 1, 24, 7, 4, 2, 9, 18, 27, 10, 24, 4
INVAR-1, Run: 021, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 2, 73, 6, 4, 1, 9, 18, 27, 11, 73, 6
INVAR-1, Run: 022, F, 0, 0, 0, 1, 0, 54, 4, 54, 0, 0, 0, 18, 6, 45, 6, 4, 2, 9, 18, 27, 11, 99, 5
INVAR-1, Run: 023, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 5, 58, 7, 4, 2, 9, 18, 27, 14, 58, 4
INVAR-1, Run: 024, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 2, 30, 7, 4, 2, 9, 18, 27, 11, 30, 4
INVAR-1, Run: 025, F, 0, 0, 0, 1, 0, 54, 2, 54, 0, 0, 0, 18, 7, 39, 5, 2, 3, 9, 18, 27, 14, 93, 7
INVAR-1, Run: 026, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 4, 43, 7, 2, 4, 9, 18, 27, 13, 43, 4
INVAR-1, Run: 027, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 3, 57, 7, 3, 3, 9, 18, 27, 12, 57, 4
INVAR-1, Run: 028, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 9, 78, 7, 6, 0, 9, 18, 27, 18, 78, 4
INVAR-1, Run: 029, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 8, 62, 6, 2, 3, 9, 18, 27, 17, 62, 6
INVAR-1, Run: 030, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 9, 126, 7, 4, 2, 9, 18, 27, 18, 126, 4
INVAR-1, Run: 031, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 7, 101, 6, 4, 1, 9, 18, 27, 16, 101, 6
INVAR-1, Run: 032, F, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 18, 3, 95, 8, 5, 2, 9, 18, 27, 12, 95, 2
INVAR-1, Run: 033, F, 0, 0, 0, 0, 0, 9, 3, 9, 0, 45, 0, 18, 4, 46, 6, 4, 2, 9, 18, 27, 10, 55, 6
