Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F
INVAR-1, Run: 001, F, 0, 0, 0, 18, 0, 327, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 002, F, 0, 0, 0, 18, 0, 312, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 003, F, 0, 0, 0, 18, 0, 309, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 004, F, 0, 0, 0, 18, 0, 312, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 005, F, 0, 0, 0, 18, 0, 270, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 006, F, 0, 0, 0, 18, 0, 375, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 007, F, 0, 0, 0, 18, 0, 291, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 008, F, 0, 0, 0, 18, 0, 297, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 009, F, 0, 0, 0, 18, 0, 273, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 010, F, 0, 0, 0, 18, 0, 333, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 011, F, 0, 0, 0, 18, 0, 336, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 012, F, 0, 0, 0, 18, 0, 243, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 013, F, 0, 0, 0, 18, 0, 285, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 014, F, 0, 0, 0, 18, 0, 291, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 015, F, 0, 0, 0, 18, 0, 276, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 016, F, 0, 0, 0, 18, 0, 291, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 017, F, 0, 0, 0, 18, 0, 288, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 018, F, 0, 0, 0, 18, 0, 243, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 019, F, 0, 0, 0, 18, 0, 300, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 020, F, 0, 0, 0, 18, 0, 291, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 021, F, 0, 0, 0, 18, 0, 324, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 022, F, 0, 0, 0, 18, 0, 300, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 023, F, 0, 0, 0, 18, 0, 288, 0, 4, 1, 4, 7, 0
INVAR-1, Run: 024, F, 0, 0, 0, 18, 0, 348, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 025, F, 0, 0, 0, 18, 0, 294, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 026, F, 0, 0, 0, 18, 0, 300, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 027, F, 0, 0, 0, 18, 0, 348, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 028, F, 0, 0, 0, 18, 0, 288, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 029, F, 0, 0, 0, 18, 0, 360, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 030, F, 0, 0, 0, 18, 0, 333, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 031, F, 0, 0, 0, 18, 0, 264, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 032, F, 0, 0, 0, 18, 0, 282, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 033, F, 0, 0, 0, 18, 0, 276, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 034, F, 0, 0, 0, 18, 0, 279, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 035, F, 0, 0, 0, 18, 0, 333, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 036, F, 0, 0, 0, 18, 0, 309, 0, 2, 1, 2, 8, 0
INVAR-1, Run: 037, F, 0, 0, 0, 18, 0, 369, 0, 0, 1, 0, 9, 0
INVAR-1, Run: 038, F, 0, 0, 0, 18, 0, 339, 0, 2, 1, 2, 8, 0
