Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 035, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 15, 238, 9, 5, 3, 9, 18, 24, 238
INVAR-1, Run: 036, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 26, 279, 9, 6, 2, 9, 18, 35, 279
INVAR-1, Run: 037, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 160, 9, 5, 3, 9, 18, 23, 160
INVAR-1, Run: 038, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 23, 211, 9, 3, 5, 9, 18, 32, 211
INVAR-1, Run: 039, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 96, 9, 4, 4, 9, 18, 25, 96
INVAR-1, Run: 040, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 9, 167, 9, 6, 2, 9, 18, 18, 167
INVAR-1, Run: 041, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 6, 158, 9, 6, 2, 9, 18, 15, 158
INVAR-1, Run: 042, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 12, 324, 9, 7, 1, 9, 18, 21, 324
INVAR-1, Run: 043, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 19, 189, 9, 7, 1, 9, 18, 28, 189
INVAR-1, Run: 044, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 9, 123, 9, 4, 4, 9, 18, 18, 123
INVAR-1, Run: 045, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 266, 9, 7, 1, 9, 18, 25, 266
INVAR-1, Run: 046, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 9, 220, 9, 7, 1, 9, 18, 18, 220
INVAR-1, Run: 047, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 19, 186, 9, 4, 4, 9, 18, 28, 186
INVAR-1, Run: 048, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 209, 9, 5, 3, 9, 18, 25, 209
INVAR-1, Run: 049, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 34, 349, 9, 6, 2, 9, 18, 43, 349
INVAR-1, Run: 050, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 12, 78, 9, 7, 1, 9, 18, 21, 78
INVAR-1, Run: 051, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 19, 151, 9, 6, 2, 9, 18, 28, 151
INVAR-1, Run: 052, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 12, 173, 9, 5, 3, 9, 18, 21, 173
INVAR-1, Run: 053, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 17, 135, 9, 6, 2, 9, 18, 26, 135
INVAR-1, Run: 054, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 26, 270, 9, 4, 4, 9, 18, 35, 270
INVAR-1, Run: 055, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 24, 315, 9, 3, 5, 9, 18, 33, 315
INVAR-1, Run: 056, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 22, 334, 9, 5, 3, 9, 18, 31, 334
INVAR-1, Run: 057, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 18, 286, 9, 5, 3, 9, 18, 27, 286
INVAR-1, Run: 058, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 269, 9, 5, 3, 9, 18, 23, 269
INVAR-1, Run: 059, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 28, 332, 9, 4, 4, 9, 18, 37, 332
INVAR-1, Run: 060, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 182, 9, 7, 1, 9, 18, 25, 182
INVAR-1, Run: 061, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 13, 151, 9, 7, 1, 9, 18, 22, 151
INVAR-1, Run: 062, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 11, 161, 9, 5, 3, 9, 18, 20, 161
INVAR-1, Run: 063, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 28, 211, 9, 6, 2, 9, 18, 37, 211
INVAR-1, Run: 064, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 17, 202, 9, 5, 3, 9, 18, 26, 202
INVAR-1, Run: 065, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 263, 9, 7, 1, 9, 18, 23, 263
INVAR-1, Run: 066, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 12, 142, 9, 6, 2, 9, 18, 21, 142
INVAR-1, Run: 067, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 17, 254, 9, 7, 1, 9, 18, 26, 254
INVAR-1, Run: 068, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 13, 183, 9, 4, 4, 9, 18, 22, 183
INVAR-1, Run: 069, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 3, 53, 9, 7, 1, 9, 18, 12, 53
INVAR-1, Run: 070, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 29, 244, 9, 3, 5, 9, 18, 38, 244
INVAR-1, Run: 071, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 9, 116, 9, 6, 2, 9, 18, 18, 116
INVAR-1, Run: 072, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 175, 9, 7, 1, 9, 18, 23, 175
INVAR-1, Run: 073, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 12, 179, 9, 7, 1, 9, 18, 21, 179
INVAR-1, Run: 074, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 28, 215, 9, 5, 3, 9, 18, 37, 215
INVAR-1, Run: 075, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 24, 469, 9, 7, 1, 9, 18, 33, 469
INVAR-1, Run: 076, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 22, 235, 9, 5, 3, 9, 18, 31, 235
INVAR-1, Run: 077, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 189, 9, 7, 1, 9, 18, 23, 189
INVAR-1, Run: 078, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 9, 169, 9, 7, 1, 9, 18, 18, 169
INVAR-1, Run: 079, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 32, 334, 9, 6, 2, 9, 18, 41, 334
INVAR-1, Run: 080, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 26, 170, 9, 5, 3, 9, 18, 35, 170
INVAR-1, Run: 081, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 13, 319, 9, 4, 4, 9, 18, 22, 319
INVAR-1, Run: 082, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 26, 273, 9, 6, 2, 9, 18, 35, 273
INVAR-1, Run: 083, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 7, 103, 9, 8, 0, 9, 18, 16, 103
INVAR-1, Run: 084, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 13, 226, 9, 7, 1, 9, 18, 22, 226
INVAR-1, Run: 085, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 184, 9, 5, 3, 9, 18, 23, 184
INVAR-1, Run: 086, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 21, 126, 9, 4, 4, 9, 18, 30, 126
INVAR-1, Run: 087, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 15, 210, 9, 5, 3, 9, 18, 24, 210
INVAR-1, Run: 088, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 249, 9, 7, 1, 9, 18, 25, 249
INVAR-1, Run: 089, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 266, 9, 6, 2, 9, 18, 25, 266
INVAR-1, Run: 090, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 245, 9, 7, 1, 9, 18, 25, 245
INVAR-1, Run: 091, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 19, 211, 9, 6, 2, 9, 18, 28, 211
INVAR-1, Run: 092, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 8, 113, 9, 4, 4, 9, 18, 17, 113
INVAR-1, Run: 093, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 9, 135, 9, 6, 2, 9, 18, 18, 135
INVAR-1, Run: 094, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 96, 9, 5, 3, 9, 18, 23, 96
INVAR-1, Run: 095, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 9, 198, 9, 6, 2, 9, 18, 18, 198
INVAR-1, Run: 096, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 18, 206, 9, 4, 4, 9, 18, 27, 206
INVAR-1, Run: 097, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 208, 9, 2, 6, 9, 18, 25, 208
INVAR-1, Run: 098, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 17, 224, 9, 7, 1, 9, 18, 26, 224
INVAR-1, Run: 099, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 25, 169, 9, 4, 4, 9, 18, 34, 169
INVAR-1, Run: 100, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 30, 300, 9, 5, 3, 9, 18, 39, 300
INVAR-10, Run: 001, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 906, 10001, 100, 57, 42, 100, 200, 1006, 10001
INVAR-10, Run: 002, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 921, 13055, 100, 67, 32, 100, 200, 1021, 13055
INVAR-10, Run: 003, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 1018, 16566, 100, 64, 35, 100, 200, 1118, 16566
INVAR-10, Run: 004, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 665, 8536, 100, 64, 35, 100, 200, 765, 8536
INVAR-10, Run: 005, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 878, 9093, 100, 61, 38, 100, 200, 978, 9093
INVAR-10, Run: 006, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 788, 9652, 100, 57, 42, 100, 200, 888, 9652
INVAR-10, Run: 007, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 664, 7248, 100, 59, 40, 100, 200, 764, 7248
INVAR-10, Run: 008, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 1125, 8602, 100, 57, 42, 100, 200, 1225, 8602
INVAR-10, Run: 009, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 736, 10783, 100, 61, 38, 100, 200, 836, 10783
INVAR-10, Run: 010, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 1126, 12251, 100, 73, 26, 100, 200, 1226, 12251
INVAR-10, Run: 011, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 690, 9012, 100, 59, 40, 100, 200, 790, 9012
INVAR-10, Run: 012, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 885, 10798, 100, 69, 30, 100, 200, 985, 10798
INVAR-10, Run: 013, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 957, 10522, 100, 67, 32, 100, 200, 1057, 10522
INVAR-10, Run: 014, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 925, 11608, 100, 64, 35, 100, 200, 1025, 11608
INVAR-10, Run: 015, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 923, 9490, 100, 50, 49, 100, 200, 1023, 9490
INVAR-10, Run: 016, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 770, 9966, 100, 59, 40, 100, 200, 870, 9966
INVAR-10, Run: 017, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 650, 9220, 100, 60, 39, 100, 200, 750, 9220
INVAR-10, Run: 018, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 696, 9918, 100, 65, 34, 100, 200, 796, 9918
INVAR-10, Run: 019, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 717, 9272, 100, 63, 36, 100, 200, 817, 9272
INVAR-10, Run: 020, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 754, 11070, 100, 70, 29, 100, 200, 854, 11070
INVAR-10, Run: 021, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 785, 8275, 100, 67, 32, 100, 200, 885, 8275
INVAR-10, Run: 022, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 847, 11810, 100, 60, 39, 100, 200, 947, 11810
INVAR-10, Run: 023, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 842, 10293, 100, 64, 35, 100, 200, 942, 10293
INVAR-10, Run: 024, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 779, 10584, 100, 65, 34, 100, 200, 879, 10584
INVAR-10, Run: 025, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 938, 9428, 100, 63, 36, 100, 200, 1038, 9428
INVAR-10, Run: 026, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 918, 10854, 100, 60, 39, 100, 200, 1018, 10854
INVAR-10, Run: 027, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 838, 7555, 100, 58, 41, 100, 200, 938, 7555
INVAR-10, Run: 028, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 796, 8685, 100, 65, 34, 100, 200, 896, 8685
INVAR-10, Run: 029, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 878, 9782, 100, 61, 38, 100, 200, 978, 9782
INVAR-10, Run: 030, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 808, 7049, 100, 56, 43, 100, 200, 908, 7049
INVAR-10, Run: 031, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 1083, 9176, 100, 57, 42, 100, 200, 1183, 9176
INVAR-10, Run: 032, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 633, 10045, 100, 65, 34, 100, 200, 733, 10045
INVAR-10, Run: 033, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 729, 9315, 100, 61, 38, 100, 200, 829, 9315
INVAR-10, Run: 034, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 842, 8201, 100, 62, 37, 100, 200, 942, 8201
INVAR-10, Run: 035, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 832, 11346, 100, 64, 35, 100, 200, 932, 11346
INVAR-10, Run: 036, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 796, 9341, 100, 60, 39, 100, 200, 896, 9341
INVAR-10, Run: 037, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 934, 9968, 100, 60, 39, 100, 200, 1034, 9968
INVAR-10, Run: 038, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 882, 7832, 100, 56, 43, 100, 200, 982, 7832
INVAR-10, Run: 039, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 893, 11063, 100, 68, 31, 100, 200, 993, 11063
INVAR-10, Run: 040, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 794, 9058, 100, 66, 33, 100, 200, 894, 9058
