Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_H1, predator_ccdB, predator_Q1a, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 1, 1, 0, 3, 0, 1, 102, 0, 74, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 108, 5, 81, 74, 74, 102, 4, 5332, 3723, 7, 14, 107, 14, 1535, 2, 26, 109, 98, 0, 0, 0, 97, 103, 100, 100, 96, 96, 107, 106, 91, 48, 51, 1, 103, 1, 25, 1, 42, 1, 1, 26, 26, 116, 7, 79, 6, 6
INVAR-1, Run: 002, P, 1, 1, 0, 0, 3, 1, 84, 0, 17, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 116, 33, 97, 132, 129, 84, 5, 3882, 2138, 11, 47, 115, 47, 1727, 3, 42, 102, 97, 1, 1, 1, 97, 89, 73, 72, 107, 106, 106, 105, 119, 79, 82, 2, 88, 2, 40, 3, 40, 3, 3, 42, 42, 112, 10, 64, 33, 33
INVAR-1, Run: 003, P, 1, 0, 0, 4, 2, 1, 104, 0, 37, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 96, 11, 104, 94, 92, 104, 0, 5249, 3624, 2, 18, 96, 18, 1588, 2, 24, 96, 114, 0, 0, 0, 112, 91, 106, 106, 101, 101, 96, 96, 81, 46, 54, 0, 91, 0, 30, 0, 35, 0, 0, 24, 24, 98, 2, 97, 9, 9
INVAR-1, Run: 004, P, 1, 0, 0, 0, 0, 1, 93, 0, 77, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 105, 30, 84, 93, 93, 93, 1, 4851, 3408, 6, 63, 105, 63, 1366, 1, 47, 86, 104, 0, 0, 0, 104, 96, 86, 86, 105, 104, 116, 116, 106, 65, 78, 2, 95, 2, 29, 4, 41, 4, 4, 49, 48, 93, 7, 54, 34, 34
INVAR-1, Run: 005, P, 1, 1, 0, 4, 3, 1, 105, 0, 27, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 95, 7, 111, 111, 108, 105, 2, 5235, 3098, 13, 19, 94, 19, 2110, 6, 22, 88, 97, 9, 9, 5, 102, 76, 95, 95, 92, 92, 105, 105, 80, 43, 48, 6, 76, 6, 26, 5, 37, 5, 5, 22, 22, 90, 2, 108, 13, 13
INVAR-1, Run: 006, P, 1, 0, 1, 2, 0, 1, 102, 0, 67, 0, 1, 0, 0, 1, 3, 0, 0, 1, 1, 1, 3, 1, 1, 0, 0, 0, 0, 103, 22, 108, 94, 94, 102, 2, 4702, 2794, 5, 29, 103, 28, 1841, 3, 24, 75, 105, 0, 0, 0, 102, 90, 83, 82, 99, 98, 99, 96, 87, 48, 53, 0, 89, 0, 26, 0, 38, 0, 0, 26, 26, 89, 14, 88, 19, 18
INVAR-1, Run: 007, P, 1, 1, 0, 1, 0, 1, 111, 0, 66, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 3, 1, 0, 0, 0, 1, 100, 9, 105, 107, 107, 111, 0, 6212, 3840, 7, 13, 99, 13, 2306, 6, 21, 75, 92, 8, 8, 10, 102, 89, 112, 112, 97, 96, 96, 95, 82, 40, 38, 4, 88, 4, 16, 1, 39, 1, 1, 21, 21, 84, 9, 97, 9, 9
INVAR-1, Run: 008, P, 1, 2, 0, 2, 2, 1, 102, 0, 37, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 4, 2, 0, 0, 0, 1, 102, 26, 86, 96, 94, 102, 2, 4866, 3105, 5, 19, 100, 19, 1724, 1, 30, 97, 105, 0, 0, 0, 105, 125, 116, 116, 100, 100, 100, 99, 91, 54, 56, 0, 125, 0, 23, 2, 33, 2, 2, 31, 31, 108, 11, 62, 25, 25
INVAR-1, Run: 009, P, 1, 2, 0, 0, 0, 1, 98, 0, 50, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 110, 11, 111, 125, 125, 98, 5, 4536, 2488, 16, 11, 108, 10, 1998, 6, 10, 97, 85, 2, 2, 3, 88, 130, 86, 86, 81, 81, 69, 69, 60, 41, 30, 1, 127, 1, 19, 5, 19, 5, 5, 11, 11, 115, 18, 100, 11, 11
INVAR-1, Run: 010, P, 1, 0, 0, 2, 1, 1, 106, 0, 55, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 113, 17, 94, 67, 66, 106, 1, 5576, 3669, 3, 45, 113, 45, 1852, 2, 40, 109, 104, 0, 0, 0, 104, 135, 92, 92, 93, 91, 104, 103, 99, 62, 73, 0, 135, 0, 33, 0, 37, 0, 0, 40, 40, 115, 6, 79, 24, 24
