Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_H1, predator_ccdB, predator_Q1a, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 011, P, 1, 1, 0, 2, 4, 1, 79, 0, 34, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 114, 27, 117, 127, 123, 79, 3, 3784, 2056, 7, 24, 113, 23, 1694, 2, 26, 92, 104, 1, 1, 0, 104, 83, 108, 108, 92, 91, 94, 93, 73, 42, 49, 2, 82, 2, 21, 2, 31, 2, 2, 28, 27, 103, 11, 92, 14, 14
INVAR-1, Run: 012, P, 1, 1, 0, 3, 1, 1, 90, 0, 67, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 2, 5, 0, 0, 0, 0, 0, 1, 110, 16, 97, 92, 91, 90, 4, 4388, 2683, 8, 26, 109, 26, 1638, 0, 31, 110, 66, 10, 10, 3, 69, 128, 83, 83, 101, 99, 107, 102, 92, 62, 49, 8, 125, 8, 18, 4, 30, 4, 4, 31, 31, 117, 7, 84, 17, 17
INVAR-1, Run: 013, P, 1, 0, 0, 0, 0, 1, 112, 0, 112, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 106, 31, 103, 111, 111, 112, 1, 6052, 3638, 3, 33, 106, 33, 2302, 1, 30, 103, 85, 0, 0, 0, 85, 126, 64, 63, 97, 96, 85, 85, 88, 62, 61, 0, 125, 0, 30, 1, 25, 1, 1, 30, 30, 111, 8, 72, 27, 27
INVAR-1, Run: 014, P, 1, 3, 0, 0, 0, 1, 92, 0, 93, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 1, 102, 4, 89, 77, 77, 92, 2, 4178, 3129, 6, 6, 99, 6, 956, 4, 13, 67, 103, 0, 0, 0, 103, 99, 88, 88, 100, 98, 85, 83, 85, 57, 39, 0, 97, 0, 23, 0, 26, 0, 0, 14, 14, 73, 6, 85, 4, 4
INVAR-1, Run: 015, P, 1, 1, 0, 2, 1, 1, 119, 0, 104, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 114, 17, 94, 78, 77, 119, 3, 5906, 4151, 10, 27, 113, 27, 1651, 3, 22, 108, 84, 0, 0, 0, 84, 109, 100, 100, 92, 92, 86, 85, 85, 62, 49, 2, 109, 2, 26, 4, 23, 4, 4, 23, 23, 114, 6, 79, 29, 29
INVAR-1, Run: 016, P, 1, 0, 0, 0, 1, 1, 104, 0, 61, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 86, 10, 90, 82, 81, 104, 1, 5641, 3889, 2, 18, 86, 18, 1691, 1, 32, 58, 106, 0, 0, 0, 106, 67, 109, 108, 95, 95, 100, 100, 102, 66, 62, 0, 66, 0, 30, 0, 35, 0, 0, 32, 32, 61, 3, 80, 16, 16
INVAR-1, Run: 017, P, 1, 0, 0, 1, 2, 1, 125, 0, 35, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 3, 1, 2, 0, 0, 0, 1, 90, 30, 104, 113, 111, 125, 2, 6020, 3222, 7, 24, 90, 24, 2763, 3, 32, 80, 91, 0, 0, 0, 91, 84, 76, 76, 99, 99, 115, 112, 133, 96, 80, 0, 84, 0, 45, 2, 36, 2, 2, 33, 33, 87, 7, 75, 25, 25
INVAR-1, Run: 018, P, 1, 1, 0, 2, 2, 1, 86, 0, 33, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 111, 22, 90, 82, 80, 86, 4, 4166, 2628, 14, 43, 110, 43, 1505, 1, 40, 66, 113, 6, 6, 4, 116, 101, 86, 85, 94, 93, 111, 111, 85, 55, 63, 3, 99, 3, 23, 9, 30, 9, 9, 40, 40, 80, 14, 70, 29, 29
INVAR-1, Run: 019, P, 1, 0, 0, 0, 2, 1, 92, 0, 28, 0, 0, 0, 0, 1, 4, 0, 0, 1, 1, 2, 0, 3, 0, 0, 0, 0, 1, 115, 27, 83, 89, 87, 92, 0, 5071, 3268, 4, 54, 115, 54, 1775, 3, 27, 118, 90, 6, 6, 7, 93, 136, 83, 82, 95, 93, 83, 83, 77, 48, 49, 5, 136, 5, 22, 1, 26, 1, 1, 27, 27, 126, 8, 56, 38, 38
INVAR-1, Run: 020, P, 1, 0, 0, 0, 0, 1, 79, 0, 56, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 91, 20, 112, 126, 126, 79, 2, 3794, 1822, 10, 13, 91, 13, 1916, 3, 37, 70, 104, 1, 1, 1, 104, 94, 115, 115, 112, 111, 128, 128, 118, 78, 78, 6, 93, 6, 39, 5, 39, 5, 5, 38, 37, 77, 7, 92, 14, 14
INVAR-1, Run: 021, P, 1, 0, 0, 0, 0, 1, 109, 0, 87, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 1, 1, 0, 0, 0, 1, 104, 17, 101, 105, 105, 109, 2, 5567, 3281, 8, 26, 104, 26, 2199, 5, 38, 103, 99, 0, 0, 0, 99, 119, 87, 87, 97, 96, 76, 74, 96, 61, 61, 0, 119, 0, 22, 1, 34, 1, 1, 38, 38, 109, 6, 84, 16, 16
INVAR-1, Run: 022, P, 1, 0, 0, 1, 0, 1, 85, 0, 88, 0, 0, 2, 0, 1, 2, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 81, 21, 102, 112, 112, 85, 3, 4285, 2189, 9, 16, 81, 16, 2008, 2, 20, 84, 86, 2, 2, 1, 85, 98, 79, 77, 92, 91, 69, 69, 71, 49, 47, 1, 96, 1, 27, 4, 22, 4, 4, 20, 20, 92, 8, 82, 20, 20
INVAR-1, Run: 023, P, 1, 1, 0, 1, 0, 1, 107, 0, 112, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 94, 13, 97, 86, 86, 107, 6, 5676, 3920, 11, 17, 93, 17, 1644, 2, 25, 83, 124, 3, 3, 2, 126, 79, 147, 145, 86, 85, 78, 78, 98, 53, 52, 2, 78, 2, 27, 3, 45, 3, 3, 25, 25, 89, 6, 85, 17, 17
INVAR-1, Run: 024, P, 1, 1, 0, 2, 0, 1, 117, 0, 58, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 1, 111, 24, 99, 82, 82, 117, 3, 5940, 4158, 5, 37, 110, 37, 1724, 1, 40, 98, 92, 0, 0, 0, 92, 97, 113, 112, 110, 107, 111, 110, 112, 73, 81, 1, 97, 1, 41, 1, 39, 1, 1, 40, 40, 105, 7, 77, 23, 23
INVAR-1, Run: 025, P, 1, 0, 0, 2, 1, 1, 113, 0, 85, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 86, 9, 101, 101, 100, 113, 2, 5420, 3444, 5, 18, 86, 18, 1891, 0, 23, 76, 101, 1, 1, 1, 101, 79, 102, 102, 104, 104, 117, 116, 104, 56, 58, 2, 79, 2, 33, 3, 47, 3, 3, 25, 24, 80, 4, 94, 14, 14
INVAR-1, Run: 026, P, 1, 0, 0, 3, 1, 1, 97, 0, 38, 0, 2, 0, 0, 1, 2, 0, 0, 2, 1, 2, 0, 1, 0, 0, 0, 0, 1, 128, 7, 104, 102, 101, 97, 5, 4843, 2979, 14, 28, 128, 28, 1826, 6, 38, 134, 108, 8, 8, 7, 113, 116, 122, 120, 98, 96, 118, 118, 105, 62, 85, 3, 116, 3, 45, 3, 42, 3, 3, 40, 40, 145, 11, 100, 14, 14
INVAR-1, Run: 027, P, 1, 0, 0, 2, 0, 1, 98, 0, 57, 0, 1, 0, 1, 1, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 106, 20, 75, 71, 71, 98, 7, 4233, 2935, 14, 38, 106, 37, 1241, 3, 37, 95, 82, 0, 0, 0, 80, 115, 101, 100, 99, 98, 89, 89, 84, 51, 66, 0, 114, 0, 27, 4, 33, 4, 4, 39, 39, 109, 14, 57, 21, 21
INVAR-1, Run: 028, P, 1, 0, 0, 1, 1, 1, 116, 0, 94, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 3, 1, 0, 0, 1, 1, 104, 37, 93, 82, 81, 116, 1, 5767, 3693, 4, 24, 104, 23, 1980, 2, 19, 108, 92, 6, 6, 3, 95, 92, 100, 100, 104, 103, 75, 74, 73, 49, 44, 3, 91, 3, 22, 1, 21, 1, 1, 21, 20, 116, 8, 57, 24, 24
INVAR-1, Run: 029, P, 1, 2, 0, 2, 4, 1, 114, 1, 14, 1, 0, 5, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 95, 22, 85, 85, 81, 114, 0, 5132, 3366, 12, 49, 93, 49, 1752, 4, 42, 110, 93, 9, 9, 9, 101, 122, 114, 113, 94, 93, 130, 129, 131, 69, 72, 8, 117, 8, 30, 7, 61, 7, 7, 42, 42, 123, 12, 65, 33, 33
INVAR-1, Run: 030, P, 1, 1, 1, 0, 1, 1, 99, 0, 65, 0, 1, 1, 0, 1, 1, 0, 0, 2, 1, 3, 5, 1, 1, 0, 0, 2, 0, 95, 10, 92, 69, 68, 99, 2, 5091, 3841, 13, 33, 94, 32, 1185, 4, 33, 85, 96, 3, 3, 2, 97, 86, 99, 97, 122, 119, 113, 108, 124, 90, 82, 2, 84, 2, 44, 7, 33, 7, 7, 37, 35, 96, 11, 82, 20, 19
INVAR-1, Run: 031, P, 1, 0, 0, 0, 0, 1, 100, 0, 67, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 1, 119, 9, 99, 82, 82, 100, 4, 5116, 3574, 6, 32, 119, 32, 1475, 1, 29, 89, 87, 0, 0, 0, 87, 116, 70, 70, 116, 115, 105, 102, 85, 62, 56, 1, 115, 1, 27, 1, 22, 1, 1, 29, 29, 94, 5, 90, 12, 12
INVAR-1, Run: 032, P, 1, 0, 0, 1, 0, 1, 96, 0, 103, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 108, 31, 111, 82, 82, 96, 4, 4200, 2767, 10, 26, 108, 25, 1330, 3, 23, 96, 83, 2, 2, 4, 86, 99, 67, 66, 107, 106, 110, 110, 121, 87, 65, 2, 98, 2, 41, 3, 34, 3, 3, 24, 24, 101, 5, 81, 20, 20
INVAR-1, Run: 033, P, 1, 1, 0, 1, 0, 1, 83, 0, 78, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 2, 0, 2, 0, 0, 0, 0, 1, 111, 19, 108, 109, 109, 83, 1, 4015, 2456, 8, 25, 110, 25, 1481, 3, 29, 67, 116, 0, 0, 0, 115, 95, 124, 124, 96, 94, 81, 81, 95, 49, 55, 0, 93, 0, 26, 4, 44, 4, 4, 29, 29, 87, 20, 90, 15, 15
INVAR-1, Run: 034, P, 1, 0, 0, 1, 0, 1, 117, 0, 120, 0, 0, 1, 0, 1, 3, 0, 0, 5, 1, 1, 0, 0, 0, 0, 0, 1, 1, 82, 8, 100, 90, 90, 117, 2, 5663, 3964, 3, 16, 82, 16, 1579, 0, 18, 70, 130, 3, 3, 4, 131, 85, 107, 102, 111, 110, 109, 109, 102, 53, 38, 1, 84, 1, 19, 1, 49, 1, 1, 19, 18, 77, 7, 93, 12, 12
INVAR-1, Run: 035, P, 1, 1, 0, 6, 4, 1, 109, 0, 28, 0, 0, 0, 2, 1, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0, 0, 1, 106, 15, 108, 110, 106, 109, 3, 4993, 2570, 8, 23, 105, 21, 2395, 3, 27, 105, 88, 0, 0, 0, 88, 110, 80, 79, 103, 102, 92, 90, 96, 66, 67, 1, 108, 1, 38, 2, 30, 2, 2, 29, 29, 113, 8, 99, 13, 13
INVAR-1, Run: 036, P, 1, 0, 0, 1, 2, 1, 107, 0, 33, 0, 0, 0, 0, 1, 4, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 104, 17, 95, 86, 84, 107, 2, 5616, 3779, 12, 16, 104, 16, 1804, 5, 16, 81, 116, 3, 3, 0, 112, 89, 120, 117, 85, 84, 67, 67, 78, 49, 30, 7, 89, 7, 14, 5, 29, 5, 5, 16, 16, 89, 8, 79, 18, 18
INVAR-1, Run: 037, P, 1, 1, 0, 1, 1, 1, 102, 0, 54, 0, 1, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 93, 12, 104, 87, 86, 102, 3, 4731, 3259, 14, 27, 92, 27, 1418, 4, 30, 90, 104, 3, 3, 6, 110, 83, 93, 93, 89, 89, 90, 90, 95, 58, 59, 5, 80, 5, 28, 7, 37, 7, 7, 31, 31, 96, 6, 93, 16, 16
INVAR-1, Run: 038, P, 1, 3, 1, 0, 1, 1, 82, 0, 30, 0, 0, 4, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 110, 20, 95, 94, 93, 82, 4, 3918, 2566, 8, 39, 107, 37, 1322, 2, 29, 108, 93, 0, 0, 0, 92, 133, 96, 95, 98, 98, 96, 96, 95, 54, 49, 0, 127, 0, 18, 2, 41, 2, 2, 31, 31, 128, 20, 75, 18, 17
INVAR-1, Run: 039, P, 1, 1, 0, 1, 2, 1, 90, 0, 29, 0, 0, 0, 0, 1, 4, 0, 0, 3, 1, 2, 0, 1, 0, 0, 0, 0, 1, 107, 21, 100, 90, 88, 90, 4, 4404, 2895, 8, 21, 106, 21, 1480, 1, 24, 96, 102, 1, 1, 0, 98, 120, 113, 110, 116, 114, 121, 121, 86, 48, 44, 2, 120, 2, 20, 3, 37, 3, 3, 24, 24, 104, 8, 80, 17, 17
INVAR-1, Run: 040, P, 1, 1, 0, 0, 0, 1, 95, 0, 72, 0, 0, 4, 1, 1, 2, 1, 0, 1, 1, 1, 4, 0, 0, 0, 0, 0, 1, 110, 27, 118, 141, 141, 95, 0, 4817, 2769, 4, 17, 109, 16, 1976, 1, 40, 112, 106, 5, 5, 2, 106, 95, 109, 108, 106, 105, 107, 102, 102, 63, 87, 2, 90, 1, 46, 2, 39, 3, 3, 41, 41, 124, 12, 91, 18, 18
INVAR-1, Run: 041, P, 1, 0, 0, 0, 1, 1, 118, 0, 76, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 104, 22, 104, 104, 103, 118, 5, 5688, 3213, 15, 26, 104, 26, 2399, 4, 35, 85, 104, 3, 3, 4, 107, 108, 116, 116, 115, 114, 105, 105, 123, 68, 63, 2, 108, 2, 28, 6, 55, 6, 6, 35, 35, 98, 13, 82, 25, 25
INVAR-1, Run: 042, P, 1, 1, 0, 2, 0, 1, 113, 0, 101, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 2, 1, 2, 0, 0, 1, 1, 91, 11, 83, 112, 112, 113, 6, 5294, 2968, 15, 18, 90, 18, 2225, 3, 21, 70, 72, 11, 11, 12, 83, 84, 88, 87, 102, 101, 90, 88, 76, 48, 47, 10, 83, 10, 22, 6, 27, 6, 6, 23, 22, 83, 13, 74, 14, 14
INVAR-1, Run: 043, P, 1, 1, 0, 1, 2, 1, 93, 0, 38, 0, 0, 3, 0, 1, 1, 0, 0, 1, 1, 2, 1, 2, 0, 0, 0, 0, 1, 106, 14, 81, 76, 74, 93, 4, 4748, 3020, 11, 13, 105, 13, 1690, 2, 17, 87, 77, 7, 7, 6, 82, 69, 95, 94, 98, 96, 79, 78, 72, 54, 36, 2, 66, 2, 19, 5, 16, 5, 5, 17, 17, 96, 9, 68, 12, 12
INVAR-1, Run: 044, P, 1, 1, 0, 1, 0, 1, 106, 0, 81, 0, 0, 5, 0, 1, 4, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 1, 93, 17, 112, 91, 91, 106, 1, 4791, 3176, 7, 41, 92, 41, 1534, 3, 33, 94, 95, 2, 2, 2, 93, 113, 76, 74, 93, 93, 77, 76, 85, 64, 62, 2, 108, 2, 28, 3, 21, 3, 3, 34, 33, 107, 13, 96, 16, 16
INVAR-1, Run: 045, P, 1, 1, 0, 0, 0, 1, 99, 0, 84, 0, 1, 1, 2, 1, 1, 0, 0, 1, 1, 4, 3, 0, 1, 0, 0, 0, 1, 101, 9, 81, 69, 69, 99, 1, 4945, 3198, 6, 49, 100, 47, 1663, 5, 44, 90, 98, 0, 0, 0, 97, 113, 85, 84, 102, 98, 92, 89, 104, 71, 92, 0, 110, 0, 44, 0, 33, 0, 0, 47, 47, 97, 7, 72, 21, 21
INVAR-1, Run: 046, P, 1, 0, 0, 1, 1, 1, 97, 0, 35, 0, 0, 2, 0, 1, 4, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 95, 4, 88, 81, 80, 97, 2, 5213, 3302, 7, 15, 95, 15, 1876, 3, 42, 104, 100, 0, 0, 0, 96, 114, 100, 99, 98, 98, 119, 119, 126, 81, 81, 1, 112, 1, 39, 2, 45, 2, 2, 42, 42, 110, 6, 85, 5, 5
INVAR-1, Run: 047, P, 1, 1, 1, 2, 3, 1, 120, 0, 32, 0, 2, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 124, 11, 94, 86, 83, 120, 1, 6294, 3950, 6, 22, 123, 20, 2312, 3, 25, 105, 103, 0, 0, 0, 103, 105, 94, 94, 102, 102, 84, 83, 87, 59, 52, 1, 102, 1, 23, 2, 28, 2, 2, 29, 29, 115, 10, 85, 15, 14
INVAR-1, Run: 048, P, 1, 0, 0, 0, 2, 1, 96, 0, 30, 0, 0, 0, 1, 1, 3, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 102, 14, 94, 93, 91, 96, 2, 4715, 2787, 9, 24, 102, 23, 1898, 5, 23, 92, 109, 2, 2, 0, 106, 89, 119, 119, 107, 106, 112, 112, 99, 59, 57, 1, 88, 1, 32, 2, 39, 2, 2, 24, 24, 104, 12, 80, 16, 16
INVAR-1, Run: 049, P, 1, 0, 0, 2, 1, 1, 83, 0, 65, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 97, 10, 93, 71, 70, 83, 4, 4398, 3067, 5, 27, 97, 27, 1266, 0, 18, 102, 93, 1, 1, 0, 92, 94, 86, 86, 108, 108, 82, 82, 66, 46, 46, 1, 94, 1, 27, 1, 20, 1, 1, 19, 18, 110, 8, 85, 14, 14
INVAR-1, Run: 050, P, 1, 3, 0, 2, 1, 1, 91, 0, 31, 0, 0, 2, 0, 1, 2, 0, 0, 1, 1, 2, 3, 4, 0, 0, 0, 1, 1, 107, 6, 90, 104, 103, 91, 5, 3786, 2368, 13, 16, 104, 16, 1387, 4, 18, 98, 114, 7, 7, 5, 117, 99, 123, 122, 91, 89, 104, 101, 84, 49, 45, 4, 97, 4, 26, 4, 31, 4, 4, 19, 18, 112, 14, 86, 15, 15
INVAR-1, Run: 051, P, 1, 0, 0, 0, 1, 1, 121, 0, 44, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 2, 1, 1, 0, 0, 0, 1, 1, 104, 9, 100, 122, 121, 121, 1, 6509, 3730, 6, 9, 104, 9, 2735, 3, 15, 95, 99, 0, 0, 0, 97, 102, 101, 100, 87, 85, 91, 90, 75, 49, 33, 1, 102, 1, 17, 2, 25, 2, 2, 16, 15, 101, 6, 91, 8, 8
INVAR-1, Run: 052, P, 1, 1, 0, 2, 2, 1, 90, 0, 21, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 1, 102, 22, 100, 102, 100, 90, 3, 4460, 2767, 11, 31, 101, 31, 1672, 4, 40, 101, 98, 3, 3, 3, 100, 106, 77, 76, 90, 88, 89, 89, 103, 74, 80, 1, 106, 1, 39, 4, 28, 4, 4, 41, 41, 112, 11, 80, 23, 23
INVAR-1, Run: 053, P, 1, 0, 0, 2, 1, 1, 106, 0, 64, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 2, 0, 0, 0, 1, 94, 8, 103, 114, 113, 106, 1, 5499, 3473, 8, 8, 94, 8, 1962, 6, 36, 85, 87, 0, 0, 0, 87, 111, 88, 88, 124, 123, 130, 130, 135, 83, 73, 0, 111, 0, 35, 1, 51, 1, 1, 36, 36, 94, 9, 97, 9, 9
INVAR-1, Run: 054, P, 1, 2, 0, 1, 0, 1, 109, 0, 61, 0, 0, 1, 0, 1, 3, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 104, 8, 89, 111, 111, 109, 2, 4992, 2754, 6, 10, 102, 10, 2177, 2, 20, 95, 95, 0, 0, 0, 92, 116, 96, 96, 96, 94, 103, 103, 87, 46, 45, 0, 115, 0, 25, 1, 41, 2, 1, 20, 20, 100, 5, 82, 7, 7
