Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 14, 40, 0, 1, 5, 29, 0
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 52, 2, 0, 1, 4, 10, 0
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 14, 40, 0, 1, 10, 29, 0
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 18, 36, 0, 1, 9, 27, 0
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 48, 6, 0, 1, 8, 12, 0
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 38, 16, 0, 1, 9, 17, 0
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 46, 8, 0, 1, 14, 13, 0
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 26, 28, 0, 1, 7, 23, 0
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 46, 8, 0, 1, 7, 13, 0
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 16, 38, 0, 1, 4, 28, 0
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 14, 40, 0, 1, 6, 29, 0
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 30, 24, 0, 1, 13, 21, 0
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 12, 42, 0, 1, 5, 30, 0
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 28, 26, 0, 1, 4, 22, 0
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 30, 24, 0, 1, 1, 21, 0
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 34, 20, 0, 1, 5, 19, 0
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 28, 26, 0, 1, 11, 22, 0
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 18, 36, 0, 1, 11, 27, 0
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 32, 22, 0, 1, 9, 20, 0
INVAR-1, Run: 020, F, 0, 0, 0, 0, 0, 4, 50, 0, 1, 9, 34, 0
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 46, 8, 0, 1, 3, 13, 0
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 40, 14, 0, 1, 3, 16, 0
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 44, 10, 0, 1, 7, 14, 0
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 48, 6, 0, 1, 13, 12, 0
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 48, 6, 0, 1, 10, 12, 0
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 30, 24, 0, 1, 4, 21, 0
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 50, 4, 0, 1, 15, 11, 0
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 42, 12, 0, 1, 14, 15, 0
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 52, 2, 0, 1, 6, 10, 0
