Input Number, Run_Number, Result@ 100, predator_g532, prey_Q2a, H1, prey_Q1b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_H2, prey_H1, H2, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 036, P, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 109, 0, 1, 6, 6, 99, 97, 113, 113, 53, 35, 108, 35, 0, 23, 38, 42, 67, 34, 33, 25, 91, 106, 70, 69, 93, 93, 88, 88, 119, 94, 81, 37, 105, 36, 43, 29, 24, 29, 30, 38, 38, 91, 48, 1, 0, 0
INVAR-1, Run: 037, P, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 3, 3, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 115, 0, 4, 2, 2, 87, 84, 102, 97, 104, 29, 113, 29, 2, 44, 38, 38, 75, 21, 20, 21, 96, 116, 92, 91, 100, 100, 81, 81, 89, 58, 65, 46, 115, 45, 27, 60, 30, 60, 61, 38, 38, 129, 91, 4, 0, 0
INVAR-1, Run: 038, P, 0, 0, 0, 2, 1, 3, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 1, 107, 0, 9, 7, 7, 96, 96, 84, 81, 91, 31, 104, 31, 2, 43, 37, 49, 75, 31, 31, 36, 110, 113, 98, 98, 118, 116, 121, 119, 104, 69, 69, 46, 110, 45, 32, 47, 34, 47, 48, 37, 37, 122, 73, 9, 0, 0
INVAR-1, Run: 039, P, 0, 1, 3, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 2, 3, 1, 1, 1, 106, 0, 16, 24, 24, 106, 106, 108, 101, 107, 17, 105, 17, 7, 48, 39, 30, 86, 18, 18, 15, 100, 106, 87, 87, 97, 95, 84, 83, 91, 59, 84, 34, 106, 34, 40, 56, 30, 59, 57, 41, 40, 102, 72, 16, 0, 0
INVAR-1, Run: 040, P, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 106, 0, 17, 20, 20, 76, 75, 87, 83, 46, 29, 105, 28, 3, 22, 23, 38, 76, 10, 10, 11, 87, 112, 95, 92, 102, 102, 101, 102, 102, 49, 66, 20, 110, 20, 42, 23, 52, 23, 23, 24, 24, 93, 55, 17, 0, 0
INVAR-1, Run: 041, P, 0, 1, 2, 0, 1, 2, 0, 0, 0, 1, 1, 2, 1, 0, 0, 3, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 96, 0, 5, 2, 2, 104, 103, 114, 108, 60, 8, 94, 8, 4, 25, 14, 45, 73, 29, 28, 34, 107, 125, 134, 134, 102, 102, 114, 113, 87, 37, 40, 37, 122, 35, 25, 32, 48, 35, 34, 14, 14, 121, 75, 5, 0, 0
INVAR-1, Run: 042, P, 0, 2, 0, 5, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 3, 0, 0, 0, 1, 109, 0, 0, 0, 0, 99, 99, 80, 80, 61, 17, 107, 16, 0, 31, 42, 24, 90, 5, 5, 5, 94, 69, 98, 98, 126, 123, 133, 129, 124, 71, 77, 15, 67, 15, 34, 31, 50, 30, 31, 43, 43, 71, 46, 0, 0, 0
INVAR-1, Run: 043, P, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 3, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 94, 0, 7, 8, 8, 105, 105, 110, 107, 46, 29, 93, 27, 2, 26, 30, 43, 110, 3, 3, 1, 111, 92, 104, 104, 109, 109, 125, 125, 112, 71, 57, 11, 87, 11, 25, 21, 40, 20, 21, 32, 32, 101, 58, 7, 0, 0
INVAR-1, Run: 044, P, 0, 0, 1, 3, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 2, 1, 0, 4, 1, 2, 0, 0, 1, 1, 94, 0, 7, 8, 8, 112, 111, 106, 102, 58, 29, 94, 29, 4, 37, 28, 36, 76, 10, 10, 13, 87, 82, 78, 74, 113, 111, 100, 97, 96, 62, 52, 11, 81, 10, 23, 20, 33, 21, 21, 29, 28, 104, 67, 7, 0, 0
INVAR-1, Run: 045, P, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 3, 0, 0, 0, 1, 100, 0, 1, 0, 0, 101, 100, 87, 87, 100, 23, 100, 23, 0, 54, 28, 55, 90, 10, 10, 9, 98, 129, 77, 77, 103, 100, 88, 88, 93, 63, 50, 13, 128, 12, 22, 46, 29, 46, 47, 28, 28, 130, 75, 1, 0, 0
INVAR-1, Run: 046, P, 0, 2, 2, 3, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 3, 2, 0, 0, 1, 86, 0, 3, 3, 3, 85, 84, 96, 95, 45, 32, 86, 32, 0, 21, 40, 32, 112, 24, 24, 23, 135, 91, 114, 114, 115, 112, 127, 125, 121, 78, 80, 47, 91, 47, 36, 23, 40, 24, 23, 42, 42, 82, 50, 3, 0, 0
INVAR-1, Run: 047, P, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 2, 1, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 103, 0, 8, 12, 12, 107, 105, 114, 110, 45, 27, 102, 27, 3, 22, 28, 38, 93, 17, 17, 10, 103, 77, 76, 76, 97, 96, 111, 112, 108, 70, 60, 12, 76, 12, 31, 23, 36, 23, 23, 29, 28, 78, 38, 8, 0, 0
INVAR-1, Run: 048, P, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 100, 0, 12, 14, 14, 93, 91, 97, 89, 57, 17, 100, 17, 7, 29, 19, 58, 83, 31, 31, 24, 106, 89, 99, 99, 104, 104, 101, 101, 92, 56, 52, 35, 89, 35, 33, 29, 35, 28, 29, 19, 19, 110, 52, 12, 0, 0
INVAR-1, Run: 049, P, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 101, 0, 0, 0, 0, 97, 95, 120, 118, 61, 25, 101, 25, 0, 33, 38, 43, 63, 27, 26, 27, 89, 101, 82, 82, 115, 115, 136, 134, 133, 77, 75, 29, 100, 27, 37, 27, 54, 28, 29, 38, 38, 98, 55, 0, 0, 0
INVAR-1, Run: 050, P, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 1, 0, 1, 3, 0, 0, 3, 1, 1, 0, 0, 2, 1, 102, 0, 7, 6, 6, 110, 109, 111, 108, 50, 23, 101, 23, 2, 25, 29, 29, 99, 9, 9, 15, 111, 77, 83, 80, 111, 110, 122, 123, 120, 73, 63, 8, 76, 8, 32, 25, 46, 24, 25, 31, 29, 85, 54, 7, 0, 0
INVAR-1, Run: 051, P, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 1, 4, 0, 0, 0, 1, 127, 0, 15, 12, 12, 81, 81, 74, 70, 94, 8, 126, 8, 4, 52, 19, 25, 78, 30, 30, 39, 115, 97, 109, 109, 89, 85, 90, 89, 85, 47, 56, 43, 95, 43, 37, 43, 37, 42, 43, 19, 19, 105, 80, 15, 0, 0
INVAR-1, Run: 052, P, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 105, 0, 4, 10, 10, 92, 92, 124, 122, 49, 10, 105, 10, 1, 29, 25, 48, 83, 25, 25, 16, 99, 94, 87, 87, 128, 126, 122, 123, 128, 70, 62, 23, 93, 23, 37, 21, 56, 20, 21, 25, 25, 105, 57, 4, 0, 0
INVAR-1, Run: 053, P, 0, 5, 0, 3, 1, 3, 0, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 1, 1, 2, 0, 0, 1, 98, 0, 5, 1, 1, 106, 105, 96, 95, 71, 51, 95, 51, 0, 30, 34, 44, 83, 15, 15, 25, 108, 113, 97, 97, 93, 92, 87, 84, 97, 49, 67, 25, 111, 24, 31, 41, 42, 41, 42, 34, 34, 110, 66, 5, 0, 0
