Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 29, 6, 0, 0, 39, 23
INVAR-1, Run: 002, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 5, 1, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 25, 6, 1, 0, 52, 19
INVAR-1, Run: 003, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 23, 6, 0, 0, 38, 17
INVAR-1, Run: 004, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 17, 8, 9, 17, 6, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 32, 6, 0, 0, 50, 26
INVAR-1, Run: 005, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 36, 6, 0, 0, 26, 30
INVAR-1, Run: 006, P, 10, 0, 0, 0, 6, 45, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 30, 0, 19, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 25, 6, 0, 0, 0, 0
INVAR-1, Run: 007, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 16, 7, 8, 16, 5, 1, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 21, 6, 1, 0, 31, 15
INVAR-1, Run: 008, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 4, 2, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 19, 6, 2, 0, 59, 13
INVAR-1, Run: 009, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 10, 1, 2, 10, 6, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 20, 6, 0, 0, 50, 14
INVAR-1, Run: 010, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 3, 3, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 25, 6, 3, 0, 38, 19
INVAR-1, Run: 011, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 3, 2, 1, 7, 0, 0, 0, 0, 7, 74, 0, 0, 0, 0, 0, 0, 24, 6, 3, 1, 50, 18
INVAR-1, Run: 012, P, 10, 0, 0, 0, 5, 30, 1, 0, 50, 0, 0, 0, 0, 0, 1, 0, 40, 0, 24, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 30, 6, 1, 0, 0, 0
INVAR-1, Run: 013, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 4, 1, 1, 8, 1, 0, 0, 0, 7, 71, 1, 0, 0, 0, 0, 0, 28, 6, 2, 1, 43, 22
INVAR-1, Run: 014, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 4, 2, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 20, 6, 2, 0, 36, 14
INVAR-1, Run: 015, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 4, 2, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 15, 6, 2, 0, 36, 9
INVAR-1, Run: 016, P, 10, 0, 0, 0, 4, 41, 2, 0, 50, 0, 0, 0, 0, 0, 1, 0, 39, 0, 14, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 20, 6, 2, 0, 0, 0
INVAR-1, Run: 017, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 24, 6, 0, 0, 34, 18
INVAR-1, Run: 018, P, 0, 10, 0, 0, 0, 98, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 9, 0, 1, 9, 5, 1, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 34, 6, 1, 0, 95, 28
INVAR-1, Run: 019, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 5, 1, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 18, 6, 1, 0, 38, 12
INVAR-1, Run: 020, P, 0, 0, 0, 10, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 10, 1, 9, 5, 1, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 18, 6, 1, 0, 37, 12
INVAR-1, Run: 021, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 4, 2, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 15, 6, 2, 0, 46, 9
INVAR-1, Run: 022, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 20, 11, 12, 20, 5, 1, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 24, 6, 1, 0, 53, 18
INVAR-1, Run: 023, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 5, 1, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 17, 6, 1, 0, 30, 11
INVAR-1, Run: 024, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 5, 1, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 18, 6, 1, 0, 35, 12
INVAR-1, Run: 025, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 25, 6, 0, 0, 46, 19
INVAR-1, Run: 026, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 5, 0, 1, 6, 1, 1, 1, 0, 5, 61, 0, 0, 1, 0, 0, 0, 22, 6, 1, 1, 39, 16
INVAR-1, Run: 027, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 18, 6, 0, 0, 46, 12
INVAR-1, Run: 028, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 9, 10, 18, 5, 1, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 16, 6, 1, 0, 35, 10
INVAR-1, Run: 029, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 3, 1, 2, 20, 5, 2, 0, 0, 15, 67, 3, 2, 0, 0, 0, 0, 26, 6, 3, 2, 41, 20
INVAR-1, Run: 030, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 5, 0, 1, 16, 1, 0, 0, 0, 15, 60, 1, 0, 0, 0, 0, 0, 30, 6, 1, 1, 30, 24
INVAR-1, Run: 031, P, 0, 0, 0, 10, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 10, 1, 9, 5, 1, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 25, 6, 1, 0, 41, 19
INVAR-1, Run: 032, P, 0, 10, 0, 0, 1, 97, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 9, 0, 1, 9, 4, 1, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 25, 6, 1, 0, 36, 18
INVAR-1, Run: 033, P, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 9, 4, 2, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 17, 6, 2, 0, 37, 11
