Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B
INVAR-1, Run: 001, F, 0, 0, 0, 0, 9, 0, 0, 8, 1, 46, 0
INVAR-1, Run: 002, F, 0, 0, 0, 0, 9, 0, 0, 16, 1, 38, 0
INVAR-1, Run: 003, F, 0, 0, 0, 0, 9, 0, 0, 3, 1, 51, 0
INVAR-1, Run: 004, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 005, F, 0, 0, 0, 0, 9, 0, 0, 8, 1, 46, 0
INVAR-1, Run: 006, F, 0, 0, 0, 0, 9, 0, 0, 4, 1, 50, 0
INVAR-1, Run: 007, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 008, F, 0, 0, 0, 0, 9, 0, 0, 11, 1, 43, 0
INVAR-1, Run: 009, F, 0, 0, 0, 0, 9, 0, 0, 9, 1, 45, 0
INVAR-1, Run: 010, F, 0, 0, 0, 0, 9, 0, 0, 12, 1, 42, 0
INVAR-1, Run: 011, F, 0, 0, 0, 0, 9, 0, 0, 5, 1, 49, 0
INVAR-1, Run: 012, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 013, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 014, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 015, F, 0, 0, 0, 0, 9, 0, 0, 15, 1, 39, 0
INVAR-1, Run: 016, F, 0, 0, 0, 0, 9, 0, 0, 12, 1, 42, 0
INVAR-1, Run: 017, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 018, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 019, P, 0, 0, 0, 0, 9, 0, 0, 0, 1, 54, 0
INVAR-1, Run: 020, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 021, F, 0, 0, 0, 0, 9, 0, 0, 9, 1, 45, 0
INVAR-1, Run: 022, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 023, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 024, F, 0, 0, 0, 0, 9, 0, 0, 14, 1, 40, 0
INVAR-1, Run: 025, F, 0, 0, 0, 0, 9, 0, 0, 10, 1, 44, 0
INVAR-1, Run: 026, F, 0, 0, 0, 0, 9, 0, 0, 15, 1, 39, 0
INVAR-1, Run: 027, F, 0, 0, 0, 0, 9, 0, 0, 14, 1, 40, 0
INVAR-1, Run: 028, F, 0, 0, 0, 0, 9, 0, 0, 9, 1, 45, 0
INVAR-1, Run: 029, F, 0, 0, 0, 0, 9, 0, 0, 15, 1, 39, 0
INVAR-1, Run: 030, F, 0, 0, 0, 0, 9, 0, 0, 17, 1, 37, 0
INVAR-1, Run: 031, F, 0, 0, 0, 0, 9, 0, 0, 3, 1, 51, 0
INVAR-1, Run: 032, F, 0, 0, 0, 0, 9, 0, 0, 9, 1, 45, 0
INVAR-1, Run: 033, F, 0, 0, 0, 0, 9, 0, 0, 11, 1, 43, 0
INVAR-1, Run: 034, F, 0, 0, 0, 0, 9, 0, 0, 11, 1, 43, 0
INVAR-1, Run: 035, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 036, F, 0, 0, 0, 0, 9, 0, 0, 9, 1, 45, 0
INVAR-1, Run: 037, F, 0, 0, 0, 0, 9, 0, 0, 8, 1, 46, 0
INVAR-1, Run: 038, F, 0, 0, 0, 0, 9, 0, 0, 3, 1, 51, 0
INVAR-1, Run: 039, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 040, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 041, F, 0, 0, 0, 0, 9, 0, 0, 1, 1, 53, 0
INVAR-1, Run: 042, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 043, F, 0, 0, 0, 0, 9, 0, 0, 15, 1, 39, 0
INVAR-1, Run: 044, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 045, F, 0, 0, 0, 0, 9, 0, 0, 5, 1, 49, 0
INVAR-1, Run: 046, P, 0, 0, 0, 0, 9, 2, 0, 0, 1, 54, 0
INVAR-1, Run: 047, F, 0, 0, 0, 0, 9, 0, 0, 14, 1, 40, 0
INVAR-1, Run: 048, F, 0, 0, 0, 0, 9, 0, 0, 2, 1, 52, 0
INVAR-1, Run: 049, P, 0, 0, 0, 0, 9, 7, 0, 0, 1, 54, 0
INVAR-1, Run: 050, F, 0, 0, 0, 0, 9, 0, 0, 10, 1, 44, 0
INVAR-1, Run: 051, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 052, F, 0, 0, 0, 0, 9, 0, 0, 11, 1, 43, 0
INVAR-1, Run: 053, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 054, F, 0, 0, 0, 0, 9, 0, 0, 16, 1, 38, 0
INVAR-1, Run: 055, F, 0, 0, 0, 0, 9, 0, 0, 5, 1, 49, 0
INVAR-1, Run: 056, F, 0, 0, 0, 0, 9, 0, 0, 4, 1, 50, 0
INVAR-1, Run: 057, F, 0, 0, 0, 0, 9, 0, 0, 13, 1, 41, 0
INVAR-1, Run: 058, F, 0, 0, 0, 0, 9, 0, 0, 10, 1, 44, 0
INVAR-1, Run: 059, F, 0, 0, 0, 0, 9, 0, 0, 10, 1, 44, 0
INVAR-1, Run: 060, F, 0, 0, 0, 0, 9, 0, 0, 16, 1, 38, 0
INVAR-1, Run: 061, F, 0, 0, 0, 0, 9, 0, 0, 4, 1, 50, 0
INVAR-1, Run: 062, F, 0, 0, 0, 0, 9, 0, 0, 16, 1, 38, 0
INVAR-1, Run: 063, F, 0, 0, 0, 0, 9, 0, 0, 1, 1, 53, 0
INVAR-1, Run: 064, F, 0, 0, 0, 0, 9, 0, 0, 13, 1, 41, 0
INVAR-1, Run: 065, F, 0, 0, 0, 0, 9, 0, 0, 13, 1, 41, 0
INVAR-1, Run: 066, P, 0, 0, 0, 0, 9, 0, 0, 0, 1, 54, 0
INVAR-1, Run: 067, F, 0, 0, 0, 0, 9, 0, 0, 9, 1, 45, 0
INVAR-1, Run: 068, F, 0, 0, 0, 0, 9, 0, 0, 17, 1, 37, 0
INVAR-1, Run: 069, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 070, F, 0, 0, 0, 0, 9, 0, 0, 16, 1, 38, 0
INVAR-1, Run: 071, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 072, F, 0, 0, 0, 0, 9, 0, 0, 11, 1, 43, 0
INVAR-1, Run: 073, F, 0, 0, 0, 0, 9, 0, 0, 11, 1, 43, 0
INVAR-1, Run: 074, F, 0, 0, 0, 0, 9, 0, 0, 4, 1, 50, 0
INVAR-1, Run: 075, F, 0, 0, 0, 0, 9, 0, 0, 10, 1, 44, 0
INVAR-1, Run: 076, P, 0, 0, 0, 0, 9, 1, 0, 0, 1, 54, 0
INVAR-1, Run: 077, F, 0, 0, 0, 0, 9, 0, 0, 10, 1, 44, 0
INVAR-1, Run: 078, F, 0, 0, 0, 0, 9, 0, 0, 8, 1, 46, 0
INVAR-1, Run: 079, F, 0, 0, 0, 0, 9, 0, 0, 2, 1, 52, 0
INVAR-1, Run: 080, F, 0, 0, 0, 0, 9, 0, 0, 10, 1, 44, 0
INVAR-1, Run: 081, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 082, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 083, F, 0, 0, 0, 0, 9, 0, 0, 3, 1, 51, 0
INVAR-1, Run: 084, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 085, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 086, F, 0, 0, 0, 0, 9, 0, 0, 3, 1, 51, 0
INVAR-1, Run: 087, F, 0, 0, 0, 0, 9, 0, 0, 10, 1, 44, 0
INVAR-1, Run: 088, P, 0, 0, 0, 0, 9, 3, 0, 0, 1, 54, 0
INVAR-1, Run: 089, P, 0, 0, 0, 0, 9, 2, 0, 0, 1, 54, 0
INVAR-1, Run: 090, F, 0, 0, 0, 0, 9, 0, 0, 5, 1, 49, 0
INVAR-1, Run: 091, F, 0, 0, 0, 0, 9, 0, 0, 3, 1, 51, 0
INVAR-1, Run: 092, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 093, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 094, F, 0, 0, 0, 0, 9, 0, 0, 4, 1, 50, 0
INVAR-1, Run: 095, F, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0
INVAR-1, Run: 096, F, 0, 0, 0, 0, 9, 0, 0, 8, 1, 46, 0
INVAR-1, Run: 097, F, 0, 0, 0, 0, 9, 0, 0, 5, 1, 49, 0
INVAR-1, Run: 098, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-1, Run: 099, F, 0, 0, 0, 0, 9, 0, 0, 5, 1, 49, 0
INVAR-1, Run: 100, F, 0, 0, 0, 0, 9, 0, 0, 6, 1, 48, 0
INVAR-10, Run: 001, F, 0, 0, 0, 0, 100, 0, 0, 158, 1, 442, 0
INVAR-10, Run: 002, F, 0, 0, 0, 0, 100, 0, 0, 150, 1, 450, 0
INVAR-10, Run: 003, F, 0, 0, 0, 0, 100, 0, 0, 131, 1, 469, 0
INVAR-10, Run: 004, F, 0, 0, 0, 0, 100, 0, 0, 144, 1, 456, 0
INVAR-10, Run: 005, F, 0, 0, 0, 0, 100, 0, 0, 158, 1, 442, 0
INVAR-10, Run: 006, F, 0, 0, 0, 0, 100, 0, 0, 121, 1, 479, 0
INVAR-10, Run: 007, F, 0, 0, 0, 0, 100, 0, 0, 146, 1, 454, 0
INVAR-10, Run: 008, F, 0, 0, 0, 0, 100, 0, 0, 158, 1, 442, 0
INVAR-10, Run: 009, F, 0, 0, 0, 0, 100, 0, 0, 148, 1, 452, 0
INVAR-10, Run: 010, F, 0, 0, 0, 0, 100, 0, 0, 148, 1, 452, 0
INVAR-10, Run: 011, F, 0, 0, 0, 0, 100, 0, 0, 165, 1, 435, 0
