Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, R, U, L2, T6, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 011, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 1, 0, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 118, 59, 99, 49127, 48624, 48137, 47678, 502, 769, 487, 459, 47630, 0, 0, 0, 517, 376, 258, 199, 252, 141
INVAR-1, Run: 012, E, 0, 10, 0, 0, 0, 0, 0, 100, 2, 0, 2, 0, 46, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 104, 76, 200, 49022, 48556, 48043, 47564, 466, 920, 511, 479, 47518, 0, 0, 0, 645, 480, 376, 300, 275, 165
INVAR-1, Run: 013, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 0, 1, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 103, 65, 75, 49664, 49159, 48611, 48101, 504, 811, 548, 509, 48053, 0, 0, 0, 497, 343, 240, 175, 314, 154
INVAR-1, Run: 014, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 0, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 62, 39, 67, 49319, 48807, 48333, 47849, 511, 557, 474, 484, 47800, 0, 0, 0, 365, 268, 206, 167, 192, 97
INVAR-1, Run: 015, E, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 2, 48, 1, 6, 0, 0, 0, 0, 8, 9, 10, 8, 43, 26, 44, 49206, 48727, 48228, 47729, 479, 426, 499, 497, 47681, 0, 0, 0, 289, 213, 170, 144, 137, 76
INVAR-1, Run: 016, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 0, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 55, 23, 66, 49410, 48895, 48446, 47946, 514, 570, 449, 500, 47897, 0, 0, 0, 372, 244, 189, 166, 198, 128
INVAR-1, Run: 017, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 2, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 102, 65, 171, 49499, 48981, 48470, 47982, 518, 906, 511, 486, 47934, 0, 0, 0, 594, 438, 336, 271, 312, 156
INVAR-1, Run: 018, E, 0, 10, 0, 0, 0, 0, 0, 100, 2, 1, 1, 0, 46, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 53, 30, 30, 49480, 48957, 48459, 47969, 522, 491, 497, 490, 47923, 0, 0, 0, 308, 213, 160, 130, 183, 95
INVAR-1, Run: 019, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 40, 14, 16, 49651, 49157, 48725, 48248, 494, 425, 432, 477, 48198, 0, 0, 0, 250, 170, 130, 116, 175, 80
INVAR-1, Run: 020, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 1, 0, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 105, 62, 182, 49619, 49117, 48616, 48113, 501, 777, 501, 503, 48065, 0, 0, 0, 581, 449, 344, 282, 196, 132
INVAR-1, Run: 021, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 1, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 48, 20, 47, 49663, 49162, 48659, 48160, 501, 416, 502, 499, 48112, 0, 0, 0, 297, 215, 167, 147, 119, 82
INVAR-1, Run: 022, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 2, 0, 47, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 75, 45, 56, 49609, 49109, 48622, 48167, 500, 547, 485, 455, 48120, 0, 0, 0, 373, 276, 201, 156, 174, 97
INVAR-1, Run: 023, E, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 49, 1, 6, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 49524, 49024, 48517, 48027, 500, 100, 506, 490, 47978, 0, 0, 0, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 024, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 2, 48, 1, 6, 0, 0, 0, 0, 10, 1, 2, 10, 65, 52, 54, 49723, 49174, 48669, 48168, 549, 583, 505, 499, 48120, 0, 0, 0, 386, 271, 206, 154, 197, 115
INVAR-1, Run: 025, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 69, 45, 68, 49318, 48818, 48328, 47829, 500, 638, 489, 499, 47780, 0, 0, 0, 395, 282, 213, 168, 243, 113
