Input Number, Run_Number, Result@ 100, H, PO, X1, M, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 21, 134, 10, 4, 5, 8, 18, 27, 29, 134
INVAR-1, Run: 002, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 21, 168, 10, 6, 3, 8, 18, 27, 29, 168
INVAR-1, Run: 003, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 12, 140, 12, 8, 3, 6, 18, 27, 18, 140
INVAR-1, Run: 004, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 12, 226, 11, 7, 3, 7, 18, 27, 19, 226
INVAR-1, Run: 005, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 18, 99, 11, 7, 3, 7, 18, 27, 25, 99
INVAR-1, Run: 006, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 20, 130, 12, 3, 8, 6, 18, 27, 26, 130
INVAR-1, Run: 007, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 25, 151, 12, 8, 3, 6, 18, 27, 31, 151
INVAR-1, Run: 008, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 20, 187, 13, 10, 2, 5, 18, 27, 25, 187
INVAR-1, Run: 009, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 7, 154, 10, 8, 1, 8, 18, 27, 15, 154
INVAR-1, Run: 010, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 24, 201, 12, 10, 1, 6, 18, 27, 30, 201
INVAR-1, Run: 011, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 17, 167, 11, 8, 2, 7, 18, 27, 24, 167
INVAR-1, Run: 012, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 22, 252, 13, 9, 3, 5, 18, 27, 27, 252
INVAR-1, Run: 013, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 19, 136, 13, 5, 7, 5, 18, 27, 24, 136
INVAR-1, Run: 014, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 18, 118, 13, 5, 7, 5, 18, 27, 23, 118
INVAR-1, Run: 015, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 7, 50, 13, 7, 5, 5, 18, 27, 12, 50
INVAR-1, Run: 016, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 9, 98, 10, 8, 1, 8, 18, 27, 17, 98
INVAR-1, Run: 017, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 14, 169, 13, 8, 4, 5, 18, 27, 19, 169
INVAR-1, Run: 018, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 18, 151, 11, 8, 2, 7, 18, 27, 25, 151
INVAR-1, Run: 019, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 19, 170, 12, 4, 7, 6, 18, 27, 25, 170
INVAR-1, Run: 020, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 15, 158, 11, 8, 2, 7, 18, 27, 22, 158
INVAR-1, Run: 021, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 15, 71, 11, 6, 4, 7, 18, 27, 22, 71
INVAR-1, Run: 022, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 18, 90, 11, 5, 5, 7, 18, 27, 25, 90
INVAR-1, Run: 023, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 23, 158, 10, 6, 3, 8, 18, 27, 31, 158
INVAR-1, Run: 024, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 22, 149, 11, 8, 2, 7, 18, 27, 29, 149
INVAR-1, Run: 025, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 14, 121, 11, 8, 2, 7, 18, 27, 21, 121
INVAR-1, Run: 026, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 27, 174, 12, 6, 5, 6, 18, 27, 33, 174
INVAR-1, Run: 027, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 17, 174, 12, 11, 0, 6, 18, 27, 23, 174
INVAR-1, Run: 028, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 24, 133, 12, 7, 4, 6, 18, 27, 30, 133
