Input Number, Run_Number, Result@ 1000, A, B, H, C, L5, T2, T5, L4, L1, Y, T1, T3, T4, T6, R, U, L2, D, L3
1, Run: 001, F, 0, 10, 0, 0, 0, 0, 2, 0, 0, 74, 0, 1, 3, 3, 1, 6, 0, 93, 0
1, Run: 002, F, 0, 10, 0, 0, 0, 0, 1, 0, 0, 77, 2, 1, 0, 2, 1, 6, 0, 90, 0
1, Run: 003, F, 0, 10, 0, 0, 0, 2, 3, 0, 0, 80, 0, 1, 2, 2, 1, 6, 0, 80, 0
1, Run: 004, F, 10, 0, 0, 0, 0, 2, 2, 0, 0, 89, 2, 0, 1, 0, 1, 6, 0, 65, 0
1, Run: 005, F, 0, 10, 0, 0, 0, 2, 2, 0, 0, 70, 0, 2, 1, 2, 1, 6, 0, 101, 0
1, Run: 006, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 79, 1, 1, 3, 3, 1, 6, 0, 84, 0
1, Run: 007, F, 10, 0, 0, 0, 0, 1, 3, 0, 0, 66, 1, 3, 3, 3, 1, 6, 0, 104, 0
1, Run: 008, F, 0, 10, 0, 0, 0, 1, 0, 0, 0, 87, 2, 1, 1, 1, 1, 6, 0, 70, 0
1, Run: 009, F, 0, 10, 0, 0, 0, 3, 0, 0, 0, 73, 2, 1, 0, 2, 1, 6, 0, 96, 0
1, Run: 010, F, 0, 10, 0, 0, 0, 0, 1, 0, 0, 69, 1, 1, 1, 2, 1, 6, 0, 106, 0
1, Run: 011, F, 0, 10, 0, 0, 0, 0, 2, 0, 0, 75, 2, 1, 2, 2, 1, 6, 0, 91, 0
1, Run: 012, F, 10, 0, 0, 0, 0, 2, 2, 0, 0, 72, 3, 3, 0, 0, 1, 6, 0, 96, 0
1, Run: 013, F, 0, 0, 0, 10, 0, 0, 1, 0, 0, 81, 0, 0, 0, 0, 1, 6, 0, 87, 0
1, Run: 014, F, 0, 10, 0, 0, 0, 1, 1, 0, 0, 65, 2, 2, 3, 2, 1, 6, 0, 109, 0
1, Run: 015, F, 0, 10, 0, 0, 0, 3, 2, 0, 0, 71, 2, 1, 2, 1, 1, 6, 0, 97, 0
1, Run: 016, F, 0, 10, 0, 0, 0, 1, 0, 0, 0, 68, 1, 1, 1, 3, 1, 6, 0, 107, 0
1, Run: 017, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 1, 6, 0, 104, 0
1, Run: 018, F, 0, 10, 0, 0, 0, 1, 0, 0, 0, 73, 0, 0, 2, 2, 1, 6, 0, 99, 0
1, Run: 019, F, 0, 10, 0, 0, 0, 3, 0, 0, 0, 77, 2, 1, 1, 1, 1, 6, 0, 88, 0
1, Run: 020, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 68, 0, 3, 2, 2, 1, 6, 0, 107, 0
1, Run: 021, F, 0, 10, 0, 0, 0, 1, 0, 0, 0, 81, 0, 1, 1, 1, 1, 6, 0, 84, 0
1, Run: 022, F, 0, 10, 0, 0, 0, 1, 1, 0, 0, 72, 1, 2, 1, 3, 1, 6, 0, 97, 0
1, Run: 023, F, 0, 10, 0, 0, 0, 1, 0, 0, 0, 74, 2, 4, 2, 2, 1, 6, 0, 91, 0
1, Run: 024, F, 10, 0, 0, 0, 0, 2, 1, 0, 0, 73, 2, 2, 2, 3, 1, 6, 0, 92, 0
1, Run: 025, F, 0, 10, 0, 0, 0, 2, 1, 0, 0, 84, 1, 2, 1, 2, 1, 6, 0, 73, 0
1, Run: 026, F, 10, 0, 0, 0, 0, 0, 1, 0, 0, 84, 2, 0, 0, 3, 1, 6, 0, 76, 0
