Input Number, Run_Number, Result@ 100, H1, prey_Q2a, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_H2, prey_H1, H2, predator_g532
INVAR-1, Run: 028, P, 0, 0, 1, 2, 0, 0, 0, 1, 1, 2, 2, 2, 1, 2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 029, P, 0, 0, 1, 1, 0, 0, 2, 1, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 030, P, 0, 1, 1, 4, 1, 1, 0, 1, 1, 0, 2, 0, 0, 4, 1, 1, 2, 0, 0, 1, 1, 2, 2, 0, 0, 0, 0
INVAR-1, Run: 031, P, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 8, 0, 0, 0, 1
INVAR-1, Run: 032, P, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 033, P, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 1, 2, 1, 0, 0, 0, 1
INVAR-1, Run: 034, P, 0, 2, 1, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 1
INVAR-1, Run: 035, P, 0, 0, 1, 4, 1, 2, 0, 1, 2, 1, 3, 2, 0, 4, 3, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0
INVAR-1, Run: 036, P, 0, 1, 1, 2, 0, 1, 0, 1, 2, 3, 0, 0, 0, 1, 2, 0, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 1
INVAR-1, Run: 037, P, 0, 0, 1, 3, 1, 2, 0, 1, 2, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 038, P, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 4, 1, 2, 3, 1, 0, 4, 1
INVAR-1, Run: 039, P, 0, 0, 1, 2, 0, 1, 1, 1, 0, 0, 4, 2, 0, 2, 1, 0, 2, 0, 1, 6, 1, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 040, P, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1
INVAR-1, Run: 041, P, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 2, 1, 1, 2, 1, 0, 0, 0
INVAR-1, Run: 042, P, 0, 2, 1, 1, 1, 1, 1, 1, 3, 4, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 043, P, 0, 2, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1
INVAR-1, Run: 044, P, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1
INVAR-1, Run: 045, P, 2, 0, 1, 1, 0, 2, 6, 1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 046, P, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 047, P, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 2, 0, 0, 4, 1, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 048, P, 1, 1, 1, 3, 0, 1, 0, 1, 1, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 2, 1, 1, 2, 2, 0, 1, 1
INVAR-1, Run: 049, P, 0, 1, 1, 2, 0, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0, 1
INVAR-1, Run: 050, P, 0, 1, 1, 3, 0, 1, 0, 1, 0, 0, 4, 1, 2, 0, 0, 0, 0, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1
INVAR-1, Run: 051, P, 0, 0, 1, 0, 0, 2, 3, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 052, P, 1, 1, 1, 1, 1, 1, 0, 1, 2, 0, 3, 3, 1, 3, 0, 1, 4, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0
INVAR-1, Run: 053, P, 0, 1, 1, 3, 0, 3, 0, 1, 1, 1, 1, 1, 0, 6, 1, 1, 1, 0, 0, 4, 1, 0, 1, 1, 0, 0, 1
INVAR-1, Run: 054, P, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1
INVAR-1, Run: 055, P, 0, 2, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0
INVAR-1, Run: 056, P, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 1, 1, 1, 4, 1, 1, 0, 1, 1
INVAR-1, Run: 057, P, 0, 2, 1, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1
INVAR-1, Run: 058, P, 0, 0, 1, 1, 0, 1, 0, 1, 2, 1, 1, 0, 0, 0, 0, 1, 4, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1
INVAR-1, Run: 059, P, 2, 0, 1, 1, 1, 1, 1, 1, 0, 0, 2, 0, 1, 3, 0, 1, 0, 1, 0, 2, 1, 0, 0, 1, 3, 0, 0
INVAR-1, Run: 060, P, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 061, P, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 0, 2, 1, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 1
INVAR-1, Run: 062, P, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 063, P, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 064, P, 0, 0, 1, 0, 0, 1, 2, 1, 2, 1, 0, 1, 0, 0, 1, 1, 3, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 065, P, 0, 4, 1, 5, 1, 2, 2, 1, 0, 0, 0, 2, 0, 3, 0, 1, 3, 0, 0, 1, 1, 2, 0, 2, 0, 0, 0
INVAR-1, Run: 066, P, 0, 0, 1, 1, 0, 0, 1, 1, 3, 1, 2, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 4, 3, 0, 0, 0, 1
INVAR-1, Run: 067, P, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 2, 1, 2, 2, 0, 0, 1, 1
INVAR-1, Run: 068, P, 0, 0, 1, 0, 1, 1, 0, 1, 1, 3, 0, 0, 0, 0, 0, 1, 3, 0, 0, 2, 1, 1, 2, 0, 0, 0, 0
INVAR-1, Run: 069, P, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 070, P, 0, 0, 1, 1, 0, 1, 1, 1, 3, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 071, P, 0, 2, 1, 1, 1, 1, 0, 1, 1, 2, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0
INVAR-1, Run: 072, P, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 073, P, 0, 1, 1, 0, 0, 1, 3, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2, 3, 0, 1, 0, 1
INVAR-1, Run: 074, P, 1, 2, 1, 1, 1, 0, 0, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 0, 0
INVAR-1, Run: 075, P, 1, 0, 1, 2, 1, 0, 2, 1, 1, 2, 2, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0
INVAR-1, Run: 076, P, 0, 1, 1, 1, 0, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 3, 1, 1, 1, 0, 0, 0, 1
INVAR-1, Run: 077, P, 0, 0, 1, 2, 1, 4, 0, 1, 2, 1, 2, 0, 0, 3, 0, 1, 1, 0, 0, 2, 1, 1, 2, 0, 0, 0, 0
INVAR-1, Run: 078, P, 0, 0, 1, 1, 1, 1, 2, 1, 3, 1, 2, 1, 0, 0, 1, 1, 4, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 079, P, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 080, P, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 2, 1, 0, 0, 0, 0
INVAR-1, Run: 081, P, 0, 0, 1, 3, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 082, P, 0, 1, 1, 1, 0, 2, 1, 1, 3, 0, 0, 2, 2, 0, 0, 1, 1, 0, 0, 3, 1, 1, 1, 0, 0, 0, 1
INVAR-1, Run: 083, P, 0, 1, 1, 3, 0, 0, 0, 1, 0, 1, 2, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 084, P, 0, 3, 1, 5, 0, 1, 1, 1, 1, 0, 4, 1, 0, 7, 2, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1
INVAR-1, Run: 085, P, 1, 2, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1
INVAR-1, Run: 086, P, 0, 2, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 2, 3, 1, 0, 0, 1
INVAR-1, Run: 087, P, 0, 2, 1, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 088, P, 0, 0, 1, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 089, P, 0, 0, 1, 1, 1, 2, 0, 1, 1, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0
INVAR-1, Run: 090, P, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 091, P, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1
INVAR-1, Run: 092, P, 1, 0, 1, 2, 0, 0, 0, 1, 1, 1, 5, 2, 1, 2, 1, 1, 2, 0, 0, 2, 1, 4, 3, 0, 0, 0, 1
INVAR-1, Run: 093, P, 0, 0, 1, 1, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 1
INVAR-1, Run: 094, P, 0, 3, 1, 3, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 3, 0, 0, 1, 1
INVAR-1, Run: 095, P, 0, 2, 1, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 1, 0, 0, 0, 1
INVAR-1, Run: 096, P, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 3, 1, 0, 0, 0
INVAR-1, Run: 097, P, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 098, P, 0, 0, 1, 0, 0, 2, 1, 1, 2, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 099, P, 0, 0, 1, 1, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 1, 2, 0, 0, 0, 1
INVAR-1, Run: 100, P, 0, 1, 1, 0, 0, 1, 0, 1, 3, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 2, 0, 0, 1
