Input Number, Run_Number, Result@ 100, H, CO, M, X1, PO, CE, Y, D, PE, A, B
4, Run: 001, F, 0, 161, 0, 0, 1, 0, 150, 14, 0, 0, 0
4, Run: 002, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 003, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 004, F, 0, 161, 0, 0, 1, 0, 150, 14, 0, 0, 0
4, Run: 005, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 006, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 007, F, 0, 161, 0, 0, 1, 0, 150, 14, 0, 0, 0
4, Run: 008, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 009, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 010, F, 0, 137, 0, 0, 1, 0, 132, 17, 0, 0, 0
4, Run: 011, F, 0, 161, 0, 0, 1, 0, 150, 14, 0, 0, 0
4, Run: 012, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 013, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 014, F, 0, 137, 0, 0, 1, 0, 132, 17, 0, 0, 0
4, Run: 015, F, 0, 161, 0, 0, 1, 0, 150, 14, 0, 0, 0
4, Run: 016, F, 0, 161, 0, 0, 1, 0, 150, 14, 0, 0, 0
4, Run: 017, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 018, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 019, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 020, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 021, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 022, F, 0, 137, 0, 0, 1, 0, 132, 17, 0, 0, 0
4, Run: 023, F, 0, 129, 0, 0, 1, 0, 126, 18, 0, 0, 0
4, Run: 024, F, 0, 137, 0, 0, 1, 0, 132, 17, 0, 0, 0
4, Run: 025, F, 0, 161, 0, 0, 1, 0, 150, 14, 0, 0, 0
4, Run: 026, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 027, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 028, F, 0, 161, 0, 0, 1, 0, 150, 14, 0, 0, 0
4, Run: 029, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 030, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 031, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 032, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 033, F, 0, 137, 0, 0, 1, 0, 132, 17, 0, 0, 0
4, Run: 034, F, 0, 129, 0, 0, 1, 0, 126, 18, 0, 0, 0
4, Run: 035, F, 0, 161, 0, 0, 1, 0, 150, 14, 0, 0, 0
4, Run: 036, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 037, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 038, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 039, F, 0, 169, 0, 0, 1, 0, 156, 13, 0, 0, 0
4, Run: 040, F, 0, 169, 0, 0, 1, 0, 156, 13, 0, 0, 0
4, Run: 041, F, 0, 161, 0, 0, 1, 0, 150, 14, 0, 0, 0
4, Run: 042, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 043, F, 0, 161, 0, 0, 1, 0, 150, 14, 0, 0, 0
4, Run: 044, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 045, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 046, F, 0, 137, 0, 0, 1, 0, 132, 17, 0, 0, 0
4, Run: 047, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 048, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 049, F, 0, 137, 0, 0, 1, 0, 132, 17, 0, 0, 0
4, Run: 050, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 051, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 052, F, 0, 153, 0, 0, 1, 0, 144, 15, 0, 0, 0
4, Run: 053, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
4, Run: 054, F, 0, 161, 0, 0, 1, 0, 150, 14, 0, 0, 0
4, Run: 055, F, 0, 137, 0, 0, 1, 0, 132, 17, 0, 0, 0
4, Run: 056, F, 0, 145, 0, 0, 1, 0, 138, 16, 0, 0, 0
