Input Number, Run_Number, Result@ 100, U, X1, X2
INVAR-10, Run: 006, F, 0, 186, 0
INVAR-10, Run: 007, F, 0, 188, 0
INVAR-10, Run: 008, F, 1, 0, 205
INVAR-10, Run: 009, F, 0, 232, 0
INVAR-10, Run: 010, F, 0, 0, 158
INVAR-10, Run: 011, F, 0, 202, 0
INVAR-10, Run: 012, F, 0, 238, 0
INVAR-10, Run: 013, F, 0, 196, 0
INVAR-10, Run: 014, F, 0, 222, 0
INVAR-10, Run: 015, F, 0, 212, 0
INVAR-10, Run: 016, F, 0, 194, 0
INVAR-10, Run: 017, F, 0, 234, 0
INVAR-10, Run: 018, F, 0, 0, 232
INVAR-10, Run: 019, F, 0, 248, 0
INVAR-10, Run: 020, F, 0, 196, 0
INVAR-10, Run: 021, F, 0, 0, 212
INVAR-10, Run: 022, F, 0, 228, 0
INVAR-10, Run: 023, F, 0, 0, 172
INVAR-10, Run: 024, F, 0, 198, 0
INVAR-10, Run: 025, F, 0, 0, 204
INVAR-10, Run: 026, F, 0, 0, 214
INVAR-10, Run: 027, F, 0, 226, 0
INVAR-10, Run: 028, F, 0, 0, 184
INVAR-10, Run: 029, F, 0, 180, 0
INVAR-10, Run: 030, F, 0, 202, 0
INVAR-10, Run: 031, F, 0, 224, 0
INVAR-10, Run: 032, F, 1, 229, 0
INVAR-10, Run: 033, F, 0, 240, 0
INVAR-10, Run: 034, F, 0, 238, 0
INVAR-10, Run: 035, F, 0, 0, 240
INVAR-10, Run: 036, F, 0, 210, 0
INVAR-10, Run: 037, F, 0, 226, 0
INVAR-10, Run: 038, F, 0, 250, 0
INVAR-10, Run: 039, F, 0, 202, 0
INVAR-10, Run: 040, F, 0, 236, 0
INVAR-10, Run: 041, F, 0, 0, 190
INVAR-10, Run: 042, F, 0, 0, 212
INVAR-10, Run: 043, F, 0, 0, 192
INVAR-10, Run: 044, F, 0, 238, 0
INVAR-10, Run: 045, F, 0, 204, 0
INVAR-10, Run: 046, F, 0, 0, 222
INVAR-10, Run: 047, F, 0, 212, 0
INVAR-10, Run: 048, F, 0, 174, 0
INVAR-10, Run: 049, F, 0, 208, 0
INVAR-10, Run: 050, F, 0, 0, 254
INVAR-10, Run: 051, F, 0, 204, 0
INVAR-10, Run: 052, F, 0, 0, 272
INVAR-10, Run: 053, F, 0, 206, 0
INVAR-10, Run: 054, F, 0, 218, 0
INVAR-10, Run: 055, F, 0, 202, 0
INVAR-10, Run: 056, F, 0, 204, 0
INVAR-10, Run: 057, F, 0, 214, 0
INVAR-10, Run: 058, F, 0, 210, 0
INVAR-10, Run: 059, F, 0, 200, 0
INVAR-10, Run: 060, F, 0, 238, 0
INVAR-10, Run: 061, F, 0, 168, 0
INVAR-10, Run: 062, F, 0, 204, 0
INVAR-10, Run: 063, F, 0, 212, 0
INVAR-10, Run: 064, F, 0, 0, 180
INVAR-10, Run: 065, F, 0, 218, 0
INVAR-10, Run: 066, F, 0, 222, 0
INVAR-10, Run: 067, F, 0, 186, 0
INVAR-10, Run: 068, F, 0, 0, 264
INVAR-10, Run: 069, F, 0, 190, 0
INVAR-10, Run: 070, F, 0, 196, 0
INVAR-10, Run: 071, F, 0, 0, 236
INVAR-10, Run: 072, F, 0, 218, 0
INVAR-10, Run: 073, F, 0, 238, 0
INVAR-10, Run: 074, F, 0, 0, 178
INVAR-10, Run: 075, F, 0, 188, 0
INVAR-10, Run: 076, F, 0, 0, 220
INVAR-10, Run: 077, F, 0, 0, 216
INVAR-10, Run: 078, F, 0, 208, 0
INVAR-10, Run: 079, F, 0, 0, 192
INVAR-10, Run: 080, F, 0, 0, 186
INVAR-10, Run: 081, F, 0, 198, 0
INVAR-10, Run: 082, F, 0, 0, 224
INVAR-10, Run: 083, F, 0, 244, 0
INVAR-10, Run: 084, F, 0, 238, 0
INVAR-10, Run: 085, F, 0, 0, 216
INVAR-10, Run: 086, F, 0, 192, 0
INVAR-10, Run: 087, F, 0, 204, 0
INVAR-10, Run: 088, F, 0, 0, 210
INVAR-10, Run: 089, F, 0, 0, 174
