Input Number, Run_Number, Result@ 100, Y, B, X1, A, C, PO, D, CO, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 42, 13, 1, 2, 8, 1, 15, 18, 124, 8, 6, 111, 9, 4, 4, 8, 16, 18, 111, 55
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 34, 20, 1, 2, 8, 0, 22, 18, 133, 8, 6, 113, 9, 4, 4, 8, 20, 18, 220, 110
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 0, 9, 0, 6, 18, 101, 5, 5, 95, 9, 6, 2, 9, 12, 18, 146, 73
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0, 12, 18, 75, 1, 1, 63, 9, 6, 2, 9, 15, 18, 204, 102
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 12, 43, 1, 0, 9, 1, 43, 18, 105, 5, 5, 62, 9, 5, 3, 9, 30, 18, 249, 124
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 46, 9, 1, 0, 9, 1, 9, 18, 65, 8, 8, 56, 9, 7, 1, 9, 13, 18, 135, 67
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 42, 13, 1, 2, 8, 1, 15, 18, 85, 5, 3, 72, 9, 8, 0, 8, 16, 18, 99, 49
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 16, 38, 1, 0, 9, 0, 38, 18, 95, 9, 9, 57, 9, 3, 5, 9, 28, 18, 166, 83
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 44, 11, 1, 0, 9, 1, 11, 18, 101, 4, 4, 90, 9, 8, 0, 9, 14, 18, 205, 102
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 32, 23, 1, 0, 9, 1, 23, 18, 104, 11, 11, 81, 9, 6, 2, 9, 20, 18, 157, 78
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 48, 7, 1, 0, 9, 1, 7, 18, 69, 2, 2, 62, 9, 6, 2, 9, 12, 18, 83, 41
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 24, 30, 1, 0, 9, 0, 30, 18, 68, 5, 5, 38, 9, 6, 2, 9, 24, 18, 112, 56
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 0, 40, 15, 1, 0, 9, 1, 15, 18, 158, 10, 10, 143, 9, 6, 2, 9, 16, 18, 265, 132
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 34, 20, 1, 0, 9, 0, 20, 18, 86, 6, 6, 66, 9, 6, 2, 9, 19, 18, 156, 78
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 9, 0, 8, 18, 84, 6, 6, 76, 9, 7, 1, 9, 13, 18, 114, 57
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 0, 9, 0, 16, 18, 76, 4, 4, 60, 9, 5, 3, 9, 17, 18, 166, 83
