Input Number, Run_Number, Result@ 100, CO, X1, Y, H, M, PO, CE, D, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 18, 57, 6, 4, 1, 6, 12, 18, 24, 63
INVAR-1, Run: 002, F, 19, 0, 37, 1, 0, 1, 0, 4, 0, 0, 1, 9, 9, 1, 18, 4, 4, 0, 4, 9, 13, 1, 46
INVAR-1, Run: 003, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 20, 79, 6, 5, 1, 6, 13, 19, 20, 119
INVAR-1, Run: 004, F, 0, 0, 12, 0, 0, 0, 8, 0, 1, 46, 0, 2, 16, 11, 44, 8, 5, 2, 8, 16, 24, 19, 46
INVAR-1, Run: 005, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 7, 32, 7, 5, 1, 7, 14, 21, 14, 36
INVAR-1, Run: 006, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 17, 29, 5, 4, 1, 5, 11, 16, 17, 63
INVAR-1, Run: 007, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 1, 25, 6, 5, 0, 6, 12, 18, 7, 31
INVAR-1, Run: 008, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 5, 6, 6, 4, 2, 6, 13, 19, 5, 46
INVAR-1, Run: 009, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 7, 23, 6, 5, 0, 6, 12, 18, 13, 29
INVAR-1, Run: 010, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 22, 35, 6, 2, 3, 6, 12, 18, 28, 41
INVAR-1, Run: 011, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 11, 25, 7, 5, 1, 7, 14, 21, 18, 29
INVAR-1, Run: 012, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 14, 59, 5, 5, 0, 5, 11, 16, 14, 93
INVAR-1, Run: 013, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 10, 30, 6, 3, 2, 6, 12, 18, 16, 36
INVAR-1, Run: 014, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 1, 18, 6, 5, 0, 6, 12, 18, 7, 24
INVAR-1, Run: 015, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 10, 22, 6, 3, 3, 6, 13, 19, 10, 62
INVAR-1, Run: 016, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 4, 5, 5, 5, 0, 5, 11, 16, 4, 39
INVAR-1, Run: 017, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 7, 15, 7, 3, 3, 7, 14, 21, 14, 19
INVAR-1, Run: 018, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 13, 48, 5, 5, 0, 5, 11, 16, 13, 82
INVAR-1, Run: 019, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 9, 11, 5, 3, 2, 5, 11, 16, 9, 45
INVAR-1, Run: 020, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 15, 33, 5, 3, 2, 5, 11, 16, 15, 67
INVAR-1, Run: 021, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 4, 27, 5, 4, 1, 5, 11, 16, 4, 61
INVAR-1, Run: 022, F, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0, 8, 10, 3, 15, 5, 4, 0, 5, 10, 15, 8, 23
INVAR-1, Run: 023, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 5, 32, 5, 4, 1, 5, 11, 16, 5, 66
INVAR-1, Run: 024, F, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0, 8, 10, 4, 28, 5, 2, 2, 5, 10, 15, 9, 36
INVAR-1, Run: 025, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 3, 27, 5, 3, 2, 5, 11, 16, 3, 61
INVAR-1, Run: 026, F, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1, 3, 15, 11, 38, 7, 4, 3, 7, 15, 22, 11, 84
INVAR-1, Run: 027, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 12, 53, 6, 5, 1, 6, 13, 19, 12, 93
INVAR-1, Run: 028, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 27, 112, 6, 3, 3, 6, 13, 19, 27, 152
INVAR-1, Run: 029, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 2, 25, 6, 2, 3, 6, 12, 18, 8, 31
INVAR-1, Run: 030, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 11, 31, 6, 4, 1, 6, 12, 18, 17, 37
INVAR-1, Run: 031, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 8, 39, 6, 2, 3, 6, 12, 18, 14, 45
INVAR-1, Run: 032, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 14, 26, 5, 3, 2, 5, 11, 16, 14, 60
INVAR-1, Run: 033, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 9, 30, 7, 4, 2, 7, 14, 21, 16, 34
INVAR-1, Run: 034, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 10, 38, 6, 3, 3, 6, 13, 19, 10, 78
INVAR-1, Run: 035, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 18, 56, 6, 6, 0, 6, 13, 19, 18, 96
INVAR-1, Run: 036, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 4, 16, 5, 4, 1, 5, 11, 16, 4, 50
INVAR-1, Run: 037, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 9, 18, 5, 5, 0, 5, 11, 16, 9, 52
INVAR-1, Run: 038, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 1, 26, 6, 5, 0, 6, 12, 18, 7, 32
INVAR-1, Run: 039, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 31, 153, 5, 3, 2, 5, 11, 16, 31, 187
INVAR-1, Run: 040, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 10, 33, 6, 4, 1, 6, 12, 18, 16, 39
INVAR-1, Run: 041, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 12, 42, 6, 4, 2, 6, 13, 19, 12, 82
INVAR-1, Run: 042, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 14, 63, 6, 5, 0, 6, 12, 18, 20, 69
INVAR-1, Run: 043, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 6, 35, 6, 4, 1, 6, 12, 18, 12, 41
INVAR-1, Run: 044, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 16, 77, 5, 4, 1, 5, 11, 16, 16, 111
