Input Number, Run_Number, Result@ 100, CO, X1, Y, H, M, PO, CE, D, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 045, F, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1, 3, 15, 36, 149, 7, 2, 5, 7, 15, 22, 36, 195
INVAR-1, Run: 046, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 5, 58, 6, 5, 0, 6, 12, 18, 11, 64
INVAR-1, Run: 047, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 4, 27, 6, 2, 3, 6, 12, 18, 10, 33
INVAR-1, Run: 048, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 14, 13, 7, 4, 2, 7, 14, 21, 21, 17
INVAR-1, Run: 049, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 2, 8, 7, 3, 3, 7, 14, 21, 9, 12
INVAR-1, Run: 050, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 26, 123, 6, 5, 1, 6, 13, 19, 26, 163
INVAR-1, Run: 051, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 12, 35, 5, 5, 0, 5, 11, 16, 12, 69
INVAR-1, Run: 052, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 7, 21, 7, 4, 2, 7, 14, 21, 14, 25
INVAR-1, Run: 053, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 14, 53, 7, 2, 4, 7, 14, 21, 21, 57
INVAR-1, Run: 054, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 11, 39, 6, 3, 2, 6, 12, 18, 17, 45
INVAR-1, Run: 055, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 3, 11, 6, 5, 1, 6, 13, 19, 3, 51
INVAR-1, Run: 056, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 13, 53, 6, 4, 2, 6, 13, 19, 13, 93
INVAR-1, Run: 057, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 2, 8, 7, 4, 2, 7, 14, 21, 9, 12
INVAR-1, Run: 058, F, 19, 0, 37, 1, 0, 1, 0, 4, 0, 0, 1, 9, 9, 5, 8, 4, 4, 0, 4, 9, 13, 5, 36
INVAR-1, Run: 059, F, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1, 3, 15, 22, 39, 7, 6, 1, 7, 15, 22, 22, 85
INVAR-1, Run: 060, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 11, 27, 7, 4, 2, 7, 14, 21, 18, 31
INVAR-1, Run: 061, F, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0, 8, 10, 4, 26, 5, 4, 0, 5, 10, 15, 9, 34
INVAR-1, Run: 062, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 0, 4, 5, 4, 1, 5, 11, 16, 0, 38
INVAR-1, Run: 063, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 5, 29, 7, 5, 1, 7, 14, 21, 12, 33
INVAR-1, Run: 064, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 2, 23, 6, 3, 2, 6, 12, 18, 8, 29
INVAR-1, Run: 065, F, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0, 8, 10, 2, 14, 5, 3, 1, 5, 10, 15, 7, 22
INVAR-1, Run: 066, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 8, 28, 6, 4, 1, 6, 12, 18, 14, 34
INVAR-1, Run: 067, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 9, 39, 5, 4, 1, 5, 11, 16, 9, 73
INVAR-1, Run: 068, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 9, 45, 6, 4, 1, 6, 12, 18, 15, 51
INVAR-1, Run: 069, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 5, 20, 6, 4, 1, 6, 12, 18, 11, 26
INVAR-1, Run: 070, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 6, 9, 6, 3, 3, 6, 13, 19, 6, 49
INVAR-1, Run: 071, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 4, 30, 6, 3, 2, 6, 12, 18, 10, 36
INVAR-1, Run: 072, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 17, 31, 5, 3, 2, 5, 11, 16, 17, 65
INVAR-1, Run: 073, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 8, 33, 6, 3, 2, 6, 12, 18, 14, 39
INVAR-1, Run: 074, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 8, 26, 6, 4, 1, 6, 12, 18, 14, 32
INVAR-1, Run: 075, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 10, 29, 5, 4, 1, 5, 11, 16, 10, 63
INVAR-1, Run: 076, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 8, 19, 6, 3, 2, 6, 12, 18, 14, 25
INVAR-1, Run: 077, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 15, 79, 6, 4, 2, 6, 13, 19, 15, 119
INVAR-1, Run: 078, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 6, 17, 6, 4, 1, 6, 12, 18, 12, 23
INVAR-1, Run: 079, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 5, 39, 6, 2, 3, 6, 12, 18, 11, 45
INVAR-1, Run: 080, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 6, 37, 6, 4, 2, 6, 13, 19, 6, 77
INVAR-1, Run: 081, F, 0, 0, 12, 0, 0, 0, 8, 0, 1, 46, 0, 2, 16, 8, 35, 8, 4, 3, 8, 16, 24, 16, 37
INVAR-1, Run: 082, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 18, 83, 5, 3, 2, 5, 11, 16, 18, 117
INVAR-1, Run: 083, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 13, 49, 6, 2, 4, 6, 13, 19, 13, 89
INVAR-1, Run: 084, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 5, 7, 6, 4, 1, 6, 12, 18, 11, 13
INVAR-1, Run: 085, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 11, 25, 7, 5, 1, 7, 14, 21, 18, 29
INVAR-1, Run: 086, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 6, 22, 5, 2, 3, 5, 11, 16, 6, 56
INVAR-1, Run: 087, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 9, 41, 6, 6, 0, 6, 13, 19, 9, 81
INVAR-1, Run: 088, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 10, 14, 6, 4, 1, 6, 12, 18, 16, 20
INVAR-1, Run: 089, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 6, 12, 5, 3, 2, 5, 11, 16, 6, 46
INVAR-1, Run: 090, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 22, 44, 6, 4, 2, 6, 13, 19, 22, 84
INVAR-1, Run: 091, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 10, 43, 6, 4, 2, 6, 13, 19, 10, 83
INVAR-1, Run: 092, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 12, 19, 5, 4, 1, 5, 11, 16, 12, 53
INVAR-1, Run: 093, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 3, 19, 6, 5, 1, 6, 13, 19, 3, 59
INVAR-1, Run: 094, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 2, 13, 5, 3, 2, 5, 11, 16, 2, 47
INVAR-1, Run: 095, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 10, 32, 5, 5, 0, 5, 11, 16, 10, 66
INVAR-1, Run: 096, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 5, 18, 5, 4, 1, 5, 11, 16, 5, 52
INVAR-1, Run: 097, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 3, 12, 6, 3, 2, 6, 12, 18, 9, 18
INVAR-1, Run: 098, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 13, 30, 6, 5, 1, 6, 13, 19, 13, 70
INVAR-1, Run: 099, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 3, 21, 6, 2, 3, 6, 12, 18, 9, 27
INVAR-1, Run: 100, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 5, 12, 5, 4, 1, 5, 11, 16, 5, 46
INVAR-10, Run: 001, F, 285, 0, 443, 1, 0, 1, 0, 60, 0, 0, 1, 79, 121, 522, 1775, 60, 39, 21, 60, 121, 181, 522, 2139
INVAR-10, Run: 002, F, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1, 75, 125, 338, 676, 62, 39, 23, 62, 125, 187, 338, 1052
INVAR-10, Run: 003, F, 269, 0, 435, 1, 0, 1, 0, 58, 0, 0, 1, 83, 117, 583, 1997, 58, 42, 16, 58, 117, 175, 583, 2349
INVAR-10, Run: 004, F, 317, 0, 459, 1, 0, 1, 0, 64, 0, 0, 1, 71, 129, 342, 1088, 64, 37, 27, 64, 129, 193, 342, 1476
INVAR-10, Run: 005, F, 293, 0, 447, 1, 0, 1, 0, 61, 0, 0, 1, 77, 123, 303, 717, 61, 35, 26, 61, 123, 184, 303, 1087
INVAR-10, Run: 006, F, 285, 0, 443, 1, 0, 1, 0, 60, 0, 0, 1, 79, 121, 290, 597, 60, 41, 19, 60, 121, 181, 290, 961
INVAR-10, Run: 007, F, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1, 75, 125, 549, 1540, 62, 41, 21, 62, 125, 187, 549, 1916
INVAR-10, Run: 008, F, 261, 0, 431, 1, 0, 1, 0, 57, 0, 0, 1, 85, 115, 315, 655, 57, 26, 31, 57, 115, 172, 315, 1001
INVAR-10, Run: 009, F, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1, 75, 125, 495, 1385, 62, 42, 20, 62, 125, 187, 495, 1761
INVAR-10, Run: 010, F, 349, 0, 475, 1, 0, 1, 0, 68, 0, 0, 1, 63, 137, 458, 715, 68, 36, 32, 68, 137, 205, 458, 1127
INVAR-10, Run: 011, F, 325, 0, 463, 1, 0, 1, 0, 65, 0, 0, 1, 69, 131, 430, 968, 65, 32, 33, 65, 131, 196, 430, 1362
INVAR-10, Run: 012, F, 277, 0, 439, 1, 0, 1, 0, 59, 0, 0, 1, 81, 119, 377, 831, 59, 37, 22, 59, 119, 178, 377, 1189
INVAR-10, Run: 013, F, 0, 0, 220, 0, 0, 0, 60, 0, 1, 280, 0, 80, 120, 235, 643, 60, 32, 27, 60, 120, 180, 295, 723
INVAR-10, Run: 014, F, 237, 0, 419, 1, 0, 1, 0, 54, 0, 0, 1, 91, 109, 238, 591, 54, 42, 12, 54, 109, 163, 238, 919
INVAR-10, Run: 015, F, 237, 0, 419, 1, 0, 1, 0, 54, 0, 0, 1, 91, 109, 214, 659, 54, 32, 22, 54, 109, 163, 214, 987
INVAR-10, Run: 016, F, 277, 0, 439, 1, 0, 1, 0, 59, 0, 0, 1, 81, 119, 264, 535, 59, 36, 23, 59, 119, 178, 264, 893
INVAR-10, Run: 017, F, 285, 0, 443, 1, 0, 1, 0, 60, 0, 0, 1, 79, 121, 335, 1068, 60, 36, 24, 60, 121, 181, 335, 1432
INVAR-10, Run: 018, F, 269, 0, 435, 1, 0, 1, 0, 58, 0, 0, 1, 83, 117, 273, 657, 58, 34, 24, 58, 117, 175, 273, 1009
INVAR-10, Run: 019, F, 0, 0, 217, 0, 0, 0, 61, 0, 1, 288, 0, 78, 122, 306, 908, 61, 41, 19, 61, 122, 183, 367, 986
INVAR-10, Run: 020, F, 0, 0, 223, 0, 0, 0, 59, 0, 1, 272, 0, 82, 118, 292, 643, 59, 41, 17, 59, 118, 177, 351, 725
INVAR-10, Run: 021, F, 309, 0, 455, 1, 0, 1, 0, 63, 0, 0, 1, 73, 127, 539, 1717, 63, 39, 24, 63, 127, 190, 539, 2099
INVAR-10, Run: 022, F, 285, 0, 443, 1, 0, 1, 0, 60, 0, 0, 1, 79, 121, 429, 1326, 60, 38, 22, 60, 121, 181, 429, 1690
INVAR-10, Run: 023, F, 0, 0, 223, 0, 0, 0, 59, 0, 1, 272, 0, 82, 118, 300, 756, 59, 40, 18, 59, 118, 177, 359, 838
INVAR-10, Run: 024, F, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1, 75, 125, 427, 919, 62, 40, 22, 62, 125, 187, 427, 1295
INVAR-10, Run: 025, F, 0, 0, 211, 0, 0, 0, 63, 0, 1, 304, 0, 74, 126, 258, 546, 63, 35, 27, 63, 126, 189, 321, 620
INVAR-10, Run: 026, F, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1, 75, 125, 394, 1059, 62, 42, 20, 62, 125, 187, 394, 1435
INVAR-10, Run: 027, F, 0, 0, 223, 0, 0, 0, 59, 0, 1, 272, 0, 82, 118, 256, 805, 59, 38, 20, 59, 118, 177, 315, 887
INVAR-10, Run: 028, F, 293, 0, 447, 1, 0, 1, 0, 61, 0, 0, 1, 77, 123, 240, 428, 61, 45, 16, 61, 123, 184, 240, 798
INVAR-10, Run: 029, F, 0, 0, 232, 0, 0, 0, 56, 0, 1, 248, 0, 88, 112, 232, 606, 56, 33, 22, 56, 112, 168, 288, 694
INVAR-10, Run: 030, F, 325, 0, 463, 1, 0, 1, 0, 65, 0, 0, 1, 69, 131, 414, 909, 65, 42, 23, 65, 131, 196, 414, 1303
INVAR-10, Run: 031, F, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1, 75, 125, 333, 1004, 62, 37, 25, 62, 125, 187, 333, 1380
INVAR-10, Run: 032, F, 0, 0, 214, 0, 0, 0, 62, 0, 1, 296, 0, 76, 124, 271, 743, 62, 40, 21, 62, 124, 186, 333, 819
INVAR-10, Run: 033, F, 0, 0, 214, 0, 0, 0, 62, 0, 1, 296, 0, 76, 124, 241, 583, 62, 34, 27, 62, 124, 186, 303, 659
INVAR-10, Run: 034, F, 0, 0, 214, 0, 0, 0, 62, 0, 1, 296, 0, 76, 124, 375, 1159, 62, 33, 28, 62, 124, 186, 437, 1235
INVAR-10, Run: 035, F, 277, 0, 439, 1, 0, 1, 0, 59, 0, 0, 1, 81, 119, 325, 604, 59, 37, 22, 59, 119, 178, 325, 962
INVAR-10, Run: 036, F, 333, 0, 467, 1, 0, 1, 0, 66, 0, 0, 1, 67, 133, 400, 955, 66, 41, 25, 66, 133, 199, 400, 1355
INVAR-10, Run: 037, F, 0, 0, 211, 0, 0, 0, 63, 0, 1, 304, 0, 74, 126, 226, 866, 63, 38, 24, 63, 126, 189, 289, 940
INVAR-10, Run: 038, F, 229, 0, 415, 1, 0, 1, 0, 53, 0, 0, 1, 93, 107, 262, 912, 53, 38, 15, 53, 107, 160, 262, 1234
INVAR-10, Run: 039, F, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1, 75, 125, 448, 1589, 62, 45, 17, 62, 125, 187, 448, 1965
INVAR-10, Run: 040, F, 285, 0, 443, 1, 0, 1, 0, 60, 0, 0, 1, 79, 121, 283, 696, 60, 35, 25, 60, 121, 181, 283, 1060
INVAR-10, Run: 041, F, 0, 0, 208, 0, 0, 0, 64, 0, 1, 312, 0, 72, 128, 339, 560, 64, 35, 28, 64, 128, 192, 403, 632
INVAR-10, Run: 042, F, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1, 75, 125, 257, 471, 62, 38, 24, 62, 125, 187, 257, 847
INVAR-10, Run: 043, F, 0, 0, 205, 0, 0, 0, 65, 0, 1, 320, 0, 70, 130, 321, 716, 65, 37, 27, 65, 130, 195, 386, 786
INVAR-10, Run: 044, F, 0, 0, 226, 0, 0, 0, 58, 0, 1, 264, 0, 84, 116, 166, 504, 58, 39, 18, 58, 116, 174, 224, 588
INVAR-10, Run: 045, F, 0, 0, 223, 0, 0, 0, 59, 0, 1, 272, 0, 82, 118, 182, 514, 59, 38, 20, 59, 118, 177, 241, 596
INVAR-10, Run: 046, F, 0, 0, 223, 0, 0, 0, 59, 0, 1, 272, 0, 82, 118, 195, 466, 59, 35, 23, 59, 118, 177, 254, 548
INVAR-10, Run: 047, F, 285, 0, 443, 1, 0, 1, 0, 60, 0, 0, 1, 79, 121, 292, 570, 60, 34, 26, 60, 121, 181, 292, 934
INVAR-10, Run: 048, F, 293, 0, 447, 1, 0, 1, 0, 61, 0, 0, 1, 77, 123, 405, 786, 61, 36, 25, 61, 123, 184, 405, 1156
INVAR-10, Run: 049, F, 269, 0, 435, 1, 0, 1, 0, 58, 0, 0, 1, 83, 117, 236, 446, 58, 37, 21, 58, 117, 175, 236, 798
INVAR-10, Run: 050, F, 277, 0, 439, 1, 0, 1, 0, 59, 0, 0, 1, 81, 119, 300, 513, 59, 34, 25, 59, 119, 178, 300, 871
INVAR-10, Run: 051, F, 221, 0, 411, 1, 0, 1, 0, 52, 0, 0, 1, 95, 105, 165, 315, 52, 29, 23, 52, 105, 157, 165, 631
INVAR-10, Run: 052, F, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1, 75, 125, 456, 1055, 62, 43, 19, 62, 125, 187, 456, 1431
INVAR-10, Run: 053, F, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1, 75, 125, 285, 912, 62, 32, 30, 62, 125, 187, 285, 1288
INVAR-10, Run: 054, F, 0, 0, 226, 0, 0, 0, 58, 0, 1, 264, 0, 84, 116, 231, 815, 58, 44, 13, 58, 116, 174, 289, 899
INVAR-10, Run: 055, F, 0, 0, 217, 0, 0, 0, 61, 0, 1, 288, 0, 78, 122, 357, 1109, 61, 42, 18, 61, 122, 183, 418, 1187
INVAR-10, Run: 056, F, 0, 0, 217, 0, 0, 0, 61, 0, 1, 288, 0, 78, 122, 240, 711, 61, 34, 26, 61, 122, 183, 301, 789
INVAR-10, Run: 057, F, 0, 0, 217, 0, 0, 0, 61, 0, 1, 288, 0, 78, 122, 230, 566, 61, 36, 24, 61, 122, 183, 291, 644
INVAR-10, Run: 058, F, 0, 0, 208, 0, 0, 0, 64, 0, 1, 312, 0, 72, 128, 309, 557, 64, 38, 25, 64, 128, 192, 373, 629
INVAR-10, Run: 059, F, 261, 0, 431, 1, 0, 1, 0, 57, 0, 0, 1, 85, 115, 209, 521, 57, 38, 19, 57, 115, 172, 209, 867
INVAR-10, Run: 060, F, 253, 0, 427, 1, 0, 1, 0, 56, 0, 0, 1, 87, 113, 363, 1336, 56, 32, 24, 56, 113, 169, 363, 1676
INVAR-10, Run: 061, F, 0, 0, 223, 0, 0, 0, 59, 0, 1, 272, 0, 82, 118, 204, 646, 59, 41, 17, 59, 118, 177, 263, 728
INVAR-10, Run: 062, F, 0, 0, 211, 0, 0, 0, 63, 0, 1, 304, 0, 74, 126, 257, 710, 63, 42, 20, 63, 126, 189, 320, 784
INVAR-10, Run: 063, F, 341, 0, 471, 1, 0, 1, 0, 67, 0, 0, 1, 65, 135, 364, 973, 67, 40, 27, 67, 135, 202, 364, 1379
