Input Number, Run_Number, Result@ 100, PE, X1, M, Y, H, PO, CE, D, CO, A, B
1, Run: 001, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 002, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 003, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 004, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
1, Run: 005, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 006, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 007, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 008, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 009, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 010, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 011, P, 1, 0, 0, 10, 0, 0, 8, 0, 0, 54, 0
1, Run: 012, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 013, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 014, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 015, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 016, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 017, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 018, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 019, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
1, Run: 020, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 021, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 022, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 023, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 024, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 025, F, 0, 0, 0, 15, 0, 0, 0, 6, 9, 45, 0
1, Run: 026, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 027, F, 0, 0, 0, 12, 0, 0, 6, 0, 0, 54, 0
1, Run: 028, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 029, F, 0, 0, 0, 9, 0, 0, 3, 3, 0, 54, 0
1, Run: 030, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 031, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 032, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 033, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 034, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 035, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 036, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
1, Run: 037, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 038, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 039, F, 0, 0, 0, 10, 0, 0, 6, 1, 0, 54, 0
1, Run: 040, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 041, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 042, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
1, Run: 043, P, 1, 0, 0, 10, 0, 0, 8, 0, 0, 54, 0
1, Run: 044, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
1, Run: 045, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 046, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
1, Run: 047, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 048, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 049, F, 0, 0, 0, 7, 0, 0, 1, 5, 0, 54, 0
1, Run: 050, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 051, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 052, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 053, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 054, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 055, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
1, Run: 056, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 057, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 058, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 059, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 060, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 061, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 062, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 063, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 064, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 065, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 066, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 067, F, 0, 0, 0, 6, 0, 0, 2, 5, 0, 54, 0
1, Run: 068, F, 0, 0, 0, 13, 0, 0, 0, 6, 7, 47, 0
1, Run: 069, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 070, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 071, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
1, Run: 072, F, 0, 0, 0, 9, 0, 0, 5, 2, 0, 54, 0
1, Run: 073, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
1, Run: 074, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 075, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 076, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 077, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 078, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 079, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 080, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 081, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 082, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 083, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 084, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
1, Run: 085, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 086, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 087, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
1, Run: 088, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 089, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 090, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 091, F, 0, 0, 0, 7, 0, 0, 3, 4, 0, 54, 0
1, Run: 092, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 093, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 094, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 095, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 096, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
1, Run: 097, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 098, F, 0, 0, 0, 12, 0, 0, 6, 0, 0, 54, 0
1, Run: 099, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
1, Run: 100, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
10, Run: 001, F, 0, 0, 0, 81, 0, 0, 19, 50, 0, 600, 0
10, Run: 002, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 003, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 004, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 005, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
10, Run: 006, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 007, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 008, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 009, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 010, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 011, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 012, P, 1, 0, 0, 132, 0, 0, 68, 0, 0, 600, 0
10, Run: 013, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
