Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 26, 0, 0, 0, 0, 0, 0, 0, 32, 9, 16, 6, 18, 4, 68, 9, 2, 1, 9, 18, 30, 4, 100
INVAR-1, Run: 002, F, 17, 0, 1, 0, 0, 0, 0, 0, 22, 9, 28, 5, 18, 5, 36, 9, 4, 0, 9, 18, 29, 5, 58
INVAR-1, Run: 003, F, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46, 4, 18, 9, 46, 9, 2, 2, 9, 18, 29, 18, 50
INVAR-1, Run: 004, F, 25, 0, 1, 0, 0, 0, 0, 0, 30, 9, 20, 5, 18, 8, 55, 9, 3, 1, 9, 18, 29, 8, 85
INVAR-1, Run: 005, F, 38, 0, 1, 0, 0, 0, 0, 0, 45, 9, 3, 7, 18, 1, 43, 9, 2, 0, 9, 18, 30, 1, 88
INVAR-1, Run: 006, F, 7, 0, 0, 0, 0, 0, 0, 0, 13, 9, 35, 6, 18, 9, 28, 9, 1, 2, 9, 18, 30, 9, 41
INVAR-1, Run: 007, F, 23, 0, 0, 0, 0, 0, 0, 0, 29, 9, 19, 6, 18, 4, 47, 9, 3, 0, 9, 18, 30, 4, 76
INVAR-1, Run: 008, F, 26, 0, 1, 0, 0, 0, 0, 0, 31, 9, 19, 5, 18, 2, 21, 9, 3, 1, 9, 18, 29, 2, 52
INVAR-1, Run: 009, F, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49, 3, 18, 4, 43, 9, 5, 0, 9, 18, 28, 13, 46
INVAR-1, Run: 010, F, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46, 4, 18, 9, 63, 9, 4, 0, 9, 18, 29, 18, 67
INVAR-1, Run: 011, F, 1, 0, 1, 0, 0, 0, 0, 3, 9, 6, 44, 5, 18, 5, 69, 9, 3, 1, 9, 18, 29, 8, 75
INVAR-1, Run: 012, F, 8, 0, 0, 0, 0, 0, 0, 0, 14, 9, 34, 6, 18, 5, 22, 9, 3, 0, 9, 18, 30, 5, 36
INVAR-1, Run: 013, F, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45, 5, 18, 11, 82, 9, 1, 2, 9, 18, 29, 20, 87
