Input Number, Run_Number, Result@ 100, CE, B, PE, X1, H, M, PO, Y, D, CO, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 6, 128, 9, 4, 13, 9, 18, 31, 15, 128
INVAR-1, Run: 002, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 13, 61, 9, 5, 12, 9, 18, 31, 22, 61
INVAR-1, Run: 003, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 8, 78, 9, 7, 10, 9, 18, 31, 17, 78
INVAR-1, Run: 004, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 11, 62, 9, 3, 14, 9, 18, 31, 20, 62
INVAR-1, Run: 005, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 7, 60, 9, 6, 11, 9, 18, 31, 16, 60
INVAR-1, Run: 006, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 15, 88, 9, 6, 11, 9, 18, 31, 24, 88
INVAR-1, Run: 007, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 9, 84, 9, 6, 11, 9, 18, 31, 18, 84
INVAR-1, Run: 008, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 17, 110, 9, 3, 14, 9, 18, 31, 26, 110
INVAR-1, Run: 009, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 14, 107, 9, 7, 10, 9, 18, 31, 23, 107
INVAR-1, Run: 010, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 15, 71, 9, 3, 14, 9, 18, 31, 24, 71
INVAR-1, Run: 011, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 18, 73, 9, 5, 12, 9, 18, 31, 27, 73
INVAR-1, Run: 012, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 17, 84, 9, 4, 13, 9, 18, 31, 26, 84
INVAR-1, Run: 013, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 19, 196, 9, 6, 11, 9, 18, 31, 28, 196
INVAR-1, Run: 014, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 37, 250, 9, 7, 10, 9, 18, 31, 46, 250
INVAR-1, Run: 015, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 6, 49, 9, 5, 12, 9, 18, 31, 15, 49
INVAR-1, Run: 016, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 8, 62, 9, 6, 11, 9, 18, 31, 17, 62
INVAR-1, Run: 017, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 13, 156, 9, 9, 8, 9, 18, 31, 22, 156
INVAR-1, Run: 018, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 17, 100, 9, 4, 13, 9, 18, 31, 26, 100
INVAR-1, Run: 019, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 17, 103, 9, 4, 13, 9, 18, 31, 26, 103
INVAR-1, Run: 020, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 15, 60, 9, 3, 14, 9, 18, 31, 24, 60
INVAR-1, Run: 021, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 14, 129, 9, 5, 12, 9, 18, 31, 23, 129
INVAR-1, Run: 022, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 16, 127, 9, 5, 12, 9, 18, 31, 25, 127
INVAR-1, Run: 023, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 8, 77, 9, 6, 11, 9, 18, 31, 17, 77
INVAR-1, Run: 024, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 14, 114, 9, 7, 10, 9, 18, 31, 23, 114
INVAR-1, Run: 025, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 12, 63, 9, 6, 11, 9, 18, 31, 21, 63
INVAR-1, Run: 026, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 10, 80, 9, 5, 12, 9, 18, 31, 19, 80
INVAR-1, Run: 027, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 23, 117, 9, 6, 11, 9, 18, 31, 32, 117
INVAR-1, Run: 028, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 15, 77, 9, 6, 11, 9, 18, 31, 24, 77
INVAR-1, Run: 029, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 9, 68, 9, 5, 12, 9, 18, 31, 18, 68
INVAR-1, Run: 030, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 23, 100, 9, 4, 13, 9, 18, 31, 32, 100
INVAR-1, Run: 031, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 13, 99, 9, 6, 11, 9, 18, 31, 22, 99
INVAR-1, Run: 032, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 17, 137, 9, 6, 11, 9, 18, 31, 26, 137
INVAR-1, Run: 033, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 18, 114, 9, 5, 12, 9, 18, 31, 27, 114
INVAR-1, Run: 034, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 12, 83, 9, 7, 10, 9, 18, 31, 21, 83
INVAR-1, Run: 035, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 7, 49, 9, 5, 12, 9, 18, 31, 16, 49
INVAR-1, Run: 036, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 23, 123, 9, 7, 10, 9, 18, 31, 32, 123
INVAR-1, Run: 037, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 20, 137, 9, 3, 14, 9, 18, 31, 29, 137
INVAR-1, Run: 038, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 25, 171, 9, 8, 9, 9, 18, 31, 34, 171
INVAR-1, Run: 039, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 12, 113, 9, 7, 10, 9, 18, 31, 21, 113
INVAR-1, Run: 040, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 12, 69, 9, 8, 9, 9, 18, 31, 21, 69
INVAR-1, Run: 041, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 13, 94, 9, 6, 11, 9, 18, 31, 22, 94
INVAR-1, Run: 042, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 13, 134, 9, 7, 10, 9, 18, 31, 22, 134
INVAR-1, Run: 043, F, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 10, 72, 9, 8, 9, 9, 18, 31, 19, 72
