Input Number, Run_Number, Result@ 100, PE, X1, M, Y, H, PO, CE, D, CO, A, B
INVAR-1, Run: 001, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 002, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
INVAR-1, Run: 003, P, 0, 0, 0, 10, 0, 0, 6, 1, 0, 54, 0
INVAR-1, Run: 004, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 005, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 006, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 007, P, 0, 0, 0, 3, 0, 0, 0, 8, 1, 53, 0
INVAR-1, Run: 008, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 009, P, 0, 0, 0, 7, 0, 0, 1, 5, 0, 54, 0
INVAR-1, Run: 010, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 011, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 012, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 013, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 014, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 015, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 016, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 017, P, 0, 0, 0, 7, 0, 0, 3, 4, 0, 54, 0
INVAR-1, Run: 018, P, 1, 0, 0, 10, 0, 0, 8, 0, 0, 54, 0
INVAR-1, Run: 019, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 020, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
INVAR-1, Run: 021, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 022, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 023, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
INVAR-1, Run: 024, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 025, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 026, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 027, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 028, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
INVAR-1, Run: 029, P, 0, 0, 0, 8, 0, 0, 0, 7, 4, 50, 0
INVAR-1, Run: 030, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 031, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 032, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 033, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 034, P, 0, 0, 0, 10, 0, 0, 0, 7, 6, 48, 0
INVAR-1, Run: 035, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
INVAR-1, Run: 036, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
INVAR-1, Run: 037, P, 0, 0, 0, 6, 0, 0, 0, 6, 0, 54, 0
INVAR-1, Run: 038, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 039, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 040, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 041, P, 0, 0, 0, 8, 0, 0, 2, 4, 0, 54, 0
INVAR-1, Run: 042, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 043, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 044, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 045, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 046, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 047, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 048, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
INVAR-1, Run: 049, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 050, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
INVAR-1, Run: 051, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 052, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 053, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 054, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
INVAR-1, Run: 055, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 056, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 057, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 058, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 059, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 060, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 061, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 062, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
INVAR-1, Run: 063, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 064, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
INVAR-1, Run: 065, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 066, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 067, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0
INVAR-1, Run: 068, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 069, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 070, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
INVAR-1, Run: 071, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0
INVAR-1, Run: 072, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0
