Input Number, Run_Number, Result@ 100, E, X1, F, A, B, C, PO, D, CO, Y, PE, CE, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 13, 5, 3, 13, 7, 3, 3, 6, 9, 14, 44, 24
INVAR-1, Run: 002, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 111, 2, 2, 77, 6, 4, 2, 6, 9, 13, 79, 42
INVAR-1, Run: 003, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 69, 5, 5, 35, 6, 6, 0, 6, 9, 13, 93, 49
INVAR-1, Run: 004, F, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 39, 10, 8, 39, 7, 2, 4, 6, 9, 14, 40, 22
INVAR-1, Run: 005, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 72, 4, 4, 38, 6, 4, 2, 6, 9, 13, 73, 39
INVAR-1, Run: 006, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 91, 8, 8, 57, 6, 6, 0, 6, 9, 13, 93, 49
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 37, 3, 3, 37, 6, 4, 1, 6, 9, 12, 136, 71
INVAR-1, Run: 008, F, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 17, 9, 9, 17, 7, 0, 6, 7, 9, 14, 24, 14
INVAR-1, Run: 009, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 160, 4, 4, 126, 6, 5, 1, 6, 9, 13, 121, 63
INVAR-1, Run: 010, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 60, 2, 2, 26, 6, 5, 1, 6, 9, 13, 21, 13
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 22, 5, 5, 22, 6, 5, 0, 6, 9, 12, 42, 24
INVAR-1, Run: 012, F, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 17, 2, 2, 17, 7, 3, 3, 7, 9, 14, 394, 199
INVAR-1, Run: 013, F, 1, 0, 1, 1, 1, 0, 1, 0, 35, 35, 0, 0, 5, 13, 55, 3, 3, 20, 6, 3, 3, 6, 8, 13, 58, 31
INVAR-1, Run: 014, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 56, 3, 3, 22, 6, 4, 2, 6, 9, 13, 13, 9
INVAR-1, Run: 015, F, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 57, 6, 6, 23, 6, 6, 0, 6, 9, 13, 11, 8
