Input Number, Run_Number, Result@ 100, ak, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 9, 0, 0, 9, 0, 0, 18, 3, 19, 4, 1, 1, 15, 3, 0, 3, 2, 7, 3, 1, 1, 0, 0, 0, 0, 19, 3, 20, 4, 1, 0, 0, 13, 0, 22, 6, 22, 6, 0, 16, 2, 0, 0, 5, 0, 3, 1, 1, 1, 1, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 9, 0, 0, 9, 0, 0, 13, 3, 14, 4, 0, 1, 15, 3, 0, 22, 3, 26, 4, 1, 1, 0, 0, 0, 0, 18, 6, 19, 7, 1, 0, 0, 11, 0, 1, 2, 2, 3, 1, 15, 3, 0, 1, 3, 0, 5, 1, 1, 1, 1, 1, 1, 0, 0, 12, 0, 28, 1, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 6, 0, 0, 0, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, P, 0, 16, 0, 1, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 16, 17, 7, 2, 0, 8, 0, 0, 3, 1, 6, 2, 1, 1, 16, 0, 0, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 10, 0, 9, 4, 10, 5, 1, 14, 1, 1, 3, 2, 0, 6, 2, 1, 1, 1, 1, 1, 0, 0, 12, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 22, 2, 0, 0, 0, 0, 22, 9, 25, 1, 10, 1
INVAR-1, Run: 004, P, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 8, 1, 0, 7, 2, 0, 5, 0, 9, 1, 0, 1, 17, 0, 1, 21, 3, 23, 5, 1, 1, 0, 0, 0, 0, 7, 2, 8, 3, 1, 0, 0, 39, 0, 1, 2, 2, 3, 1, 17, 1, 0, 13, 7, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 9, 0, 0, 8, 1, 0, 8, 3, 10, 4, 1, 1, 16, 2, 0, 22, 3, 25, 4, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 17, 0, 4, 1, 5, 2, 1, 16, 2, 0, 10, 9, 1, 13, 2, 1, 1, 1, 1, 1, 0, 0, 19, 0, 24, 1, 0, 0, 0, 0, 0, 0, 0, 10, 8, 2, 9, 2, 0, 0, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, P, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 17, 8, 1, 0, 7, 2, 0, 4, 0, 8, 1, 1, 1, 16, 2, 0, 4, 1, 7, 2, 1, 1, 0, 0, 0, 0, 3, 0, 4, 1, 1, 0, 0, 16, 0, 0, 0, 1, 1, 1, 16, 2, 0, 7, 4, 1, 10, 2, 1, 1, 1, 1, 1, 0, 0, 18, 0, 30, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 1, 1, 0, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 13, 0, 0, 5, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 9, 0, 0, 9, 0, 0, 57, 15, 58, 16, 1, 1, 13, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 15, 1, 16, 2, 1, 0, 0, 8, 0, 45, 7, 46, 8, 1, 13, 0, 0, 11, 2, 3, 12, 4, 1, 1, 1, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, P, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 16, 8, 1, 0, 8, 1, 0, 8, 4, 11, 5, 2, 1, 13, 5, 0, 8, 1, 14, 2, 1, 1, 0, 0, 0, 0, 2, 0, 3, 1, 1, 0, 0, 34, 0, 17, 1, 18, 2, 1, 15, 2, 1, 20, 6, 4, 24, 6, 1, 1, 1, 1, 1, 0, 0, 37, 0, 22, 2, 0, 0, 0, 0, 0, 0, 0, 7, 2, 0, 5, 1, 1, 0, 0, 0, 31, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, P, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 15, 8, 1, 0, 9, 0, 0, 8, 2, 10, 3, 3, 1, 16, 2, 0, 3, 1, 6, 2, 1, 1, 0, 0, 0, 0, 3, 2, 4, 3, 1, 0, 0, 21, 0, 8, 4, 9, 5, 1, 17, 1, 0, 20, 6, 5, 22, 6, 1, 1, 1, 1, 1, 0, 0, 25, 0, 25, 2, 0, 0, 0, 0, 0, 0, 0, 7, 11, 0, 14, 1, 1, 0, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, P, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 14, 9, 0, 0, 7, 1, 1, 12, 2, 15, 4, 4, 1, 17, 1, 0, 10, 1, 12, 2, 1, 1, 0, 0, 0, 0, 9, 1, 10, 2, 1, 0, 0, 16, 0, 8, 3, 9, 4, 1, 17, 1, 0, 3, 1, 1, 5, 2, 1, 1, 1, 1, 1, 0, 0, 21, 0, 25, 3, 1, 0, 0, 0, 0, 0, 0, 2, 6, 1, 11, 3, 1, 0, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
