Input Number, Run_Number, Result@ 100, V, Y, X
1, Run: 001, F, 0, 0, 2
1, Run: 002, P, 5, 0, 0
1, Run: 003, F, 0, 0, 1
1, Run: 004, P, 12, 0, 0
1, Run: 005, F, 0, 0, 1
1, Run: 006, P, 12, 0, 0
1, Run: 007, P, 8, 0, 0
1, Run: 008, P, 14, 0, 0
1, Run: 009, F, 0, 0, 2
1, Run: 010, F, 0, 0, 1
1, Run: 011, F, 0, 0, 1
1, Run: 012, P, 17, 0, 0
1, Run: 013, F, 0, 0, 2
1, Run: 014, P, 12, 0, 0
1, Run: 015, P, 8, 0, 0
1, Run: 016, F, 0, 0, 2
1, Run: 017, F, 0, 0, 1
1, Run: 018, P, 13, 0, 0
1, Run: 019, F, 0, 0, 1
1, Run: 020, P, 7, 0, 0
1, Run: 021, P, 12, 0, 0
1, Run: 022, F, 0, 0, 2
1, Run: 023, F, 0, 0, 2
1, Run: 024, F, 0, 0, 2
1, Run: 025, P, 12, 0, 0
1, Run: 026, F, 0, 0, 2
1, Run: 027, F, 0, 0, 1
1, Run: 028, F, 0, 0, 2
1, Run: 029, F, 0, 0, 1
1, Run: 030, P, 6, 0, 0
1, Run: 031, F, 0, 0, 1
1, Run: 032, P, 8, 0, 0
1, Run: 033, F, 0, 0, 2
1, Run: 034, P, 19, 0, 0
1, Run: 035, P, 8, 0, 0
1, Run: 036, F, 0, 0, 1
1, Run: 037, F, 0, 0, 1
1, Run: 038, F, 0, 0, 1
1, Run: 039, F, 0, 0, 2
1, Run: 040, P, 1, 0, 0
1, Run: 041, P, 11, 0, 0
1, Run: 042, F, 0, 0, 2
1, Run: 043, F, 0, 0, 2
1, Run: 044, F, 0, 0, 2
1, Run: 045, F, 0, 0, 2
1, Run: 046, F, 0, 0, 1
1, Run: 047, P, 8, 0, 0
1, Run: 048, F, 0, 0, 2
1, Run: 049, P, 7, 0, 0
1, Run: 050, P, 1, 0, 0
1, Run: 051, F, 0, 0, 1
1, Run: 052, F, 0, 0, 2
1, Run: 053, P, 8, 0, 0
1, Run: 054, F, 0, 0, 2
1, Run: 055, P, 3, 0, 0
1, Run: 056, P, 14, 0, 0
1, Run: 057, P, 12, 0, 0
1, Run: 058, P, 13, 0, 0
1, Run: 059, F, 0, 0, 2
1, Run: 060, P, 10, 0, 0
1, Run: 061, F, 0, 0, 2
1, Run: 062, F, 0, 0, 1
1, Run: 063, P, 14, 0, 0
1, Run: 064, P, 6, 0, 0
1, Run: 065, F, 0, 0, 2
1, Run: 066, P, 12, 0, 0
1, Run: 067, F, 0, 0, 2
1, Run: 068, F, 0, 0, 2
1, Run: 069, F, 0, 0, 2
1, Run: 070, P, 5, 0, 0
1, Run: 071, F, 0, 0, 2
1, Run: 072, F, 0, 0, 2
