Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B
INVAR-1, Run: 001, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
INVAR-1, Run: 002, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
INVAR-1, Run: 003, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
INVAR-1, Run: 004, F, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0
INVAR-1, Run: 005, F, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0
INVAR-1, Run: 006, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0
INVAR-1, Run: 007, F, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0
INVAR-1, Run: 008, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
INVAR-1, Run: 009, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
INVAR-1, Run: 010, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
INVAR-1, Run: 011, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
INVAR-1, Run: 012, F, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0
INVAR-1, Run: 013, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
INVAR-1, Run: 014, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
INVAR-1, Run: 015, F, 22, 0, 0, 0, 0, 0, 0, 25, 41, 1, 0
INVAR-1, Run: 016, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0
INVAR-1, Run: 017, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
INVAR-1, Run: 018, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
INVAR-1, Run: 019, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
INVAR-1, Run: 020, F, 22, 0, 0, 0, 0, 0, 0, 25, 41, 1, 0
INVAR-1, Run: 021, F, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
INVAR-1, Run: 022, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
INVAR-1, Run: 023, F, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0
INVAR-1, Run: 024, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
INVAR-1, Run: 025, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
INVAR-1, Run: 026, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
