Input Number, Run_Number, Result@ 100, X, Y, Z
1, Run: 001, F, 107, 0, 0
1, Run: 002, F, 94, 0, 0
1, Run: 003, F, 99, 0, 0
1, Run: 004, F, 113, 0, 0
1, Run: 005, F, 128, 0, 0
1, Run: 006, F, 85, 0, 0
1, Run: 007, F, 107, 0, 0
1, Run: 008, F, 96, 0, 0
1, Run: 009, F, 105, 0, 0
1, Run: 010, F, 100, 0, 0
1, Run: 011, F, 103, 0, 0
1, Run: 012, F, 95, 0, 0
1, Run: 013, F, 103, 0, 0
1, Run: 014, F, 75, 0, 0
1, Run: 015, F, 96, 0, 0
1, Run: 016, F, 88, 0, 0
1, Run: 017, F, 89, 0, 0
1, Run: 018, F, 100, 0, 0
1, Run: 019, F, 105, 0, 0
1, Run: 020, F, 96, 0, 0
1, Run: 021, F, 98, 0, 0
1, Run: 022, F, 114, 0, 0
1, Run: 023, F, 108, 0, 0
1, Run: 024, F, 97, 0, 0
1, Run: 025, F, 93, 0, 0
1, Run: 026, F, 102, 0, 0
1, Run: 027, F, 97, 0, 0
1, Run: 028, F, 94, 0, 0
1, Run: 029, F, 94, 0, 0
1, Run: 030, F, 90, 0, 0
1, Run: 031, F, 97, 0, 0
1, Run: 032, F, 97, 0, 0
1, Run: 033, F, 102, 0, 0
1, Run: 034, F, 89, 0, 0
1, Run: 035, F, 100, 0, 0
1, Run: 036, F, 93, 0, 0
1, Run: 037, F, 97, 0, 0
1, Run: 038, F, 124, 0, 0
1, Run: 039, F, 98, 0, 0
1, Run: 040, F, 105, 0, 0
1, Run: 041, F, 103, 0, 0
1, Run: 042, F, 82, 0, 0
1, Run: 043, F, 106, 0, 0
1, Run: 044, F, 100, 0, 0
1, Run: 045, F, 101, 0, 0
1, Run: 046, F, 83, 0, 0
1, Run: 047, F, 100, 0, 0
1, Run: 048, F, 99, 0, 0
1, Run: 049, F, 95, 0, 0
1, Run: 050, F, 98, 0, 0
1, Run: 051, F, 91, 0, 0
1, Run: 052, F, 124, 0, 0
1, Run: 053, F, 114, 0, 0
1, Run: 054, F, 94, 0, 0
1, Run: 055, F, 109, 0, 0
1, Run: 056, F, 101, 0, 0
1, Run: 057, F, 94, 0, 0
1, Run: 058, F, 90, 0, 0
1, Run: 059, F, 102, 0, 0
1, Run: 060, F, 98, 0, 0
1, Run: 061, F, 99, 0, 0
1, Run: 062, F, 109, 0, 0
1, Run: 063, F, 106, 0, 0
1, Run: 064, F, 113, 0, 0
1, Run: 065, F, 100, 0, 0
