Input Number, Run_Number, Result@ 100, E, PE, B, X1, A, C, PO, D, CO, Y, CE, F
1, Run: 069, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 070, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 071, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 072, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
1, Run: 073, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 074, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 075, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 076, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 077, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 078, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 079, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 080, P, 2, 0, 0, 0, 1, 0, 1, 0, 93, 93, 0, 0
1, Run: 081, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 082, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 083, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 084, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
1, Run: 085, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 086, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 087, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 088, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 089, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 090, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 091, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 092, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 093, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 094, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 095, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 096, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 097, P, 5, 0, 1, 0, 1, 0, 1, 0, 76, 76, 0, 1
1, Run: 098, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 099, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 100, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
10, Run: 001, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
10, Run: 002, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 003, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
10, Run: 004, P, 44, 0, 0, 0, 1, 0, 1, 0, 933, 933, 0, 0
10, Run: 005, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
10, Run: 006, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 007, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 008, P, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0
10, Run: 009, P, 39, 0, 1, 0, 1, 0, 1, 0, 964, 964, 0, 1
10, Run: 010, P, 43, 0, 0, 0, 1, 0, 1, 0, 939, 939, 0, 0
10, Run: 011, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
10, Run: 012, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 013, P, 38, 0, 1, 0, 1, 0, 1, 0, 970, 970, 0, 1
10, Run: 014, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
10, Run: 015, P, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0
10, Run: 016, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
10, Run: 017, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 018, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
10, Run: 019, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
10, Run: 020, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
10, Run: 021, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
10, Run: 022, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 023, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
10, Run: 024, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
10, Run: 025, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 026, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
10, Run: 027, P, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0
10, Run: 028, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 029, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
10, Run: 030, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
10, Run: 031, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
10, Run: 032, P, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0
10, Run: 033, P, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0
10, Run: 034, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 035, P, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0
10, Run: 036, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
10, Run: 037, P, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0
10, Run: 038, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 039, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 040, P, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0
10, Run: 041, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
10, Run: 042, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 043, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
10, Run: 044, P, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0
10, Run: 045, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
10, Run: 046, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
10, Run: 047, P, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0
10, Run: 048, P, 44, 0, 0, 0, 1, 0, 1, 0, 933, 933, 0, 0
10, Run: 049, P, 43, 0, 0, 0, 1, 0, 1, 0, 939, 939, 0, 0
10, Run: 050, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 051, P, 32, 0, 0, 0, 1, 0, 1, 0, 1005, 1005, 0, 0
10, Run: 052, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
10, Run: 053, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
10, Run: 054, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
10, Run: 055, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
10, Run: 056, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 057, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
10, Run: 058, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 059, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
10, Run: 060, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
10, Run: 061, P, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0
10, Run: 062, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
10, Run: 063, P, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0
10, Run: 064, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 065, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
10, Run: 066, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
10, Run: 067, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
10, Run: 068, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
10, Run: 069, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 070, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 071, P, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0
10, Run: 072, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
10, Run: 073, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
10, Run: 074, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 075, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 076, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
10, Run: 077, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
10, Run: 078, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
10, Run: 079, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
10, Run: 080, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 081, P, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0
10, Run: 082, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 083, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
10, Run: 084, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
10, Run: 085, P, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0
10, Run: 086, P, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0
10, Run: 087, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 088, P, 46, 0, 0, 0, 1, 0, 1, 0, 921, 921, 0, 0
10, Run: 089, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 090, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
10, Run: 091, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
10, Run: 092, P, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0
10, Run: 093, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
10, Run: 094, P, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0
10, Run: 095, P, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0
