Input Number, Run_Number, Result@ 100, V, X, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 0, 1, 0, 90, 7, 12, 2, 106, 5
INVAR-1, Run: 002, F, 4, 1, 0, 108, 7, 12, 2, 120, 5
INVAR-1, Run: 003, F, 1, 0, 2, 98, 7, 11, 3, 7, 111
INVAR-1, Run: 004, F, 2, 1, 0, 80, 6, 11, 5, 95, 5
INVAR-1, Run: 005, F, 4, 1, 0, 90, 7, 12, 2, 103, 4
INVAR-1, Run: 006, F, 1, 1, 0, 101, 7, 12, 2, 118, 3
INVAR-1, Run: 007, F, 3, 1, 0, 110, 7, 12, 2, 124, 4
INVAR-1, Run: 008, F, 0, 0, 2, 115, 8, 12, 0, 4, 131
INVAR-1, Run: 009, F, 1, 1, 0, 99, 7, 12, 2, 117, 2
INVAR-1, Run: 010, F, 1, 0, 2, 101, 8, 12, 0, 4, 116
INVAR-1, Run: 011, F, 1, 1, 0, 93, 7, 12, 2, 109, 4
INVAR-1, Run: 012, F, 2, 1, 0, 109, 7, 12, 2, 123, 5
INVAR-1, Run: 013, F, 0, 0, 2, 85, 8, 12, 0, 5, 100
INVAR-1, Run: 014, F, 0, 1, 0, 110, 7, 12, 2, 125, 6
INVAR-1, Run: 015, F, 0, 0, 2, 101, 7, 11, 3, 2, 120
INVAR-1, Run: 016, F, 0, 1, 0, 96, 7, 12, 2, 114, 3
INVAR-1, Run: 017, F, 1, 1, 0, 86, 7, 12, 2, 97, 9
INVAR-1, Run: 018, F, 3, 1, 0, 104, 7, 12, 2, 115, 7
INVAR-1, Run: 019, F, 0, 1, 0, 116, 7, 12, 2, 130, 7
INVAR-1, Run: 020, F, 0, 1, 0, 103, 7, 12, 2, 117, 7
INVAR-1, Run: 021, F, 0, 0, 2, 111, 8, 12, 0, 4, 127
INVAR-1, Run: 022, F, 1, 1, 0, 106, 7, 12, 2, 122, 4
INVAR-1, Run: 023, F, 3, 1, 0, 120, 7, 12, 2, 129, 9
INVAR-1, Run: 024, F, 1, 1, 0, 109, 7, 12, 2, 120, 9
INVAR-1, Run: 025, F, 0, 1, 0, 100, 7, 12, 2, 116, 5
INVAR-1, Run: 026, F, 1, 1, 0, 110, 7, 12, 2, 127, 3
INVAR-1, Run: 027, F, 1, 0, 2, 110, 8, 12, 0, 2, 127
INVAR-1, Run: 028, F, 2, 1, 0, 94, 7, 12, 2, 108, 5
INVAR-1, Run: 029, F, 2, 1, 0, 99, 7, 12, 2, 113, 5
INVAR-1, Run: 030, F, 1, 1, 0, 104, 7, 12, 2, 114, 10
INVAR-1, Run: 031, F, 0, 1, 0, 99, 7, 12, 2, 111, 9
INVAR-1, Run: 032, F, 1, 1, 0, 96, 7, 12, 2, 109, 7
INVAR-1, Run: 033, F, 1, 1, 0, 85, 7, 12, 2, 97, 8
INVAR-1, Run: 034, F, 1, 1, 0, 82, 7, 12, 2, 97, 5
INVAR-1, Run: 035, F, 2, 1, 0, 90, 7, 12, 2, 104, 5
INVAR-1, Run: 036, F, 0, 0, 2, 93, 8, 12, 0, 6, 107
INVAR-1, Run: 037, F, 0, 1, 0, 86, 7, 12, 2, 103, 4
INVAR-1, Run: 038, F, 1, 1, 0, 110, 7, 12, 2, 127, 3
INVAR-1, Run: 039, F, 0, 0, 2, 94, 7, 11, 3, 5, 110
INVAR-1, Run: 040, F, 0, 0, 2, 98, 7, 11, 3, 2, 117
INVAR-1, Run: 041, F, 1, 1, 0, 87, 7, 12, 2, 105, 2
INVAR-1, Run: 042, F, 0, 1, 0, 93, 6, 11, 5, 110, 5
INVAR-1, Run: 043, F, 0, 0, 2, 90, 7, 11, 3, 3, 108
INVAR-1, Run: 044, F, 0, 1, 0, 104, 7, 12, 2, 124, 1
INVAR-1, Run: 045, F, 2, 1, 0, 99, 7, 12, 2, 112, 6
INVAR-1, Run: 046, F, 0, 1, 0, 96, 6, 11, 5, 111, 7
INVAR-1, Run: 047, F, 0, 1, 0, 99, 7, 12, 2, 120, 0
INVAR-1, Run: 048, F, 2, 1, 0, 113, 7, 12, 2, 130, 2
INVAR-1, Run: 049, F, 1, 0, 2, 97, 7, 11, 3, 2, 115
INVAR-1, Run: 050, F, 0, 1, 0, 100, 7, 12, 2, 116, 5
INVAR-1, Run: 051, F, 0, 0, 2, 83, 7, 11, 3, 3, 101
INVAR-1, Run: 052, F, 0, 0, 2, 108, 8, 12, 0, 4, 124
INVAR-1, Run: 053, F, 0, 1, 0, 115, 7, 12, 2, 133, 3
INVAR-1, Run: 054, F, 0, 1, 0, 120, 7, 12, 2, 138, 3
INVAR-1, Run: 055, F, 2, 1, 0, 100, 7, 12, 2, 119, 0
INVAR-1, Run: 056, F, 1, 1, 0, 98, 7, 12, 2, 112, 6
INVAR-1, Run: 057, F, 2, 1, 0, 90, 7, 12, 2, 101, 8
INVAR-1, Run: 058, F, 1, 1, 0, 94, 7, 12, 2, 103, 11
INVAR-1, Run: 059, F, 0, 1, 0, 101, 7, 12, 2, 118, 4
INVAR-1, Run: 060, F, 1, 0, 2, 121, 8, 12, 0, 4, 136
INVAR-1, Run: 061, F, 0, 0, 2, 102, 8, 12, 0, 5, 117
INVAR-1, Run: 062, F, 1, 1, 0, 101, 6, 11, 5, 110, 12
INVAR-1, Run: 063, F, 0, 1, 0, 101, 7, 12, 2, 114, 8
INVAR-1, Run: 064, F, 1, 0, 2, 106, 8, 12, 0, 4, 121
INVAR-1, Run: 065, F, 1, 0, 2, 113, 8, 12, 0, 7, 125
INVAR-1, Run: 066, F, 0, 1, 0, 107, 7, 12, 2, 124, 4
INVAR-1, Run: 067, F, 0, 0, 2, 113, 8, 12, 0, 1, 132
INVAR-1, Run: 068, F, 0, 0, 2, 102, 7, 11, 3, 1, 122
INVAR-1, Run: 069, F, 0, 1, 0, 96, 7, 12, 2, 111, 6
INVAR-1, Run: 070, F, 1, 0, 2, 111, 8, 12, 0, 9, 121
INVAR-1, Run: 071, F, 1, 0, 2, 103, 8, 12, 0, 6, 116
INVAR-1, Run: 072, F, 0, 0, 2, 99, 8, 12, 0, 2, 117
INVAR-1, Run: 073, F, 2, 1, 0, 102, 7, 12, 2, 120, 1
INVAR-1, Run: 074, F, 0, 0, 2, 84, 7, 11, 3, 4, 101
INVAR-1, Run: 075, F, 1, 1, 0, 92, 7, 12, 2, 110, 2
INVAR-1, Run: 076, F, 0, 1, 0, 84, 7, 12, 2, 96, 9
INVAR-1, Run: 077, F, 1, 0, 2, 105, 8, 12, 0, 2, 122
INVAR-1, Run: 078, F, 2, 1, 0, 104, 7, 12, 2, 119, 4
INVAR-1, Run: 079, F, 0, 0, 2, 114, 7, 11, 3, 12, 123
INVAR-1, Run: 080, F, 0, 1, 0, 109, 7, 12, 2, 130, 0
INVAR-1, Run: 081, F, 0, 1, 0, 99, 7, 12, 2, 114, 6
INVAR-1, Run: 082, F, 0, 0, 2, 106, 8, 12, 0, 6, 120
INVAR-1, Run: 083, F, 1, 1, 0, 91, 7, 12, 2, 107, 4
INVAR-1, Run: 084, F, 1, 0, 2, 95, 8, 12, 0, 9, 105
INVAR-1, Run: 085, F, 1, 1, 0, 132, 7, 12, 2, 138, 14
INVAR-1, Run: 086, F, 1, 0, 2, 106, 7, 11, 3, 3, 123
INVAR-1, Run: 087, F, 1, 1, 0, 110, 7, 12, 2, 119, 11
INVAR-1, Run: 088, F, 1, 1, 0, 107, 7, 12, 2, 121, 6
INVAR-1, Run: 089, F, 0, 1, 0, 107, 7, 12, 2, 127, 1
INVAR-1, Run: 090, F, 0, 1, 0, 104, 7, 12, 2, 121, 4
INVAR-1, Run: 091, F, 1, 1, 0, 111, 7, 12, 2, 126, 5
INVAR-1, Run: 092, F, 0, 1, 0, 101, 7, 12, 2, 118, 4
INVAR-1, Run: 093, F, 0, 0, 2, 99, 7, 11, 3, 3, 117
INVAR-1, Run: 094, F, 0, 1, 0, 110, 7, 12, 2, 126, 5
INVAR-1, Run: 095, F, 0, 1, 0, 108, 6, 11, 5, 122, 8
INVAR-1, Run: 096, F, 0, 1, 0, 104, 7, 12, 2, 117, 8
INVAR-1, Run: 097, F, 0, 0, 2, 98, 8, 12, 0, 2, 116
INVAR-1, Run: 098, F, 0, 1, 0, 110, 7, 12, 2, 123, 8
INVAR-1, Run: 099, F, 0, 0, 2, 98, 8, 12, 0, 7, 111
INVAR-1, Run: 100, F, 3, 1, 0, 114, 7, 12, 2, 122, 10
INVAR-10, Run: 001, F, 3, 1, 0, 111, 12, 15, 5, 129, 11
INVAR-10, Run: 002, F, 0, 0, 2, 88, 14, 16, 0, 3, 115
INVAR-10, Run: 003, F, 1, 0, 2, 112, 13, 15, 3, 1, 141
INVAR-10, Run: 004, F, 2, 1, 0, 104, 13, 16, 2, 124, 9
INVAR-10, Run: 005, F, 0, 1, 0, 94, 12, 15, 5, 113, 13
INVAR-10, Run: 006, F, 0, 0, 2, 116, 14, 16, 0, 13, 133
INVAR-10, Run: 007, F, 0, 1, 0, 87, 13, 16, 2, 107, 11
INVAR-10, Run: 008, F, 0, 1, 0, 109, 13, 16, 2, 135, 5
INVAR-10, Run: 009, F, 2, 1, 0, 88, 13, 16, 2, 112, 5
INVAR-10, Run: 010, F, 3, 1, 0, 104, 13, 16, 2, 117, 15
INVAR-10, Run: 011, F, 0, 1, 0, 104, 13, 16, 2, 129, 6
INVAR-10, Run: 012, F, 1, 1, 0, 113, 13, 16, 2, 136, 7
