Input Number, Run_Number, Result@ 100, Y, A, X1, B, C, PO, D, CO, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 22, 32, 1, 3, 25, 0, 35, 18, 234, 14, 11, 202, 9, 6, 2, 25, 9, 18, 194, 97
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 1, 17, 0, 17, 18, 52, 6, 5, 36, 9, 6, 2, 17, 9, 18, 214, 107
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 1, 15, 0, 13, 18, 99, 5, 4, 87, 9, 7, 1, 15, 9, 18, 88, 44
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 34, 20, 1, 1, 19, 0, 21, 18, 89, 4, 3, 69, 9, 6, 2, 19, 9, 18, 112, 56
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 3, 12, 0, 9, 18, 54, 8, 5, 48, 9, 4, 4, 12, 9, 18, 90, 45
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 28, 26, 1, 2, 22, 0, 28, 18, 106, 10, 8, 80, 9, 6, 2, 22, 9, 18, 48, 24
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0, 9, 18, 105, 6, 5, 97, 9, 6, 2, 13, 9, 18, 150, 75
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 1, 18, 0, 19, 18, 141, 7, 6, 123, 9, 6, 2, 18, 9, 18, 64, 32
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0, 9, 18, 84, 8, 7, 76, 9, 5, 3, 13, 9, 18, 300, 150
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 52, 2, 1, 3, 10, 0, 5, 18, 52, 8, 5, 50, 9, 4, 4, 10, 9, 18, 170, 85
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 1, 17, 0, 17, 18, 145, 20, 19, 129, 9, 5, 3, 17, 9, 18, 122, 61
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 30, 24, 1, 2, 21, 0, 26, 18, 100, 10, 8, 76, 9, 7, 1, 21, 9, 18, 252, 126
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 1, 17, 0, 17, 18, 91, 14, 13, 75, 9, 3, 5, 17, 9, 18, 118, 59
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 4, 12, 0, 10, 18, 84, 13, 9, 78, 9, 4, 4, 12, 9, 18, 120, 60
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 2, 15, 0, 14, 18, 93, 4, 2, 81, 9, 6, 2, 15, 9, 18, 140, 70
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 0, 10, 44, 1, 1, 31, 0, 45, 18, 92, 8, 7, 48, 9, 7, 1, 31, 9, 18, 60, 30
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 2, 17, 0, 18, 18, 68, 12, 10, 52, 9, 3, 5, 17, 9, 18, 240, 120
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 1, 17, 0, 17, 18, 57, 6, 5, 41, 9, 6, 2, 17, 9, 18, 256, 128
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 1, 12, 0, 7, 18, 87, 11, 10, 81, 9, 3, 5, 12, 9, 18, 104, 52
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 3, 11, 0, 7, 18, 85, 7, 4, 81, 9, 3, 5, 11, 9, 18, 138, 69
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 5, 16, 0, 19, 18, 120, 8, 3, 106, 9, 6, 2, 16, 9, 18, 82, 41
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 2, 11, 0, 6, 18, 36, 9, 7, 32, 9, 3, 5, 11, 9, 18, 228, 114
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 3, 15, 0, 15, 18, 97, 14, 11, 85, 9, 5, 3, 15, 9, 18, 104, 52
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 0, 22, 32, 1, 0, 25, 0, 32, 18, 156, 5, 5, 124, 9, 8, 0, 25, 9, 18, 118, 59
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 2, 11, 0, 6, 18, 75, 9, 7, 71, 9, 2, 6, 11, 9, 18, 126, 63
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 28, 26, 1, 0, 22, 0, 26, 18, 131, 16, 16, 105, 9, 3, 5, 22, 9, 18, 172, 86
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 30, 24, 1, 1, 21, 0, 25, 18, 135, 11, 10, 111, 9, 4, 4, 21, 9, 18, 108, 54
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 1, 12, 0, 7, 18, 54, 3, 2, 48, 9, 2, 6, 12, 9, 18, 124, 62
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 0, 52, 2, 1, 3, 10, 0, 5, 18, 54, 5, 2, 52, 9, 5, 3, 10, 9, 18, 84, 42
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 1, 16, 0, 15, 18, 167, 12, 11, 153, 9, 5, 3, 16, 9, 18, 86, 43
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 3, 18, 0, 21, 18, 83, 11, 8, 65, 9, 7, 1, 18, 9, 18, 104, 52
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 0, 11, 0, 4, 18, 65, 9, 9, 61, 9, 6, 2, 11, 9, 18, 134, 67
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0, 9, 18, 118, 8, 7, 110, 9, 6, 2, 13, 9, 18, 48, 24
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 0, 14, 40, 1, 1, 29, 0, 41, 18, 75, 2, 1, 35, 9, 7, 1, 29, 9, 18, 48, 24
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 0, 16, 0, 14, 18, 132, 12, 12, 118, 9, 6, 2, 16, 9, 18, 158, 79
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 0, 18, 36, 1, 0, 27, 0, 36, 18, 89, 10, 10, 53, 9, 6, 2, 27, 9, 18, 52, 26
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 15, 0, 12, 18, 52, 3, 3, 40, 9, 4, 4, 15, 9, 18, 108, 54
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 0, 24, 30, 1, 0, 24, 0, 30, 18, 153, 6, 6, 123, 9, 7, 1, 24, 9, 18, 202, 101
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 2, 14, 0, 12, 18, 105, 10, 8, 95, 9, 5, 3, 14, 9, 18, 62, 31
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 2, 12, 0, 8, 18, 92, 8, 6, 86, 9, 3, 5, 12, 9, 18, 34, 17
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 1, 14, 0, 11, 18, 40, 6, 5, 30, 9, 7, 1, 14, 9, 18, 194, 97
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 1, 20, 0, 23, 18, 78, 11, 10, 56, 9, 8, 0, 20, 9, 18, 220, 110
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 1, 15, 0, 13, 18, 125, 7, 6, 113, 9, 6, 2, 15, 9, 18, 204, 102
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 3, 17, 0, 19, 18, 102, 13, 10, 86, 9, 6, 2, 17, 9, 18, 304, 152
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 1, 14, 0, 11, 18, 108, 9, 8, 98, 9, 4, 4, 14, 9, 18, 170, 85
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 2, 12, 0, 8, 18, 62, 5, 3, 56, 9, 6, 2, 12, 9, 18, 278, 139
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 3, 11, 0, 7, 18, 59, 12, 9, 55, 9, 5, 3, 11, 9, 18, 48, 24
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 0, 30, 24, 1, 2, 21, 0, 26, 18, 92, 10, 8, 68, 9, 6, 2, 21, 9, 18, 328, 164
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 13, 0, 8, 18, 63, 4, 4, 55, 9, 6, 2, 13, 9, 18, 70, 35
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 2, 15, 0, 14, 18, 65, 9, 7, 53, 9, 3, 5, 15, 9, 18, 152, 76
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 0, 52, 2, 1, 2, 10, 0, 4, 18, 30, 2, 0, 28, 9, 6, 2, 10, 9, 18, 170, 85
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 1, 15, 0, 13, 18, 71, 9, 8, 59, 9, 6, 2, 15, 9, 18, 68, 34
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 2, 17, 0, 18, 18, 92, 6, 4, 76, 9, 6, 2, 17, 9, 18, 124, 62
INVAR-1, Run: 054, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 4, 12, 0, 10, 18, 57, 7, 3, 51, 9, 4, 4, 12, 9, 18, 40, 20
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 5, 11, 0, 9, 18, 67, 16, 11, 63, 9, 6, 2, 11, 9, 18, 192, 96
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 0, 34, 20, 1, 2, 19, 0, 22, 18, 145, 6, 4, 125, 9, 5, 3, 19, 9, 18, 84, 42
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 3, 13, 0, 11, 18, 76, 10, 7, 68, 9, 6, 2, 13, 9, 18, 110, 55
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 0, 14, 40, 1, 1, 29, 0, 41, 18, 97, 12, 11, 57, 9, 7, 1, 29, 9, 18, 32, 16
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 3, 18, 0, 21, 18, 81, 13, 10, 63, 9, 4, 4, 18, 9, 18, 80, 40
INVAR-1, Run: 060, P, 0, 0, 0, 0, 0, 0, 4, 50, 1, 0, 34, 0, 50, 18, 125, 6, 6, 75, 9, 7, 1, 34, 9, 18, 36, 18
INVAR-1, Run: 061, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 1, 18, 0, 19, 18, 81, 10, 9, 63, 9, 3, 5, 18, 9, 18, 94, 47
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 0, 16, 0, 14, 18, 50, 6, 6, 36, 9, 6, 2, 16, 9, 18, 70, 35
INVAR-1, Run: 063, P, 0, 0, 0, 0, 0, 0, 18, 36, 1, 2, 27, 0, 38, 18, 140, 10, 8, 104, 9, 6, 2, 27, 9, 18, 108, 54
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 1, 18, 0, 19, 18, 78, 10, 9, 60, 9, 4, 4, 18, 9, 18, 62, 31
INVAR-1, Run: 065, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 4, 14, 0, 14, 18, 44, 12, 8, 34, 9, 4, 4, 14, 9, 18, 60, 30
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 2, 13, 0, 10, 18, 58, 5, 3, 50, 9, 5, 3, 13, 9, 18, 156, 78
INVAR-1, Run: 067, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0, 9, 18, 86, 15, 14, 78, 9, 5, 3, 13, 9, 18, 266, 133
INVAR-1, Run: 068, P, 0, 0, 0, 0, 0, 0, 24, 30, 1, 3, 24, 0, 33, 18, 218, 24, 21, 188, 9, 6, 2, 24, 9, 18, 120, 60
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 1, 12, 0, 7, 18, 119, 14, 13, 113, 9, 6, 2, 12, 9, 18, 84, 42
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 0, 14, 40, 1, 2, 29, 0, 42, 18, 95, 2, 0, 55, 9, 6, 2, 29, 9, 18, 44, 22
INVAR-1, Run: 071, P, 0, 0, 0, 0, 0, 0, 6, 48, 1, 0, 33, 0, 48, 18, 105, 6, 6, 57, 9, 5, 3, 33, 9, 18, 74, 37
INVAR-1, Run: 072, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 13, 0, 8, 18, 50, 4, 4, 42, 9, 5, 3, 13, 9, 18, 22, 11
INVAR-1, Run: 073, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 4, 15, 0, 16, 18, 66, 10, 6, 54, 9, 5, 3, 15, 9, 18, 54, 27
INVAR-1, Run: 074, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 1, 15, 0, 13, 18, 143, 8, 7, 131, 9, 6, 2, 15, 9, 18, 62, 31
INVAR-1, Run: 075, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 15, 0, 12, 18, 110, 6, 6, 98, 9, 7, 1, 15, 9, 18, 230, 115
INVAR-1, Run: 076, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 1, 9, 0, 1, 18, 42, 9, 8, 42, 9, 4, 4, 9, 9, 18, 50, 25
INVAR-1, Run: 077, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 13, 0, 8, 18, 94, 7, 7, 86, 9, 5, 3, 13, 9, 18, 48, 24
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 1, 20, 0, 23, 18, 87, 6, 5, 65, 9, 6, 2, 20, 9, 18, 176, 88
INVAR-1, Run: 079, P, 0, 0, 0, 0, 0, 0, 16, 38, 1, 3, 28, 0, 41, 18, 77, 5, 2, 39, 9, 8, 0, 28, 9, 18, 24, 12
INVAR-1, Run: 080, P, 0, 0, 0, 0, 0, 0, 34, 20, 1, 2, 19, 0, 22, 18, 71, 8, 6, 51, 9, 3, 5, 19, 9, 18, 202, 101
INVAR-1, Run: 081, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 1, 11, 0, 5, 18, 59, 7, 6, 55, 9, 5, 3, 11, 9, 18, 108, 54
INVAR-1, Run: 082, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 2, 14, 0, 12, 18, 168, 8, 6, 158, 9, 6, 2, 14, 9, 18, 92, 46
INVAR-1, Run: 083, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 3, 14, 0, 13, 18, 102, 9, 6, 92, 9, 4, 4, 14, 9, 18, 132, 66
INVAR-1, Run: 084, P, 0, 0, 0, 0, 0, 0, 26, 28, 1, 2, 23, 0, 30, 18, 116, 12, 10, 88, 9, 7, 1, 23, 9, 18, 64, 32
INVAR-1, Run: 085, P, 0, 0, 0, 0, 0, 0, 10, 44, 1, 1, 31, 0, 45, 18, 140, 4, 3, 96, 9, 5, 3, 31, 9, 18, 108, 54
INVAR-1, Run: 086, P, 0, 0, 0, 0, 0, 0, 22, 32, 1, 0, 25, 0, 32, 18, 129, 5, 5, 97, 9, 6, 2, 25, 9, 18, 60, 30
INVAR-1, Run: 087, P, 0, 0, 0, 0, 0, 0, 22, 32, 1, 0, 25, 0, 32, 18, 118, 18, 18, 86, 9, 3, 5, 25, 9, 18, 120, 60
INVAR-1, Run: 088, P, 0, 0, 0, 0, 0, 0, 34, 20, 1, 0, 19, 0, 20, 18, 87, 7, 7, 67, 9, 3, 5, 19, 9, 18, 114, 57
INVAR-1, Run: 089, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 2, 12, 0, 8, 18, 48, 7, 5, 42, 9, 8, 0, 12, 9, 18, 56, 28
INVAR-1, Run: 090, P, 0, 0, 0, 0, 0, 0, 20, 34, 1, 0, 26, 0, 34, 18, 108, 7, 7, 74, 9, 6, 2, 26, 9, 18, 136, 68
INVAR-1, Run: 091, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 2, 14, 0, 12, 18, 72, 8, 6, 62, 9, 3, 5, 14, 9, 18, 290, 145
INVAR-1, Run: 092, P, 0, 0, 0, 0, 0, 0, 28, 26, 1, 2, 22, 0, 28, 18, 94, 7, 5, 68, 9, 8, 0, 22, 9, 18, 70, 35
INVAR-1, Run: 093, P, 0, 0, 0, 0, 0, 0, 14, 40, 1, 1, 29, 0, 41, 18, 89, 5, 4, 49, 9, 6, 2, 29, 9, 18, 46, 23
INVAR-1, Run: 094, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 2, 14, 0, 12, 18, 86, 16, 14, 76, 9, 3, 5, 14, 9, 18, 110, 55
INVAR-1, Run: 095, P, 0, 0, 0, 0, 0, 0, 22, 32, 1, 1, 25, 0, 33, 18, 103, 6, 5, 71, 9, 6, 2, 25, 9, 18, 206, 103
INVAR-1, Run: 096, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 1, 18, 0, 19, 18, 112, 7, 6, 94, 9, 6, 2, 18, 9, 18, 76, 38
INVAR-1, Run: 097, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 2, 12, 0, 8, 18, 43, 5, 3, 37, 9, 7, 1, 12, 9, 18, 98, 49
INVAR-1, Run: 098, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 2, 12, 0, 8, 18, 95, 12, 10, 89, 9, 5, 3, 12, 9, 18, 186, 93
INVAR-1, Run: 099, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 1, 16, 0, 15, 18, 94, 8, 7, 80, 9, 6, 2, 16, 9, 18, 28, 14
INVAR-1, Run: 100, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 2, 18, 0, 20, 18, 74, 17, 15, 56, 9, 3, 5, 18, 9, 18, 78, 39
INVAR-10, Run: 001, P, 0, 0, 0, 0, 0, 0, 478, 122, 1, 1, 161, 0, 123, 200, 5075, 65, 64, 4953, 100, 63, 36, 161, 100, 200, 7090, 3545
INVAR-10, Run: 002, P, 0, 0, 0, 0, 0, 0, 444, 156, 1, 2, 178, 0, 158, 200, 4654, 49, 47, 4498, 100, 55, 44, 178, 100, 200, 4086, 2043
INVAR-10, Run: 003, P, 0, 0, 0, 0, 0, 0, 354, 246, 1, 0, 223, 0, 246, 200, 4734, 72, 72, 4488, 100, 64, 35, 223, 100, 200, 3496, 1748
INVAR-10, Run: 004, P, 0, 0, 0, 0, 0, 0, 504, 96, 1, 2, 148, 0, 98, 200, 4034, 79, 77, 3938, 100, 60, 39, 148, 100, 200, 3614, 1807
INVAR-10, Run: 005, P, 0, 0, 0, 0, 0, 0, 92, 508, 1, 3, 354, 0, 511, 200, 6397, 92, 89, 5889, 100, 63, 36, 354, 100, 200, 4542, 2271
