Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y
INVAR-1, Run: 086, P, 33, 3367, 0, 0, 0, 0, 5
INVAR-1, Run: 087, P, 33, 3320, 0, 0, 0, 0, 5
INVAR-1, Run: 088, P, 34, 3458, 0, 0, 0, 0, 5
INVAR-1, Run: 089, P, 33, 3256, 0, 0, 0, 0, 5
INVAR-1, Run: 090, P, 34, 3398, 0, 0, 0, 0, 5
INVAR-1, Run: 091, P, 33, 3310, 0, 0, 0, 0, 5
INVAR-1, Run: 092, P, 33, 3391, 0, 0, 0, 0, 5
INVAR-1, Run: 093, P, 34, 3397, 0, 0, 0, 0, 5
INVAR-1, Run: 094, P, 33, 3301, 0, 0, 0, 0, 5
INVAR-1, Run: 095, P, 33, 3215, 0, 0, 0, 0, 5
INVAR-1, Run: 096, P, 34, 3389, 0, 0, 0, 0, 5
INVAR-1, Run: 097, P, 33, 3345, 0, 0, 0, 0, 5
INVAR-1, Run: 098, P, 33, 3297, 0, 0, 0, 0, 5
INVAR-1, Run: 099, P, 33, 3250, 0, 0, 0, 0, 5
INVAR-1, Run: 100, P, 33, 3313, 0, 0, 0, 0, 5
INVAR-10, Run: 001, P, 14, 1355, 0, 0, 0, 0, 5
INVAR-10, Run: 002, P, 14, 1400, 0, 0, 0, 0, 5
INVAR-10, Run: 003, P, 14, 1420, 0, 0, 0, 0, 5
INVAR-10, Run: 004, P, 13, 1310, 0, 0, 0, 0, 5
INVAR-10, Run: 005, P, 13, 1335, 0, 0, 0, 0, 5
INVAR-10, Run: 006, P, 13, 1269, 0, 0, 0, 0, 5
INVAR-10, Run: 007, P, 13, 1267, 0, 0, 0, 0, 5
INVAR-10, Run: 008, P, 14, 1495, 0, 0, 0, 0, 5
INVAR-10, Run: 009, P, 13, 1273, 0, 0, 0, 0, 5
INVAR-10, Run: 010, P, 14, 1392, 0, 0, 0, 0, 5
INVAR-10, Run: 011, P, 13, 1325, 0, 0, 0, 0, 5
INVAR-10, Run: 012, P, 14, 1365, 0, 0, 0, 0, 5
INVAR-10, Run: 013, P, 13, 1310, 0, 0, 0, 0, 5
INVAR-10, Run: 014, P, 14, 1406, 0, 0, 0, 0, 5
INVAR-10, Run: 015, P, 13, 1325, 0, 0, 0, 0, 5
INVAR-10, Run: 016, P, 13, 1288, 0, 0, 0, 0, 5
INVAR-10, Run: 017, P, 13, 1286, 0, 0, 0, 0, 5
INVAR-10, Run: 018, P, 13, 1317, 0, 0, 0, 0, 5
INVAR-10, Run: 019, P, 13, 1290, 0, 0, 0, 0, 5
INVAR-10, Run: 020, P, 13, 1250, 0, 0, 0, 0, 5
INVAR-10, Run: 021, P, 14, 1387, 0, 0, 0, 0, 5
INVAR-10, Run: 022, P, 13, 1308, 0, 0, 0, 0, 5
INVAR-10, Run: 023, P, 13, 1335, 0, 0, 0, 0, 5
INVAR-10, Run: 024, P, 14, 1391, 0, 0, 0, 0, 5
INVAR-10, Run: 025, P, 13, 1274, 0, 0, 0, 0, 5
INVAR-10, Run: 026, P, 15, 1497, 0, 0, 0, 0, 5
INVAR-10, Run: 027, P, 13, 1312, 0, 0, 0, 0, 5
INVAR-10, Run: 028, P, 14, 1439, 0, 0, 0, 0, 5
INVAR-10, Run: 029, P, 13, 1296, 0, 0, 0, 0, 5
INVAR-10, Run: 030, P, 13, 1300, 0, 0, 0, 0, 5
INVAR-10, Run: 031, P, 13, 1315, 0, 0, 0, 0, 5
INVAR-10, Run: 032, P, 14, 1341, 0, 0, 0, 0, 5
INVAR-10, Run: 033, P, 13, 1366, 0, 0, 0, 0, 5
INVAR-10, Run: 034, P, 14, 1386, 0, 0, 0, 0, 5
INVAR-10, Run: 035, P, 14, 1441, 0, 0, 0, 0, 5
INVAR-10, Run: 036, P, 13, 1393, 0, 0, 0, 0, 5
INVAR-10, Run: 037, P, 13, 1293, 0, 0, 0, 0, 5
