Input Number, Run_Number, Result@ 100, PE, X1, M, Y, H, PO, CE, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 1, 0, 0, 10, 0, 0, 8, 0, 0, 54, 0, 2, 16, 7, 85, 8, 5, 0, 8, 18, 27, 15, 85
INVAR-1, Run: 002, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 5, 80, 7, 2, 0, 7, 18, 27, 12, 80
INVAR-1, Run: 003, P, 0, 0, 0, 10, 0, 0, 4, 3, 2, 52, 0, 4, 14, 3, 89, 7, 2, 1, 7, 18, 27, 7, 91
INVAR-1, Run: 004, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 0, 51, 7, 1, 1, 7, 18, 27, 7, 51
INVAR-1, Run: 005, P, 0, 0, 0, 9, 0, 0, 2, 4, 1, 53, 0, 6, 12, 4, 48, 6, 0, 0, 6, 18, 27, 6, 49
INVAR-1, Run: 006, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 4, 51, 7, 2, 0, 7, 18, 27, 11, 51
INVAR-1, Run: 007, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 5, 100, 7, 2, 0, 7, 18, 27, 12, 100
INVAR-1, Run: 008, P, 0, 0, 0, 8, 0, 0, 3, 4, 1, 53, 0, 4, 14, 3, 40, 7, 3, 0, 7, 18, 27, 6, 41
INVAR-1, Run: 009, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 2, 12, 6, 1, 0, 6, 18, 27, 2, 66
INVAR-1, Run: 010, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 4, 23, 6, 1, 0, 6, 18, 27, 4, 77
INVAR-1, Run: 011, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 0, 46, 7, 2, 0, 7, 18, 27, 7, 46
INVAR-1, Run: 012, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 1, 73, 7, 1, 1, 7, 18, 27, 8, 73
INVAR-1, Run: 013, P, 0, 0, 0, 12, 0, 0, 0, 6, 6, 48, 0, 6, 12, 1, 35, 6, 0, 0, 6, 18, 27, 1, 41
INVAR-1, Run: 014, P, 0, 0, 0, 9, 0, 0, 3, 3, 0, 54, 0, 6, 12, 0, 21, 6, 0, 0, 6, 18, 27, 3, 21
INVAR-1, Run: 015, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 6, 37, 7, 2, 0, 7, 18, 27, 13, 37
INVAR-1, Run: 016, P, 1, 0, 0, 10, 0, 0, 8, 0, 0, 54, 0, 2, 16, 6, 56, 8, 4, 1, 8, 18, 27, 14, 56
INVAR-1, Run: 017, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 1, 49, 7, 2, 0, 7, 18, 27, 8, 49
INVAR-1, Run: 018, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 3, 51, 7, 1, 1, 7, 18, 27, 10, 51
INVAR-1, Run: 019, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0, 3, 15, 24, 146, 7, 3, 1, 7, 18, 27, 24, 200
INVAR-1, Run: 020, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0, 3, 15, 15, 85, 7, 3, 1, 7, 18, 27, 15, 139
INVAR-1, Run: 021, P, 0, 0, 0, 10, 0, 0, 4, 2, 0, 54, 0, 6, 12, 0, 10, 6, 0, 0, 6, 18, 27, 4, 10
INVAR-1, Run: 022, P, 0, 0, 0, 21, 0, 0, 0, 6, 15, 39, 0, 6, 12, 9, 34, 6, 0, 0, 6, 18, 27, 9, 49
INVAR-1, Run: 023, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0, 3, 15, 14, 166, 7, 4, 0, 7, 18, 27, 14, 220
INVAR-1, Run: 024, P, 1, 0, 0, 10, 0, 0, 8, 0, 0, 54, 0, 2, 16, 4, 49, 8, 4, 1, 8, 18, 27, 12, 49
INVAR-1, Run: 025, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 10, 38, 6, 1, 0, 6, 18, 27, 10, 92
INVAR-1, Run: 026, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 6, 69, 7, 2, 0, 7, 18, 27, 13, 69
INVAR-1, Run: 027, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 3, 82, 7, 2, 0, 7, 18, 27, 10, 82
INVAR-1, Run: 028, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 7, 26, 6, 1, 0, 6, 18, 27, 7, 80
INVAR-1, Run: 029, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 2, 38, 6, 1, 0, 6, 18, 27, 2, 92
INVAR-1, Run: 030, P, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0, 3, 15, 17, 151, 7, 3, 1, 7, 18, 27, 17, 205
INVAR-1, Run: 031, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 0, 56, 7, 1, 1, 7, 18, 27, 7, 56
INVAR-1, Run: 032, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 4, 71, 6, 0, 1, 6, 18, 27, 4, 125
INVAR-1, Run: 033, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 4, 14, 6, 1, 0, 6, 18, 27, 4, 68
INVAR-1, Run: 034, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 5, 139, 6, 1, 0, 6, 18, 27, 5, 193
INVAR-1, Run: 035, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 1, 79, 7, 2, 0, 7, 18, 27, 8, 79
INVAR-1, Run: 036, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 5, 45, 6, 1, 0, 6, 18, 27, 5, 99
INVAR-1, Run: 037, P, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 3, 27, 7, 2, 0, 7, 18, 27, 10, 27
INVAR-1, Run: 038, P, 0, 0, 0, 9, 0, 0, 5, 2, 0, 54, 0, 4, 14, 5, 29, 7, 1, 2, 7, 18, 27, 10, 29
INVAR-1, Run: 039, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 0, 9, 6, 1, 0, 6, 18, 27, 0, 63
INVAR-1, Run: 040, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 9, 56, 6, 1, 0, 6, 18, 27, 9, 110
INVAR-1, Run: 041, P, 1, 0, 0, 10, 0, 0, 8, 0, 0, 54, 0, 2, 16, 0, 25, 8, 3, 2, 8, 18, 27, 8, 25
INVAR-1, Run: 042, P, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 4, 21, 6, 0, 1, 6, 18, 27, 4, 75
