Input Number, Run_Number, Result@ 100, X1, X2, U, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 077, P, 38, 0, 0, 41, 72, 27, 31
INVAR-1, Run: 078, P, 0, 19, 19, 28, 34, 33, 25
INVAR-1, Run: 079, P, 0, 16, 22, 95, 145, 97, 72
INVAR-1, Run: 080, P, 0, 20, 18, 6, 7, 12, 19
INVAR-1, Run: 081, P, 0, 23, 15, 5, 8, 14, 18
INVAR-1, Run: 082, P, 0, 20, 18, 8, 4, 14, 14
INVAR-1, Run: 083, P, 0, 21, 17, 10, 6, 17, 13
INVAR-1, Run: 084, P, 0, 19, 19, 35, 48, 40, 32
INVAR-1, Run: 085, P, 0, 20, 18, 10, 10, 16, 18
INVAR-1, Run: 086, P, 0, 18, 20, 16, 15, 20, 19
INVAR-1, Run: 087, P, 0, 15, 23, 25, 29, 26, 27
INVAR-1, Run: 088, P, 0, 21, 17, 12, 13, 19, 18
INVAR-1, Run: 089, P, 0, 13, 25, 10, 10, 9, 25
INVAR-1, Run: 090, P, 0, 12, 26, 40, 54, 38, 40
INVAR-1, Run: 091, P, 0, 17, 21, 26, 33, 29, 28
INVAR-1, Run: 092, P, 38, 0, 0, 36, 65, 22, 29
INVAR-1, Run: 093, P, 0, 21, 17, 6, 2, 13, 13
INVAR-1, Run: 094, P, 0, 16, 22, 49, 81, 51, 54
INVAR-1, Run: 095, P, 0, 15, 23, 20, 16, 21, 19
INVAR-1, Run: 096, P, 0, 18, 20, 10, 8, 14, 18
INVAR-1, Run: 097, P, 0, 14, 24, 12, 8, 12, 20
INVAR-1, Run: 098, P, 38, 0, 0, 58, 116, 44, 58
INVAR-1, Run: 099, P, 38, 0, 0, 39, 65, 25, 26
INVAR-1, Run: 100, P, 0, 12, 26, 33, 40, 31, 33
INVAR-10, Run: 001, P, 12, 0, 0, 7, 10, 2, 3
INVAR-10, Run: 002, P, 0, 10, 2, 0, 0, 5, 2
INVAR-10, Run: 003, P, 0, 9, 3, 2, 0, 6, 1
INVAR-10, Run: 004, P, 0, 6, 6, 5, 5, 6, 6
INVAR-10, Run: 005, P, 0, 8, 4, 5, 5, 8, 4
INVAR-10, Run: 006, P, 0, 5, 7, 6, 0, 6, 1
