Input Number, Run_Number, Result@ 100, H, PO, X1, M, CE, Y, D, CO, PE, A, B
INVAR-1, Run: 001, F, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0
INVAR-1, Run: 002, F, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0
INVAR-1, Run: 003, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0
INVAR-1, Run: 004, F, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0
INVAR-1, Run: 005, F, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0
INVAR-1, Run: 006, F, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0
INVAR-1, Run: 007, F, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0
INVAR-1, Run: 008, F, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0
INVAR-1, Run: 009, F, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0
INVAR-1, Run: 010, F, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0
INVAR-1, Run: 011, F, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0
INVAR-1, Run: 012, F, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0
INVAR-1, Run: 013, F, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0
INVAR-1, Run: 014, F, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0
INVAR-1, Run: 015, F, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0
INVAR-1, Run: 016, F, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0
INVAR-1, Run: 017, F, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0
INVAR-1, Run: 018, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0
INVAR-1, Run: 019, F, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0
INVAR-1, Run: 020, F, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0
