Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction8, Reaction9
INVAR-1, Run: 021, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 57, 60, 0, 0, 0, 0, 0, 0, 0, 437, 0, 0, 0, 0, 0, 0, 296, 217, 160, 141, 79
INVAR-1, Run: 022, E, 10, 0, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 1, 2, 3, 1, 5, 10, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 128, 115, 110, 18, 13
INVAR-1, Run: 023, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 61, 82, 0, 0, 0, 0, 0, 0, 0, 564, 0, 0, 0, 0, 0, 0, 373, 243, 182, 191, 130
INVAR-1, Run: 024, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 55, 195, 0, 0, 0, 0, 0, 0, 0, 586, 0, 0, 0, 0, 0, 0, 430, 350, 295, 156, 80
INVAR-1, Run: 025, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 62, 65, 0, 0, 0, 0, 0, 0, 0, 447, 0, 0, 0, 0, 0, 0, 309, 227, 165, 138, 82
INVAR-1, Run: 026, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 111, 140, 0, 0, 0, 0, 0, 0, 0, 750, 0, 0, 0, 0, 0, 0, 523, 351, 240, 227, 172
INVAR-1, Run: 027, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 55, 194, 0, 0, 0, 0, 0, 0, 0, 638, 0, 0, 0, 0, 0, 0, 458, 349, 294, 180, 109
INVAR-1, Run: 028, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 81, 104, 0, 0, 0, 0, 0, 0, 0, 631, 0, 0, 0, 0, 0, 0, 408, 285, 204, 223, 123
INVAR-1, Run: 029, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 35, 128, 0, 0, 0, 0, 0, 0, 0, 410, 0, 0, 0, 0, 0, 0, 321, 263, 228, 89, 58
INVAR-1, Run: 030, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 108, 180, 0, 0, 0, 0, 0, 0, 0, 827, 0, 0, 0, 0, 0, 0, 556, 388, 280, 271, 168
