Input Number, Run_Number, Result@ 100, Y, B, X1, A, C, PO, D, CO, PE, CE, E, F
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 36, 19, 1, 2, 8, 1
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 2, 8, 0
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 0, 9, 0
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 38, 17, 1, 2, 8, 1
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 24, 31, 1, 0, 9, 1
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 38, 17, 1, 2, 8, 1
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 0, 9, 0
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 44, 11, 1, 0, 9, 1
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 0, 9, 0
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 0, 9, 0
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 2, 8, 0
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 0, 48, 7, 1, 2, 8, 1
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 52, 3, 1, 2, 8, 1
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 2, 8, 0
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 0, 42, 13, 1, 0, 9, 1
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 30, 25, 1, 0, 9, 1
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 2, 8, 0
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 0, 9, 0
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 0, 48, 7, 1, 2, 8, 1
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 0, 46, 9, 1, 0, 9, 1
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 0, 32, 23, 1, 2, 8, 1
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 0, 26, 29, 1, 0, 9, 1
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 34, 21, 1, 0, 9, 1
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 8, 47, 1, 0, 9, 1
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 18, 36, 1, 2, 8, 0
