Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9, NEW_REACTION
INVAR-1, Run: 001, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0, 18, 21, 60, 9, 4, 4, 14, 8, 12, 35, 60, 10
INVAR-1, Run: 002, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0, 18, 14, 61, 9, 7, 1, 14, 8, 12, 28, 61, 10
INVAR-1, Run: 003, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1, 18, 22, 37, 9, 4, 4, 13, 9, 13, 35, 37, 9
INVAR-1, Run: 004, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1, 18, 14, 48, 9, 6, 2, 12, 11, 16, 26, 48, 7
INVAR-1, Run: 005, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0, 18, 24, 75, 9, 5, 3, 14, 8, 12, 38, 75, 10
INVAR-1, Run: 006, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0, 18, 28, 89, 9, 4, 4, 14, 8, 12, 42, 89, 10
INVAR-1, Run: 007, P, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0, 18, 4, 27, 9, 7, 1, 12, 12, 18, 16, 27, 6
INVAR-1, Run: 008, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0, 18, 31, 93, 9, 5, 3, 13, 10, 15, 44, 93, 8
INVAR-1, Run: 009, P, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0, 18, 17, 61, 9, 7, 1, 12, 12, 18, 29, 61, 6
INVAR-1, Run: 010, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1, 18, 14, 97, 9, 6, 2, 12, 11, 16, 26, 97, 7
INVAR-1, Run: 011, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1, 18, 24, 70, 9, 7, 1, 13, 9, 13, 37, 70, 9
INVAR-1, Run: 012, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0, 18, 29, 76, 9, 7, 1, 13, 10, 15, 42, 76, 8
INVAR-1, Run: 013, P, 0, 1, 0, 0, 15, 15, 0, 0, 1, 16, 1, 18, 19, 37, 9, 5, 3, 15, 5, 7, 34, 37, 13
INVAR-1, Run: 014, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1, 18, 20, 67, 9, 5, 3, 12, 11, 16, 32, 67, 7
INVAR-1, Run: 015, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 13, 30, 9, 6, 2, 14, 7, 10, 27, 30, 11
INVAR-1, Run: 016, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1, 18, 11, 49, 9, 6, 2, 13, 9, 13, 24, 49, 9
INVAR-1, Run: 017, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 37, 74, 9, 5, 3, 14, 7, 10, 51, 74, 11
INVAR-1, Run: 018, P, 0, 1, 0, 0, 11, 11, 0, 0, 1, 40, 1, 18, 18, 116, 9, 7, 1, 11, 13, 19, 29, 116, 5
INVAR-1, Run: 019, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0, 18, 11, 59, 9, 8, 0, 13, 10, 15, 24, 59, 8
INVAR-1, Run: 020, P, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0, 18, 11, 62, 9, 7, 1, 12, 12, 18, 23, 62, 6
INVAR-1, Run: 021, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1, 18, 19, 36, 9, 5, 3, 13, 9, 13, 32, 36, 9
INVAR-1, Run: 022, P, 0, 1, 0, 0, 15, 15, 0, 0, 1, 16, 1, 18, 35, 28, 9, 7, 1, 15, 5, 7, 50, 28, 13
INVAR-1, Run: 023, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 16, 23, 9, 4, 4, 14, 7, 10, 30, 23, 11
INVAR-1, Run: 024, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 27, 31, 9, 5, 3, 14, 7, 10, 41, 31, 11
INVAR-1, Run: 025, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1, 18, 19, 79, 9, 8, 0, 12, 11, 16, 31, 79, 7
