Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, prey_g616, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 041, P, 1, 1, 0, 2, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 110, 0, 89, 78, 77, 90, 90, 74, 52, 90, 1, 109, 1, 21, 46, 11, 24, 107, 11, 11, 2, 108, 97, 101, 100, 17, 17, 17, 17, 13, 10, 17, 16, 97, 16, 6, 43, 3, 43, 43, 11, 11, 99, 74, 91, 1, 1
INVAR-1, Run: 042, P, 1, 1, 0, 1, 4, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 102, 2, 114, 112, 108, 82, 82, 74, 43, 73, 1, 101, 1, 31, 42, 6, 15, 76, 15, 15, 22, 98, 108, 117, 115, 37, 37, 35, 35, 35, 20, 20, 14, 108, 14, 14, 30, 15, 30, 30, 6, 6, 105, 88, 113, 1, 1
INVAR-1, Run: 043, P, 1, 1, 0, 1, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 89, 0, 118, 118, 116, 111, 110, 129, 81, 40, 1, 88, 1, 46, 22, 3, 24, 73, 2, 2, 2, 75, 89, 52, 51, 16, 16, 17, 17, 9, 9, 10, 8, 89, 8, 7, 18, 0, 18, 18, 3, 3, 79, 55, 119, 1, 1
INVAR-1, Run: 044, P, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 97, 0, 101, 94, 94, 99, 99, 101, 58, 93, 1, 95, 1, 43, 46, 15, 30, 105, 4, 4, 2, 107, 86, 100, 100, 29, 29, 34, 34, 33, 16, 27, 4, 85, 4, 12, 47, 17, 47, 47, 15, 15, 100, 69, 101, 0, 0
INVAR-1, Run: 045, P, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 107, 0, 102, 107, 105, 102, 101, 92, 57, 102, 1, 106, 1, 35, 51, 5, 37, 74, 18, 18, 24, 98, 102, 110, 110, 28, 28, 25, 25, 24, 15, 9, 18, 101, 18, 4, 51, 9, 51, 51, 5, 5, 129, 92, 102, 0, 0
INVAR-1, Run: 046, P, 1, 2, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 94, 1, 92, 97, 97, 105, 104, 100, 63, 49, 1, 92, 1, 37, 24, 1, 24, 83, 0, 0, 0, 81, 86, 90, 89, 13, 13, 13, 13, 11, 6, 2, 0, 86, 0, 1, 25, 5, 25, 25, 1, 1, 71, 47, 93, 1, 1
INVAR-1, Run: 047, P, 1, 1, 0, 2, 1, 1, 1, 0, 4, 3, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 97, 2, 104, 82, 81, 87, 86, 63, 40, 52, 1, 96, 1, 23, 23, 2, 19, 105, 0, 0, 0, 104, 88, 111, 111, 8, 8, 20, 20, 15, 5, 7, 0, 87, 0, 5, 25, 10, 26, 25, 2, 2, 98, 75, 104, 3, 3
INVAR-1, Run: 048, P, 1, 2, 0, 1, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 1, 2, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 1, 123, 0, 88, 92, 92, 88, 87, 81, 54, 104, 1, 121, 1, 26, 49, 2, 42, 115, 0, 0, 0, 113, 129, 129, 126, 6, 6, 10, 10, 9, 8, 3, 0, 128, 0, 1, 52, 1, 53, 53, 2, 2, 117, 74, 89, 0, 0
INVAR-1, Run: 049, P, 1, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 102, 1, 95, 84, 81, 98, 98, 107, 68, 60, 1, 102, 1, 39, 32, 9, 24, 92, 0, 0, 0, 90, 63, 98, 98, 14, 14, 8, 8, 14, 12, 14, 0, 63, 0, 5, 27, 2, 28, 28, 9, 9, 81, 57, 95, 1, 1
INVAR-1, Run: 050, P, 1, 1, 0, 0, 2, 1, 0, 1, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 91, 3, 99, 100, 98, 95, 95, 73, 52, 69, 1, 90, 1, 20, 27, 7, 16, 76, 2, 2, 2, 77, 98, 97, 96, 12, 12, 17, 17, 11, 11, 12, 5, 98, 5, 5, 38, 0, 40, 39, 7, 7, 86, 68, 96, 3, 3
INVAR-1, Run: 051, P, 1, 2, 0, 0, 0, 1, 1, 2, 0, 3, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 102, 0, 94, 91, 91, 93, 92, 97, 59, 58, 1, 100, 1, 36, 31, 7, 33, 103, 0, 0, 0, 103, 86, 93, 93, 17, 17, 9, 9, 10, 9, 9, 1, 84, 1, 2, 24, 1, 24, 24, 7, 7, 92, 59, 94, 0, 0
INVAR-1, Run: 052, P, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 1, 101, 2, 102, 95, 94, 103, 102, 107, 76, 57, 1, 101, 1, 31, 25, 5, 24, 79, 11, 11, 20, 99, 87, 88, 87, 23, 23, 18, 18, 15, 10, 18, 20, 85, 20, 13, 27, 5, 30, 29, 5, 5, 74, 50, 100, 2, 2
INVAR-1, Run: 053, P, 1, 1, 0, 2, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 97, 0, 90, 89, 88, 109, 108, 82, 55, 44, 1, 96, 1, 27, 19, 14, 29, 79, 7, 7, 11, 87, 80, 117, 114, 64, 64, 50, 50, 66, 44, 36, 18, 78, 18, 22, 25, 22, 25, 25, 14, 14, 82, 53, 92, 0, 0
INVAR-1, Run: 054, P, 1, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90, 0, 100, 94, 92, 128, 128, 144, 94, 51, 1, 90, 1, 50, 30, 3, 33, 101, 5, 5, 4, 104, 85, 86, 86, 16, 16, 13, 13, 12, 7, 5, 4, 84, 4, 2, 21, 5, 21, 21, 3, 3, 89, 55, 101, 0, 0
INVAR-1, Run: 055, P, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 91, 2, 79, 80, 79, 112, 112, 142, 94, 44, 1, 90, 1, 48, 16, 1, 38, 118, 0, 0, 0, 117, 90, 134, 133, 1, 1, 0, 0, 1, 1, 1, 0, 90, 0, 0, 27, 0, 28, 28, 1, 1, 92, 53, 78, 1, 1
INVAR-1, Run: 056, P, 1, 0, 0, 1, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 101, 0, 82, 87, 87, 96, 95, 83, 49, 82, 1, 101, 1, 31, 39, 4, 20, 95, 5, 5, 8, 102, 90, 99, 94, 14, 14, 20, 20, 13, 6, 9, 2, 90, 2, 5, 43, 7, 43, 43, 4, 4, 116, 96, 83, 0, 0
INVAR-1, Run: 057, P, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 95, 0, 99, 92, 92, 95, 95, 99, 59, 52, 1, 93, 1, 39, 28, 2, 23, 97, 0, 0, 0, 97, 67, 108, 108, 9, 9, 10, 10, 7, 2, 3, 1, 67, 1, 1, 24, 5, 24, 24, 2, 2, 74, 51, 99, 0, 0
INVAR-1, Run: 058, P, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101, 7, 102, 116, 115, 99, 98, 93, 58, 71, 1, 101, 1, 33, 36, 5, 21, 68, 13, 13, 18, 86, 91, 100, 100, 28, 28, 40, 40, 31, 14, 8, 15, 91, 15, 3, 35, 17, 35, 35, 5, 5, 82, 61, 96, 1, 1
INVAR-1, Run: 059, P, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 6, 0, 0, 0, 0, 1, 1, 0, 1, 100, 1, 113, 136, 136, 118, 118, 131, 55, 94, 1, 100, 1, 76, 44, 1, 28, 105, 0, 0, 0, 103, 112, 116, 110, 2, 2, 0, 0, 2, 1, 1, 0, 112, 0, 0, 48, 1, 50, 49, 1, 1, 130, 102, 114, 1, 1
INVAR-1, Run: 060, P, 1, 5, 0, 1, 2, 1, 1, 0, 4, 1, 0, 8, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 110, 0, 97, 93, 91, 89, 88, 92, 64, 63, 1, 105, 1, 28, 27, 11, 26, 110, 11, 11, 7, 117, 106, 119, 118, 24, 24, 37, 37, 32, 23, 20, 21, 98, 21, 9, 34, 9, 35, 34, 11, 11, 107, 77, 98, 0, 0
INVAR-1, Run: 061, P, 1, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 89, 12, 110, 107, 107, 113, 113, 126, 86, 53, 1, 88, 1, 40, 28, 8, 27, 95, 10, 10, 14, 109, 86, 124, 124, 23, 23, 33, 33, 21, 9, 12, 7, 85, 7, 4, 22, 12, 24, 22, 8, 8, 69, 40, 99, 6, 6
INVAR-1, Run: 062, P, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 99, 0, 86, 70, 70, 102, 102, 93, 71, 65, 1, 98, 1, 22, 29, 4, 32, 97, 0, 0, 0, 94, 97, 101, 100, 9, 9, 5, 5, 3, 3, 7, 0, 96, 0, 3, 36, 0, 36, 36, 4, 4, 96, 64, 87, 1, 1
INVAR-1, Run: 063, P, 1, 2, 0, 1, 0, 1, 0, 0, 2, 2, 0, 3, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 86, 1, 88, 79, 79, 86, 86, 94, 70, 56, 1, 84, 1, 24, 20, 2, 23, 106, 2, 2, 3, 108, 90, 106, 105, 9, 9, 10, 10, 9, 4, 2, 2, 87, 2, 0, 32, 5, 34, 32, 2, 2, 76, 51, 88, 3, 3
INVAR-1, Run: 064, P, 1, 1, 0, 1, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 98, 6, 102, 105, 102, 103, 102, 120, 79, 101, 1, 97, 1, 39, 43, 5, 40, 76, 8, 8, 14, 90, 108, 101, 100, 20, 20, 28, 28, 26, 15, 9, 33, 108, 33, 4, 58, 11, 58, 58, 5, 5, 120, 80, 97, 4, 4
INVAR-1, Run: 065, P, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 98, 0, 73, 74, 74, 103, 102, 93, 57, 54, 1, 98, 1, 36, 28, 4, 21, 116, 1, 1, 0, 116, 84, 117, 117, 18, 18, 16, 16, 15, 7, 8, 1, 84, 1, 4, 26, 8, 26, 26, 4, 4, 77, 56, 74, 0, 0
INVAR-1, Run: 066, P, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 90, 0, 105, 89, 89, 99, 99, 116, 77, 88, 1, 90, 1, 39, 45, 2, 41, 115, 2, 2, 1, 115, 83, 116, 115, 5, 5, 7, 7, 6, 2, 4, 1, 83, 1, 2, 43, 4, 43, 43, 2, 2, 114, 71, 106, 0, 0
INVAR-1, Run: 067, P, 1, 2, 0, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 90, 0, 96, 100, 99, 112, 111, 109, 76, 67, 1, 88, 1, 31, 26, 14, 24, 87, 0, 0, 0, 85, 72, 77, 73, 14, 14, 12, 12, 17, 15, 28, 0, 72, 0, 14, 41, 2, 41, 41, 14, 14, 84, 60, 97, 0, 0
INVAR-1, Run: 068, P, 1, 1, 0, 2, 0, 1, 4, 3, 1, 0, 0, 2, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 108, 3, 92, 93, 93, 99, 95, 96, 68, 68, 1, 107, 1, 25, 31, 3, 19, 105, 4, 4, 5, 108, 134, 125, 124, 22, 22, 42, 42, 21, 6, 8, 7, 132, 7, 5, 36, 15, 37, 37, 3, 3, 90, 70, 91, 5, 5
INVAR-1, Run: 069, P, 1, 2, 0, 2, 3, 1, 1, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 78, 0, 106, 105, 102, 95, 94, 94, 42, 68, 1, 76, 1, 52, 29, 3, 27, 102, 0, 0, 0, 102, 96, 114, 114, 8, 8, 8, 8, 6, 5, 5, 0, 93, 0, 2, 39, 1, 39, 39, 3, 3, 98, 70, 108, 0, 0
INVAR-1, Run: 070, P, 1, 0, 0, 3, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 95, 3, 90, 88, 88, 106, 105, 101, 64, 79, 1, 95, 1, 35, 40, 5, 36, 97, 9, 9, 8, 103, 85, 109, 109, 17, 17, 8, 8, 14, 12, 15, 8, 85, 8, 10, 39, 2, 39, 39, 5, 5, 110, 74, 90, 2, 2
INVAR-1, Run: 071, P, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 1, 101, 17, 103, 105, 105, 101, 100, 98, 69, 95, 1, 100, 1, 29, 51, 3, 32, 99, 1, 1, 0, 98, 97, 78, 75, 6, 6, 6, 6, 5, 3, 4, 2, 97, 2, 1, 43, 2, 44, 44, 3, 3, 122, 89, 86, 8, 8
INVAR-1, Run: 072, P, 1, 3, 0, 1, 1, 1, 0, 0, 2, 1, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 1, 117, 0, 105, 100, 99, 98, 98, 76, 49, 84, 1, 114, 1, 27, 40, 5, 38, 101, 1, 1, 0, 100, 114, 102, 100, 3, 3, 6, 6, 4, 3, 5, 4, 112, 4, 0, 41, 1, 43, 42, 5, 5, 114, 74, 106, 0, 0
INVAR-1, Run: 073, P, 1, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 1, 99, 2, 90, 86, 86, 111, 111, 105, 60, 110, 1, 99, 1, 44, 46, 5, 29, 93, 13, 13, 16, 107, 115, 88, 87, 13, 13, 17, 17, 19, 11, 13, 11, 115, 11, 8, 59, 8, 62, 61, 5, 5, 120, 91, 89, 2, 2
INVAR-1, Run: 074, P, 1, 1, 0, 0, 0, 1, 1, 0, 3, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 108, 0, 90, 73, 73, 94, 93, 82, 59, 125, 1, 107, 1, 23, 60, 5, 24, 101, 0, 0, 0, 101, 117, 83, 83, 17, 17, 19, 19, 13, 7, 11, 1, 115, 1, 6, 63, 6, 63, 63, 5, 5, 124, 97, 90, 0, 0
INVAR-1, Run: 075, P, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 115, 0, 90, 117, 117, 86, 86, 76, 41, 80, 1, 115, 1, 35, 47, 2, 16, 120, 0, 0, 0, 119, 96, 109, 107, 10, 10, 4, 4, 9, 6, 3, 0, 96, 0, 1, 32, 3, 32, 32, 2, 2, 97, 81, 92, 0, 0
INVAR-1, Run: 076, P, 1, 2, 0, 1, 1, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 111, 0, 104, 97, 96, 110, 110, 113, 82, 82, 1, 109, 1, 30, 45, 2, 31, 104, 0, 0, 0, 104, 121, 110, 110, 26, 26, 19, 19, 15, 9, 6, 0, 119, 0, 4, 37, 6, 37, 37, 2, 2, 110, 79, 105, 1, 1
INVAR-1, Run: 077, P, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 92, 0, 89, 101, 99, 108, 108, 122, 71, 64, 1, 92, 1, 51, 29, 3, 25, 110, 4, 4, 1, 110, 87, 119, 117, 10, 10, 6, 6, 8, 6, 5, 6, 87, 6, 2, 35, 2, 35, 35, 3, 3, 84, 59, 90, 0, 0
INVAR-1, Run: 078, P, 1, 2, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 1, 111, 0, 104, 101, 101, 89, 87, 94, 54, 83, 1, 109, 1, 39, 39, 12, 35, 102, 0, 0, 0, 101, 116, 108, 105, 14, 14, 10, 10, 15, 12, 18, 0, 115, 0, 6, 42, 3, 44, 44, 12, 12, 101, 66, 104, 0, 0
INVAR-1, Run: 079, P, 1, 2, 0, 2, 2, 1, 3, 0, 0, 0, 0, 3, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 101, 0, 102, 95, 93, 106, 103, 95, 52, 76, 1, 99, 1, 43, 32, 7, 26, 88, 6, 6, 4, 90, 82, 92, 91, 28, 28, 20, 20, 18, 15, 11, 4, 79, 4, 4, 43, 3, 44, 43, 7, 7, 98, 72, 104, 1, 1
INVAR-1, Run: 080, P, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 100, 0, 96, 80, 80, 99, 97, 81, 61, 68, 1, 100, 1, 20, 30, 7, 16, 72, 7, 7, 9, 79, 96, 74, 70, 12, 12, 20, 20, 11, 6, 14, 8, 96, 8, 7, 38, 5, 38, 38, 7, 7, 93, 77, 96, 0, 0
INVAR-1, Run: 081, P, 1, 2, 0, 2, 1, 1, 1, 1, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 92, 1, 95, 104, 103, 90, 89, 104, 67, 92, 1, 90, 1, 36, 45, 4, 38, 105, 1, 1, 3, 107, 110, 117, 117, 11, 11, 12, 12, 11, 6, 6, 3, 110, 3, 2, 44, 5, 47, 45, 4, 4, 125, 84, 96, 3, 3
INVAR-1, Run: 082, P, 1, 4, 0, 1, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 5, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 116, 0, 96, 93, 93, 97, 97, 98, 56, 84, 1, 112, 1, 42, 40, 2, 33, 105, 0, 0, 0, 100, 128, 93, 91, 5, 5, 1, 1, 3, 2, 3, 0, 128, 0, 1, 44, 1, 44, 44, 2, 2, 120, 84, 97, 2, 2
INVAR-1, Run: 083, P, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 87, 8, 81, 65, 65, 100, 100, 104, 73, 36, 1, 86, 1, 31, 19, 2, 20, 99, 2, 2, 2, 100, 90, 103, 101, 16, 16, 16, 16, 16, 9, 6, 2, 90, 2, 4, 17, 7, 17, 17, 2, 2, 81, 60, 74, 7, 7
INVAR-1, Run: 084, P, 1, 2, 0, 3, 4, 1, 0, 0, 2, 1, 0, 1, 0, 0, 1, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 101, 0, 93, 115, 111, 103, 103, 111, 72, 53, 1, 99, 1, 39, 30, 1, 35, 107, 0, 0, 0, 105, 101, 140, 137, 6, 6, 8, 8, 8, 2, 4, 0, 100, 0, 3, 22, 6, 22, 22, 1, 1, 102, 65, 96, 0, 0
INVAR-1, Run: 085, P, 1, 1, 0, 2, 2, 1, 1, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 1, 111, 0, 91, 102, 100, 100, 99, 117, 68, 62, 1, 110, 1, 48, 39, 5, 38, 101, 3, 3, 1, 101, 91, 110, 109, 5, 5, 3, 3, 12, 9, 10, 2, 89, 2, 5, 20, 3, 23, 22, 5, 5, 102, 63, 93, 0, 0
INVAR-1, Run: 086, P, 1, 1, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 105, 0, 107, 118, 117, 82, 82, 86, 57, 94, 1, 104, 1, 29, 53, 7, 36, 111, 0, 0, 0, 110, 117, 114, 111, 9, 9, 7, 7, 15, 15, 10, 0, 117, 0, 3, 40, 0, 40, 40, 7, 7, 123, 87, 109, 2, 2
INVAR-1, Run: 087, P, 1, 1, 0, 1, 4, 1, 3, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 94, 0, 119, 119, 115, 90, 87, 96, 54, 63, 1, 93, 1, 41, 37, 15, 27, 90, 0, 0, 0, 90, 91, 79, 79, 21, 21, 25, 25, 38, 28, 26, 0, 90, 0, 11, 24, 10, 25, 24, 15, 15, 91, 64, 120, 1, 1
INVAR-1, Run: 088, P, 1, 0, 0, 3, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 82, 3, 92, 83, 81, 99, 98, 118, 82, 73, 1, 82, 1, 36, 39, 5, 24, 90, 7, 7, 11, 99, 66, 111, 111, 38, 38, 56, 56, 41, 27, 12, 6, 65, 6, 7, 31, 14, 34, 32, 5, 5, 86, 62, 92, 2, 2
INVAR-1, Run: 089, P, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 1, 0, 1, 101, 0, 92, 94, 94, 104, 104, 87, 60, 74, 1, 101, 1, 27, 41, 4, 18, 88, 0, 0, 0, 88, 105, 71, 69, 19, 19, 19, 19, 16, 14, 15, 1, 105, 1, 11, 29, 2, 32, 31, 4, 4, 90, 72, 92, 0, 0
INVAR-1, Run: 090, P, 1, 0, 0, 0, 0, 1, 2, 5, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 107, 0, 93, 89, 89, 92, 90, 98, 66, 76, 1, 107, 1, 27, 36, 2, 26, 91, 5, 5, 7, 97, 111, 79, 79, 14, 14, 12, 12, 12, 7, 3, 4, 111, 4, 1, 39, 5, 40, 40, 2, 2, 114, 88, 93, 0, 0
INVAR-1, Run: 091, P, 1, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 94, 0, 90, 67, 67, 109, 108, 107, 74, 56, 1, 94, 1, 31, 27, 1, 22, 99, 0, 0, 0, 97, 101, 75, 74, 7, 7, 4, 4, 9, 8, 4, 0, 100, 0, 3, 29, 1, 29, 29, 1, 1, 70, 47, 90, 0, 0
INVAR-1, Run: 092, P, 1, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 93, 0, 100, 91, 90, 117, 117, 113, 82, 108, 1, 93, 1, 31, 54, 4, 31, 81, 7, 7, 4, 84, 109, 81, 80, 5, 5, 15, 15, 12, 7, 5, 6, 109, 6, 1, 54, 5, 54, 54, 4, 4, 103, 72, 103, 2, 2
INVAR-1, Run: 093, P, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 108, 0, 74, 69, 68, 86, 86, 77, 39, 79, 1, 106, 1, 38, 46, 7, 15, 75, 11, 11, 13, 87, 88, 88, 88, 22, 22, 41, 41, 40, 27, 22, 22, 88, 22, 15, 33, 13, 33, 33, 7, 7, 87, 72, 74, 1, 1
INVAR-1, Run: 094, P, 1, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 99, 9, 89, 90, 89, 112, 112, 125, 76, 25, 1, 99, 1, 49, 15, 4, 23, 98, 0, 0, 0, 97, 94, 91, 91, 6, 6, 9, 9, 10, 10, 10, 0, 93, 0, 6, 10, 0, 10, 10, 4, 4, 71, 46, 81, 8, 8
INVAR-1, Run: 095, P, 1, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 96, 2, 116, 119, 117, 91, 91, 83, 47, 77, 1, 95, 1, 36, 35, 8, 10, 118, 0, 0, 0, 117, 93, 113, 112, 13, 13, 14, 14, 13, 4, 11, 0, 92, 0, 3, 40, 9, 42, 41, 8, 8, 99, 88, 114, 2, 2
INVAR-1, Run: 096, P, 1, 2, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 102, 0, 91, 88, 87, 95, 94, 108, 76, 94, 1, 100, 1, 32, 47, 4, 42, 79, 9, 9, 6, 85, 102, 115, 114, 28, 28, 20, 20, 17, 12, 10, 6, 101, 6, 6, 47, 5, 47, 47, 4, 4, 122, 79, 91, 0, 0
