Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B
INVAR-1, Run: 001, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 348, 0
INVAR-1, Run: 002, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 378, 0
INVAR-1, Run: 003, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1
INVAR-1, Run: 004, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1
INVAR-1, Run: 005, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 370, 1
INVAR-1, Run: 006, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 306, 0
INVAR-1, Run: 007, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 336, 0
INVAR-1, Run: 008, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1
INVAR-1, Run: 009, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 300, 0
INVAR-1, Run: 010, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0
INVAR-1, Run: 011, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0
INVAR-1, Run: 012, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0
INVAR-1, Run: 013, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 394, 1
INVAR-1, Run: 014, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 364, 1
INVAR-1, Run: 015, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 318, 0
INVAR-1, Run: 016, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 348, 0
INVAR-1, Run: 017, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 360, 0
INVAR-1, Run: 018, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 364, 1
INVAR-1, Run: 019, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 366, 0
INVAR-1, Run: 020, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0
INVAR-1, Run: 021, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0
INVAR-1, Run: 022, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 354, 0
INVAR-1, Run: 023, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 400, 1
INVAR-1, Run: 024, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 348, 0
INVAR-1, Run: 025, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 370, 1
INVAR-1, Run: 026, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1
INVAR-1, Run: 027, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 352, 1
INVAR-1, Run: 028, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 436, 1
INVAR-1, Run: 029, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 342, 0
INVAR-1, Run: 030, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 322, 1
INVAR-1, Run: 031, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 382, 1
INVAR-1, Run: 032, P, 4, 0, 0, 0, 9, 9, 0, 0, 1, 394, 1
INVAR-1, Run: 033, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 334, 1
INVAR-1, Run: 034, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 334, 1
INVAR-1, Run: 035, P, 3, 0, 0, 0, 9, 9, 0, 0, 1, 336, 0
INVAR-1, Run: 036, P, 4, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0
INVAR-1, Run: 037, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 384, 0
INVAR-1, Run: 038, P, 4, 0, 0, 0, 9, 9, 0, 0, 1, 366, 0
INVAR-1, Run: 039, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 300, 0
INVAR-1, Run: 040, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 336, 0
INVAR-1, Run: 041, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 324, 0
INVAR-1, Run: 042, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 354, 0
INVAR-1, Run: 043, P, 3, 0, 0, 0, 9, 9, 0, 0, 1, 342, 0
INVAR-1, Run: 044, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 370, 1
INVAR-1, Run: 045, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 340, 1
INVAR-1, Run: 046, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 304, 1
INVAR-1, Run: 047, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 406, 1
INVAR-1, Run: 048, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 322, 1
INVAR-1, Run: 049, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 342, 0
INVAR-1, Run: 050, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0
INVAR-1, Run: 051, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 366, 0
INVAR-1, Run: 052, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 364, 1
INVAR-1, Run: 053, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 402, 0
INVAR-1, Run: 054, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 396, 0
INVAR-1, Run: 055, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0
INVAR-1, Run: 056, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 270, 0
INVAR-1, Run: 057, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 390, 0
INVAR-1, Run: 058, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 360, 0
INVAR-1, Run: 059, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 304, 1
INVAR-1, Run: 060, P, 3, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1
INVAR-1, Run: 061, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 294, 0
INVAR-1, Run: 062, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1
INVAR-1, Run: 063, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 282, 0
INVAR-1, Run: 064, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1
INVAR-1, Run: 065, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0
INVAR-1, Run: 066, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 324, 0
INVAR-1, Run: 067, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 322, 1
INVAR-1, Run: 068, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 366, 0
INVAR-1, Run: 069, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 418, 1
INVAR-1, Run: 070, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 298, 1
INVAR-1, Run: 071, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0
INVAR-1, Run: 072, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 390, 0
INVAR-1, Run: 073, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 360, 0
INVAR-1, Run: 074, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 396, 0
INVAR-1, Run: 075, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 412, 1
INVAR-1, Run: 076, P, 4, 0, 0, 0, 9, 9, 0, 0, 1, 298, 1
INVAR-1, Run: 077, P, 3, 0, 0, 0, 9, 9, 0, 0, 1, 318, 0
INVAR-1, Run: 078, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 310, 1
INVAR-1, Run: 079, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 334, 1
INVAR-1, Run: 080, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 354, 0
INVAR-1, Run: 081, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 304, 1
INVAR-1, Run: 082, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 342, 0
INVAR-1, Run: 083, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0
INVAR-1, Run: 084, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 312, 0
INVAR-1, Run: 085, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 324, 0
INVAR-1, Run: 086, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 394, 1
INVAR-1, Run: 087, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 384, 0
INVAR-1, Run: 088, P, 3, 0, 0, 0, 9, 9, 0, 0, 1, 388, 1
INVAR-1, Run: 089, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 402, 0
INVAR-1, Run: 090, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 310, 1
INVAR-1, Run: 091, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1
INVAR-1, Run: 092, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 292, 1
INVAR-1, Run: 093, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 352, 1
INVAR-1, Run: 094, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 412, 1
INVAR-1, Run: 095, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 312, 0
INVAR-1, Run: 096, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0
INVAR-1, Run: 097, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 382, 1
INVAR-1, Run: 098, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 396, 0
INVAR-1, Run: 099, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 382, 1
INVAR-1, Run: 100, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 324, 0
INVAR-10, Run: 001, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 924, 0
INVAR-10, Run: 002, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 880, 1
INVAR-10, Run: 003, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 964, 1
INVAR-10, Run: 004, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 906, 0
INVAR-10, Run: 005, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 846, 0
INVAR-10, Run: 006, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 850, 1
INVAR-10, Run: 007, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 894, 0
INVAR-10, Run: 008, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 856, 1
INVAR-10, Run: 009, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 888, 0
INVAR-10, Run: 010, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 910, 1
INVAR-10, Run: 011, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 888, 0
INVAR-10, Run: 012, P, 3, 0, 0, 0, 100, 100, 0, 0, 1, 934, 1
INVAR-10, Run: 013, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 892, 1
INVAR-10, Run: 014, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 888, 0
INVAR-10, Run: 015, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 978, 0
INVAR-10, Run: 016, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 904, 1
INVAR-10, Run: 017, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 864, 0
INVAR-10, Run: 018, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 882, 0
INVAR-10, Run: 019, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 898, 1
INVAR-10, Run: 020, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 906, 0
INVAR-10, Run: 021, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 874, 1
INVAR-10, Run: 022, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 928, 1
INVAR-10, Run: 023, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 888, 0
INVAR-10, Run: 024, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 922, 1
INVAR-10, Run: 025, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 900, 0
INVAR-10, Run: 026, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 838, 1
INVAR-10, Run: 027, P, 3, 0, 0, 0, 100, 100, 0, 0, 1, 930, 0
INVAR-10, Run: 028, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 912, 0
INVAR-10, Run: 029, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 940, 1
INVAR-10, Run: 030, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 964, 1
INVAR-10, Run: 031, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 904, 1
INVAR-10, Run: 032, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 934, 1
INVAR-10, Run: 033, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 900, 0
INVAR-10, Run: 034, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 850, 1
INVAR-10, Run: 035, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 904, 1
INVAR-10, Run: 036, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 904, 1
INVAR-10, Run: 037, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 934, 1
INVAR-10, Run: 038, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 964, 1
INVAR-10, Run: 039, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 912, 0
INVAR-10, Run: 040, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 912, 0
INVAR-10, Run: 041, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 910, 1
INVAR-10, Run: 042, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 870, 0
INVAR-10, Run: 043, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 882, 0
INVAR-10, Run: 044, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 912, 0
INVAR-10, Run: 045, P, 3, 0, 0, 0, 100, 100, 0, 0, 1, 882, 0
INVAR-10, Run: 046, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 870, 0
INVAR-10, Run: 047, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 924, 0
INVAR-10, Run: 048, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 928, 1
INVAR-10, Run: 049, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 928, 1
INVAR-10, Run: 050, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 828, 0
INVAR-10, Run: 051, P, 3, 0, 0, 0, 100, 100, 0, 0, 1, 870, 0
INVAR-10, Run: 052, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 912, 0
INVAR-10, Run: 053, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 880, 1
INVAR-10, Run: 054, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 916, 1
INVAR-10, Run: 055, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 900, 0
INVAR-10, Run: 056, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 934, 1
