Input Number, Run_Number, Result@ 100, X, Y, Z, XP, YP
13, Run: 001, P, 0, 0, 26, 0, 21
13, Run: 002, P, 0, 0, 20, 0, 15
13, Run: 003, P, 0, 0, 24, 0, 19
13, Run: 004, P, 0, 0, 24, 0, 19
13, Run: 005, P, 0, 0, 26, 0, 21
13, Run: 006, P, 0, 0, 24, 0, 19
13, Run: 007, P, 0, 0, 24, 0, 19
13, Run: 008, P, 0, 0, 28, 0, 23
13, Run: 009, P, 0, 0, 20, 0, 15
13, Run: 010, P, 0, 0, 20, 0, 15
13, Run: 011, P, 0, 0, 22, 0, 17
13, Run: 012, P, 0, 0, 20, 0, 15
13, Run: 013, P, 0, 0, 20, 0, 15
13, Run: 014, P, 0, 0, 22, 0, 17
13, Run: 015, P, 0, 0, 26, 0, 21
13, Run: 016, P, 0, 0, 20, 0, 15
13, Run: 017, P, 0, 0, 22, 0, 17
13, Run: 018, P, 0, 0, 22, 0, 17
13, Run: 019, P, 0, 0, 20, 0, 15
13, Run: 020, P, 0, 0, 24, 0, 19
13, Run: 021, P, 0, 0, 24, 0, 19
13, Run: 022, P, 0, 0, 22, 0, 17
13, Run: 023, P, 0, 0, 24, 0, 19
13, Run: 024, P, 0, 0, 24, 0, 19
13, Run: 025, P, 0, 0, 24, 0, 19
13, Run: 026, P, 0, 0, 22, 0, 17
13, Run: 027, P, 0, 0, 24, 0, 19
13, Run: 028, P, 0, 0, 24, 0, 19
13, Run: 029, P, 0, 0, 22, 0, 17
13, Run: 030, P, 0, 0, 22, 0, 17
13, Run: 031, P, 0, 0, 22, 0, 17
13, Run: 032, P, 0, 0, 22, 0, 17
13, Run: 033, P, 0, 0, 26, 0, 21
13, Run: 034, P, 0, 0, 24, 0, 19
13, Run: 035, P, 0, 0, 22, 0, 17
13, Run: 036, P, 0, 0, 26, 0, 21
13, Run: 037, P, 0, 0, 24, 0, 19
13, Run: 038, P, 0, 0, 26, 0, 21
13, Run: 039, P, 0, 0, 24, 0, 19
13, Run: 040, P, 0, 0, 24, 0, 19
13, Run: 041, P, 0, 0, 20, 0, 15
13, Run: 042, P, 0, 0, 24, 0, 19
13, Run: 043, P, 0, 0, 22, 0, 17
13, Run: 044, P, 0, 0, 18, 0, 13
13, Run: 045, P, 0, 0, 22, 0, 17
13, Run: 046, P, 0, 0, 22, 0, 17
13, Run: 047, P, 0, 0, 24, 0, 19
13, Run: 048, P, 0, 0, 24, 0, 19
13, Run: 049, P, 0, 0, 22, 0, 17
13, Run: 050, P, 0, 0, 22, 0, 17
13, Run: 051, P, 0, 0, 24, 0, 19
13, Run: 052, P, 0, 0, 24, 0, 19
13, Run: 053, P, 0, 0, 26, 0, 21
13, Run: 054, P, 0, 0, 22, 0, 17
13, Run: 055, P, 0, 0, 24, 0, 19
13, Run: 056, P, 0, 0, 28, 0, 23
13, Run: 057, P, 0, 0, 24, 0, 19
13, Run: 058, P, 0, 0, 22, 0, 17
13, Run: 059, P, 0, 0, 24, 0, 19
13, Run: 060, P, 0, 0, 26, 0, 21
13, Run: 061, P, 0, 0, 24, 0, 19
13, Run: 062, P, 0, 0, 24, 0, 19
13, Run: 063, P, 0, 0, 22, 0, 17
13, Run: 064, P, 0, 0, 26, 0, 21
13, Run: 065, P, 0, 0, 20, 0, 15
13, Run: 066, P, 0, 0, 26, 0, 21
13, Run: 067, P, 0, 0, 24, 0, 19
13, Run: 068, P, 0, 0, 22, 0, 17
13, Run: 069, P, 0, 0, 24, 0, 19
13, Run: 070, P, 0, 0, 26, 0, 21
13, Run: 071, P, 0, 0, 20, 0, 15
13, Run: 072, P, 0, 0, 24, 0, 19
13, Run: 073, P, 0, 0, 22, 0, 17
13, Run: 074, P, 0, 0, 24, 0, 19
13, Run: 075, P, 0, 0, 20, 0, 15
13, Run: 076, P, 0, 0, 22, 0, 17
13, Run: 077, P, 0, 0, 26, 0, 21
13, Run: 078, P, 0, 0, 26, 0, 21
13, Run: 079, P, 0, 0, 20, 0, 15
13, Run: 080, P, 0, 0, 26, 0, 21
13, Run: 081, P, 0, 0, 22, 0, 17
13, Run: 082, P, 0, 0, 26, 0, 21
13, Run: 083, P, 0, 0, 22, 0, 17
13, Run: 084, P, 0, 0, 24, 0, 19
13, Run: 085, P, 0, 0, 24, 0, 19
13, Run: 086, P, 0, 0, 26, 0, 21
13, Run: 087, P, 0, 0, 18, 0, 13
13, Run: 088, P, 0, 0, 26, 0, 21
13, Run: 089, P, 0, 0, 22, 0, 17
13, Run: 090, P, 0, 0, 24, 0, 19
13, Run: 091, P, 0, 0, 24, 0, 19
13, Run: 092, P, 0, 0, 24, 0, 19
13, Run: 093, P, 0, 0, 22, 0, 17
13, Run: 094, P, 0, 0, 24, 0, 19
13, Run: 095, P, 0, 0, 22, 0, 17
13, Run: 096, P, 0, 0, 20, 0, 15
13, Run: 097, P, 0, 0, 20, 0, 15
13, Run: 098, P, 0, 0, 28, 0, 23
13, Run: 099, P, 0, 0, 24, 0, 19
13, Run: 100, P, 0, 0, 26, 0, 21
14, Run: 001, P, 0, 0, 170, 0, 77
14, Run: 002, P, 0, 0, 190, 0, 97
14, Run: 003, P, 0, 0, 176, 0, 83
14, Run: 004, P, 0, 0, 164, 0, 71
14, Run: 005, P, 0, 0, 186, 0, 93
14, Run: 006, P, 0, 0, 166, 0, 73
14, Run: 007, P, 0, 0, 180, 0, 87
14, Run: 008, P, 0, 0, 180, 0, 87
14, Run: 009, P, 0, 0, 188, 0, 95
14, Run: 010, P, 0, 0, 172, 0, 79
14, Run: 011, P, 0, 0, 166, 0, 73
14, Run: 012, P, 0, 0, 172, 0, 79
14, Run: 013, P, 0, 0, 174, 0, 81
14, Run: 014, P, 0, 0, 170, 0, 77
14, Run: 015, P, 0, 0, 186, 0, 93
14, Run: 016, P, 0, 0, 190, 0, 97
14, Run: 017, P, 0, 0, 184, 0, 91
14, Run: 018, P, 0, 0, 184, 0, 91
14, Run: 019, P, 0, 0, 158, 0, 65
14, Run: 020, P, 0, 0, 176, 0, 83
