Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 18, 96, 8, 6, 96, 7, 3, 3, 8, 11, 18, 462, 233
INVAR-1, Run: 002, F, 0, 16, 0, 0, 0, 0, 0, 46, 0, 2, 1, 2, 8, 18, 56, 7, 5, 56, 5, 4, 0, 8, 13, 18, 136, 72
INVAR-1, Run: 003, F, 0, 9, 0, 0, 0, 0, 0, 52, 0, 4, 1, 4, 2, 18, 40, 7, 3, 40, 8, 2, 5, 7, 10, 18, 84, 43
INVAR-1, Run: 004, F, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 18, 97, 4, 4, 97, 7, 4, 2, 9, 11, 18, 408, 206
INVAR-1, Run: 005, F, 0, 13, 0, 0, 0, 0, 0, 25, 25, 25, 0, 0, 4, 18, 64, 4, 4, 39, 7, 5, 2, 9, 11, 18, 54, 29
INVAR-1, Run: 006, F, 0, 13, 0, 0, 0, 0, 0, 17, 33, 33, 0, 0, 4, 18, 61, 3, 3, 28, 7, 6, 1, 9, 11, 18, 118, 61
INVAR-1, Run: 007, F, 0, 17, 0, 0, 0, 0, 0, 14, 32, 32, 0, 0, 8, 18, 91, 4, 4, 59, 5, 4, 1, 9, 13, 18, 176, 92
INVAR-1, Run: 008, F, 0, 15, 0, 0, 0, 0, 0, 3, 45, 45, 0, 0, 6, 18, 92, 3, 3, 47, 6, 3, 3, 9, 12, 18, 146, 76
INVAR-1, Run: 009, F, 0, 17, 0, 0, 0, 0, 0, 13, 33, 33, 0, 0, 8, 18, 63, 1, 1, 30, 5, 5, 0, 9, 13, 18, 106, 57
INVAR-1, Run: 010, F, 0, 15, 0, 0, 0, 0, 0, 12, 36, 36, 0, 0, 6, 18, 93, 9, 9, 57, 6, 3, 3, 9, 12, 18, 154, 80
INVAR-1, Run: 011, F, 0, 17, 0, 0, 0, 0, 0, 23, 23, 23, 0, 0, 8, 18, 76, 7, 7, 53, 5, 3, 2, 9, 13, 18, 202, 105
INVAR-1, Run: 012, F, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 2, 18, 71, 8, 8, 71, 8, 4, 3, 9, 10, 18, 186, 94
INVAR-1, Run: 013, F, 0, 15, 0, 0, 0, 0, 0, 11, 37, 37, 0, 0, 6, 18, 119, 4, 4, 82, 6, 5, 1, 9, 12, 18, 120, 63
INVAR-1, Run: 014, F, 0, 13, 0, 0, 0, 0, 0, 3, 47, 47, 0, 0, 4, 18, 163, 3, 3, 116, 7, 3, 4, 9, 11, 18, 122, 63
INVAR-1, Run: 015, F, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 6, 18, 82, 2, 2, 82, 6, 5, 0, 9, 12, 18, 124, 65
INVAR-1, Run: 016, F, 0, 13, 0, 0, 0, 0, 0, 43, 7, 7, 0, 0, 4, 18, 40, 9, 9, 33, 7, 4, 3, 9, 11, 18, 340, 172
INVAR-1, Run: 017, F, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 6, 18, 84, 3, 1, 84, 6, 3, 2, 8, 12, 18, 224, 115
INVAR-1, Run: 018, F, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 6, 18, 28, 5, 5, 28, 6, 3, 2, 9, 12, 18, 190, 98
INVAR-1, Run: 019, F, 0, 17, 0, 0, 0, 0, 0, 13, 33, 33, 0, 0, 8, 18, 67, 1, 1, 34, 5, 4, 1, 9, 13, 18, 116, 62
INVAR-1, Run: 020, F, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 6, 18, 26, 3, 3, 26, 6, 5, 0, 9, 12, 18, 136, 71
INVAR-1, Run: 021, F, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 6, 18, 54, 7, 5, 54, 6, 4, 1, 8, 12, 18, 146, 76
INVAR-1, Run: 022, F, 0, 17, 2, 0, 0, 0, 0, 1, 47, 47, 0, 0, 8, 18, 120, 6, 6, 73, 5, 5, 0, 9, 12, 18, 134, 70
INVAR-1, Run: 023, F, 0, 15, 0, 0, 0, 0, 0, 5, 43, 43, 0, 0, 6, 18, 69, 2, 2, 26, 6, 4, 2, 9, 12, 18, 116, 61
INVAR-1, Run: 024, F, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 18, 55, 8, 8, 55, 7, 2, 4, 9, 11, 18, 238, 121
INVAR-1, Run: 025, F, 0, 17, 0, 0, 0, 0, 0, 23, 23, 23, 0, 0, 8, 18, 75, 3, 3, 52, 5, 3, 2, 9, 13, 18, 86, 47
INVAR-1, Run: 026, F, 0, 15, 0, 0, 0, 0, 0, 26, 22, 22, 0, 0, 6, 18, 130, 4, 4, 108, 6, 3, 3, 9, 12, 18, 152, 79
INVAR-1, Run: 027, F, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 6, 18, 34, 7, 5, 34, 6, 2, 3, 8, 12, 18, 72, 39
INVAR-1, Run: 028, F, 0, 13, 0, 0, 0, 0, 0, 23, 27, 27, 0, 0, 4, 18, 79, 10, 10, 52, 7, 3, 4, 9, 11, 18, 126, 65
INVAR-1, Run: 029, F, 0, 17, 0, 0, 0, 0, 0, 3, 43, 43, 0, 0, 8, 18, 101, 3, 3, 58, 5, 5, 0, 9, 13, 18, 96, 52
INVAR-1, Run: 030, F, 0, 15, 0, 0, 0, 0, 0, 21, 27, 27, 0, 0, 6, 18, 62, 8, 8, 35, 6, 5, 1, 9, 12, 18, 72, 39
