Input Number, Run_Number, Result@ 100, cpd00022_c0_, cpd00029_c0_, cpd00072_c0_, cpd00102_c0_, cpd00079_c0_, cpd00089_c0_, cpd00008_c0_, cpd00061_c0_, cpd00067_c0_, cpd00002_c0_, cpd00020_c0_, cpd00009_c0_, cpd00010_c0_, cpd00169_c0_, cpd11620_c0_, cpd00001_c0_, cpd11621_c0_, cpd00290_c0_, cpd00095_c0_, cpd00003_c0_, cpd00004_c0_, cpd00203_c0_, cpd00482_c0_
INVAR-1, Run: 001, P, 50, 0, 22, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 002, P, 50, 0, 26, 0, 0, 24, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 003, P, 50, 0, 25, 0, 0, 25, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 004, P, 50, 0, 22, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 005, P, 50, 0, 21, 0, 0, 29, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 006, P, 50, 0, 22, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 007, P, 50, 0, 29, 0, 0, 21, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 008, P, 50, 0, 23, 0, 0, 27, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 009, P, 50, 0, 31, 0, 0, 19, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 010, P, 50, 0, 26, 0, 0, 24, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 011, P, 50, 0, 28, 0, 0, 22, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 012, P, 50, 0, 24, 0, 0, 26, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 013, P, 50, 0, 22, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 014, P, 50, 0, 27, 0, 0, 23, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 015, P, 50, 0, 33, 0, 0, 17, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 016, P, 50, 0, 23, 0, 0, 27, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 017, P, 50, 0, 24, 0, 0, 26, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 018, P, 50, 0, 27, 0, 0, 23, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 019, P, 50, 0, 26, 0, 0, 24, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 020, P, 50, 0, 22, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 021, P, 50, 0, 17, 0, 0, 33, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 022, P, 50, 0, 29, 0, 0, 21, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 023, P, 50, 0, 23, 0, 0, 27, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 024, P, 50, 0, 24, 0, 0, 26, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 025, P, 50, 0, 27, 0, 0, 23, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 026, P, 50, 0, 24, 0, 0, 26, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 027, P, 50, 0, 21, 0, 0, 29, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 028, P, 50, 0, 22, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 029, P, 50, 0, 28, 0, 0, 22, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 030, P, 50, 0, 20, 0, 0, 30, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 031, P, 50, 0, 24, 0, 0, 26, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 032, P, 50, 0, 30, 0, 0, 20, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 033, P, 50, 0, 25, 0, 0, 25, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 034, P, 50, 0, 32, 0, 0, 18, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 035, P, 50, 0, 25, 0, 0, 25, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 036, P, 50, 0, 23, 0, 0, 27, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 037, P, 50, 0, 22, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 038, P, 50, 0, 26, 0, 0, 24, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 039, P, 50, 0, 28, 0, 0, 22, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 040, P, 50, 0, 28, 0, 0, 22, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 041, P, 50, 0, 23, 0, 0, 27, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 042, P, 50, 0, 23, 0, 0, 27, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 043, P, 50, 0, 23, 0, 0, 27, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 044, P, 50, 0, 28, 0, 0, 22, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 045, P, 50, 0, 20, 0, 0, 30, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 046, P, 50, 0, 27, 0, 0, 23, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 047, P, 50, 0, 26, 0, 0, 24, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 048, P, 50, 0, 28, 0, 0, 22, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 049, P, 50, 0, 31, 0, 0, 19, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 050, P, 50, 0, 24, 0, 0, 26, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 051, P, 50, 0, 25, 0, 0, 25, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 052, P, 50, 0, 28, 0, 0, 22, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 053, P, 50, 0, 24, 0, 0, 26, 0, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 0
