Input Number, Run_Number, Result@ 100, PO, H, PE, X1, M, CE, Y, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 037, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 20, 77, 7, 4, 6, 11, 18, 27, 31, 77
INVAR-1, Run: 038, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 34, 119, 6, 7, 4, 12, 18, 27, 46, 119
INVAR-1, Run: 039, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 34, 48, 6, 5, 6, 12, 18, 27, 46, 48
INVAR-1, Run: 040, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 18, 86, 6, 6, 5, 12, 18, 27, 30, 86
INVAR-1, Run: 041, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 12, 80, 7, 6, 4, 11, 18, 27, 23, 80
INVAR-1, Run: 042, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 18, 68, 6, 7, 4, 12, 18, 27, 30, 68
INVAR-1, Run: 043, P, 0, 0, 1, 0, 0, 14, 14, 0, 0, 54, 0, 10, 18, 42, 94, 4, 8, 5, 14, 18, 27, 56, 94
INVAR-1, Run: 044, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 46, 231, 6, 9, 2, 12, 18, 27, 58, 231
INVAR-1, Run: 045, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 27, 125, 6, 8, 3, 12, 18, 27, 39, 125
INVAR-1, Run: 046, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 18, 62, 8, 5, 4, 10, 18, 27, 28, 62
INVAR-1, Run: 047, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 23, 52, 6, 6, 5, 12, 18, 27, 35, 52
INVAR-1, Run: 048, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 37, 167, 6, 6, 5, 12, 18, 27, 49, 167
INVAR-1, Run: 049, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 14, 39, 8, 5, 4, 10, 18, 27, 24, 39
INVAR-1, Run: 050, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 29, 164, 6, 8, 3, 12, 18, 27, 41, 164
INVAR-1, Run: 051, P, 0, 0, 1, 0, 0, 14, 14, 0, 0, 54, 0, 10, 18, 32, 193, 4, 9, 4, 14, 18, 27, 46, 193
INVAR-1, Run: 052, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 19, 50, 8, 6, 3, 10, 18, 27, 29, 50
INVAR-1, Run: 053, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 24, 72, 7, 6, 4, 11, 18, 27, 35, 72
INVAR-1, Run: 054, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 39, 104, 6, 2, 9, 12, 18, 27, 51, 104
INVAR-1, Run: 055, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 40, 142, 5, 3, 9, 13, 18, 27, 53, 142
INVAR-1, Run: 056, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 25, 107, 5, 7, 5, 13, 18, 27, 38, 107
INVAR-1, Run: 057, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 20, 39, 6, 6, 5, 12, 18, 27, 32, 39
INVAR-1, Run: 058, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 32, 79, 6, 4, 7, 12, 18, 27, 44, 79
INVAR-1, Run: 059, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 24, 76, 6, 8, 3, 12, 18, 27, 36, 76
INVAR-1, Run: 060, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 27, 116, 7, 5, 5, 11, 18, 27, 38, 116
INVAR-1, Run: 061, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 13, 49, 5, 9, 3, 13, 18, 27, 26, 49
INVAR-1, Run: 062, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 38, 80, 5, 7, 5, 13, 18, 27, 51, 80
INVAR-1, Run: 063, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 24, 116, 6, 7, 4, 12, 18, 27, 36, 116
INVAR-1, Run: 064, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 21, 145, 6, 6, 5, 12, 18, 27, 33, 145
INVAR-1, Run: 065, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 15, 108, 7, 8, 2, 11, 18, 27, 26, 108
INVAR-1, Run: 066, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 23, 72, 5, 11, 1, 13, 18, 27, 36, 72
INVAR-1, Run: 067, P, 0, 0, 1, 0, 0, 14, 14, 0, 0, 54, 0, 10, 18, 24, 63, 4, 5, 8, 14, 18, 27, 38, 63
INVAR-1, Run: 068, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 33, 75, 6, 4, 7, 12, 18, 27, 45, 75
INVAR-1, Run: 069, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 46, 148, 5, 6, 6, 13, 18, 27, 59, 148
INVAR-1, Run: 070, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 17, 114, 8, 6, 3, 10, 18, 27, 27, 114
INVAR-1, Run: 071, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 28, 168, 7, 6, 4, 11, 18, 27, 39, 168
INVAR-1, Run: 072, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 33, 94, 6, 8, 3, 12, 18, 27, 45, 94
INVAR-1, Run: 073, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 21, 45, 6, 4, 7, 12, 18, 27, 33, 45
INVAR-1, Run: 074, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 14, 83, 8, 8, 1, 10, 18, 27, 24, 83
INVAR-1, Run: 075, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 20, 94, 6, 7, 4, 12, 18, 27, 32, 94
INVAR-1, Run: 076, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 31, 187, 5, 7, 5, 13, 18, 27, 44, 187
INVAR-1, Run: 077, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 28, 96, 7, 4, 6, 11, 18, 27, 39, 96
INVAR-1, Run: 078, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 29, 137, 7, 4, 6, 11, 18, 27, 40, 137
INVAR-1, Run: 079, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 19, 50, 7, 8, 2, 11, 18, 27, 30, 50
INVAR-1, Run: 080, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 22, 88, 7, 9, 1, 11, 18, 27, 33, 88
INVAR-1, Run: 081, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 32, 139, 6, 5, 6, 12, 18, 27, 44, 139
INVAR-1, Run: 082, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 30, 99, 6, 6, 5, 12, 18, 27, 42, 99
INVAR-1, Run: 083, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 16, 66, 7, 4, 6, 11, 18, 27, 27, 66
INVAR-1, Run: 084, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 40, 146, 6, 7, 4, 12, 18, 27, 52, 146
INVAR-1, Run: 085, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 28, 30, 5, 4, 8, 13, 18, 27, 41, 30
INVAR-1, Run: 086, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 29, 139, 6, 6, 5, 12, 18, 27, 41, 139
INVAR-1, Run: 087, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 21, 105, 6, 3, 8, 12, 18, 27, 33, 105
INVAR-1, Run: 088, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 8, 55, 7, 4, 6, 11, 18, 27, 19, 55
INVAR-1, Run: 089, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 20, 94, 8, 6, 3, 10, 18, 27, 30, 94
INVAR-1, Run: 090, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 21, 63, 7, 6, 4, 11, 18, 27, 32, 63
INVAR-1, Run: 091, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 32, 133, 5, 3, 9, 13, 18, 27, 45, 133
INVAR-1, Run: 092, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 32, 90, 7, 4, 6, 11, 18, 27, 43, 90
INVAR-1, Run: 093, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 38, 187, 7, 5, 5, 11, 18, 27, 49, 187
INVAR-1, Run: 094, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 26, 141, 6, 8, 3, 12, 18, 27, 38, 141
INVAR-1, Run: 095, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 22, 69, 7, 5, 5, 11, 18, 27, 33, 69
INVAR-1, Run: 096, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 15, 47, 6, 7, 4, 12, 18, 27, 27, 47
INVAR-1, Run: 097, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 18, 105, 6, 6, 5, 12, 18, 27, 30, 105
INVAR-1, Run: 098, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 24, 90, 6, 6, 5, 12, 18, 27, 36, 90
INVAR-1, Run: 099, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 23, 37, 5, 6, 6, 13, 18, 27, 36, 37
INVAR-1, Run: 100, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 23, 102, 6, 6, 5, 12, 18, 27, 35, 102
INVAR-10, Run: 001, P, 0, 0, 1, 0, 0, 113, 113, 0, 0, 600, 0, 26, 200, 1033, 4510, 87, 68, 44, 113, 200, 300, 1146, 4510
INVAR-10, Run: 002, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 909, 3123, 91, 57, 51, 109, 200, 300, 1018, 3123
INVAR-10, Run: 003, P, 0, 0, 1, 0, 0, 112, 112, 0, 0, 600, 0, 24, 200, 1062, 5115, 88, 64, 47, 112, 200, 300, 1174, 5115
INVAR-10, Run: 004, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 1022, 4363, 89, 72, 38, 111, 200, 300, 1133, 4363
INVAR-10, Run: 005, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 961, 5269, 90, 70, 39, 110, 200, 300, 1071, 5269
INVAR-10, Run: 006, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 953, 4022, 91, 65, 43, 109, 200, 300, 1062, 4022
INVAR-10, Run: 007, P, 0, 0, 1, 0, 0, 112, 112, 0, 0, 600, 0, 24, 200, 912, 5473, 88, 63, 48, 112, 200, 300, 1024, 5473
INVAR-10, Run: 008, P, 0, 0, 1, 0, 0, 112, 112, 0, 0, 600, 0, 24, 200, 1186, 5904, 88, 71, 40, 112, 200, 300, 1298, 5904
INVAR-10, Run: 009, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 920, 3725, 89, 61, 49, 111, 200, 300, 1031, 3725
INVAR-10, Run: 010, P, 0, 0, 1, 0, 0, 107, 107, 0, 0, 600, 0, 14, 200, 1048, 3972, 93, 65, 41, 107, 200, 300, 1155, 3972
INVAR-10, Run: 011, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 1062, 4846, 92, 58, 49, 108, 200, 300, 1170, 4846
INVAR-10, Run: 012, P, 0, 0, 1, 0, 0, 113, 113, 0, 0, 600, 0, 26, 200, 1078, 4635, 87, 60, 52, 113, 200, 300, 1191, 4635
INVAR-10, Run: 013, P, 0, 0, 1, 0, 0, 112, 112, 0, 0, 600, 0, 24, 200, 1076, 5723, 88, 62, 49, 112, 200, 300, 1188, 5723
INVAR-10, Run: 014, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 985, 4644, 92, 67, 40, 108, 200, 300, 1093, 4644
INVAR-10, Run: 015, P, 0, 0, 1, 0, 0, 117, 117, 0, 0, 600, 0, 34, 200, 1288, 5074, 83, 59, 57, 117, 200, 300, 1405, 5074
INVAR-10, Run: 016, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 911, 4203, 90, 57, 52, 110, 200, 300, 1021, 4203
INVAR-10, Run: 017, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 972, 4453, 91, 70, 38, 109, 200, 300, 1081, 4453
INVAR-10, Run: 018, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 972, 5471, 91, 68, 40, 109, 200, 300, 1081, 5471
INVAR-10, Run: 019, P, 0, 0, 1, 0, 0, 113, 113, 0, 0, 600, 0, 26, 200, 1284, 5590, 87, 65, 47, 113, 200, 300, 1397, 5590
INVAR-10, Run: 020, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 925, 4701, 91, 73, 35, 109, 200, 300, 1034, 4701
INVAR-10, Run: 021, P, 0, 0, 1, 0, 0, 107, 107, 0, 0, 600, 0, 14, 200, 1392, 6006, 93, 56, 50, 107, 200, 300, 1499, 6006
INVAR-10, Run: 022, P, 0, 0, 1, 0, 0, 106, 106, 0, 0, 600, 0, 12, 200, 947, 4860, 94, 61, 44, 106, 200, 300, 1053, 4860
INVAR-10, Run: 023, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 1091, 4987, 89, 72, 38, 111, 200, 300, 1202, 4987
INVAR-10, Run: 024, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 1061, 5692, 91, 59, 49, 109, 200, 300, 1170, 5692
INVAR-10, Run: 025, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 1011, 4346, 89, 70, 40, 111, 200, 300, 1122, 4346
INVAR-10, Run: 026, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 1050, 4489, 90, 63, 46, 110, 200, 300, 1160, 4489
INVAR-10, Run: 027, P, 0, 0, 1, 0, 0, 113, 113, 0, 0, 600, 0, 26, 200, 1152, 5007, 87, 74, 38, 113, 200, 300, 1265, 5007
INVAR-10, Run: 028, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 1084, 4493, 90, 58, 51, 110, 200, 300, 1194, 4493
INVAR-10, Run: 029, P, 0, 0, 1, 0, 0, 112, 112, 0, 0, 600, 0, 24, 200, 1308, 4222, 88, 66, 45, 112, 200, 300, 1420, 4222
INVAR-10, Run: 030, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 887, 3689, 91, 66, 42, 109, 200, 300, 996, 3689
INVAR-10, Run: 031, P, 0, 0, 1, 0, 0, 113, 113, 0, 0, 600, 0, 26, 200, 1011, 3935, 87, 69, 43, 113, 200, 300, 1124, 3935
INVAR-10, Run: 032, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 1106, 4894, 92, 55, 52, 108, 200, 300, 1214, 4894
INVAR-10, Run: 033, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 1103, 4982, 90, 69, 40, 110, 200, 300, 1213, 4982
INVAR-10, Run: 034, P, 0, 0, 1, 0, 0, 107, 107, 0, 0, 600, 0, 14, 200, 793, 4182, 93, 65, 41, 107, 200, 300, 900, 4182
INVAR-10, Run: 035, P, 0, 0, 1, 0, 0, 107, 107, 0, 0, 600, 0, 14, 200, 1071, 4630, 93, 60, 46, 107, 200, 300, 1178, 4630
INVAR-10, Run: 036, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 1400, 5589, 90, 58, 51, 110, 200, 300, 1510, 5589
INVAR-10, Run: 037, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 952, 4105, 90, 57, 52, 110, 200, 300, 1062, 4105
INVAR-10, Run: 038, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 979, 3440, 90, 62, 47, 110, 200, 300, 1089, 3440
INVAR-10, Run: 039, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 1092, 4622, 91, 62, 46, 109, 200, 300, 1201, 4622
INVAR-10, Run: 040, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 1104, 5315, 90, 66, 43, 110, 200, 300, 1214, 5315
INVAR-10, Run: 041, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 951, 3876, 92, 62, 45, 108, 200, 300, 1059, 3876
INVAR-10, Run: 042, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 989, 4555, 92, 60, 47, 108, 200, 300, 1097, 4555
INVAR-10, Run: 043, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 1060, 4924, 91, 68, 40, 109, 200, 300, 1169, 4924
INVAR-10, Run: 044, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 1076, 4856, 92, 75, 32, 108, 200, 300, 1184, 4856
INVAR-10, Run: 045, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 846, 3785, 89, 69, 41, 111, 200, 300, 957, 3785
INVAR-10, Run: 046, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 886, 5322, 90, 63, 46, 110, 200, 300, 996, 5322
INVAR-10, Run: 047, P, 0, 0, 1, 0, 0, 113, 113, 0, 0, 600, 0, 26, 200, 1247, 4315, 87, 57, 55, 113, 200, 300, 1360, 4315
INVAR-10, Run: 048, P, 0, 0, 1, 0, 0, 114, 114, 0, 0, 600, 0, 28, 200, 961, 4660, 86, 73, 40, 114, 200, 300, 1075, 4660
INVAR-10, Run: 049, P, 0, 0, 1, 0, 0, 106, 106, 0, 0, 600, 0, 12, 200, 791, 4026, 94, 65, 40, 106, 200, 300, 897, 4026
INVAR-10, Run: 050, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 1186, 6954, 92, 60, 47, 108, 200, 300, 1294, 6954
INVAR-10, Run: 051, P, 0, 0, 1, 0, 0, 106, 106, 0, 0, 600, 0, 12, 200, 949, 3909, 94, 61, 44, 106, 200, 300, 1055, 3909
INVAR-10, Run: 052, P, 0, 0, 1, 0, 0, 110, 110, 0, 0, 600, 0, 20, 200, 941, 3979, 90, 63, 46, 110, 200, 300, 1051, 3979
INVAR-10, Run: 053, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 991, 4761, 92, 61, 46, 108, 200, 300, 1099, 4761
INVAR-10, Run: 054, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 995, 4688, 92, 60, 47, 108, 200, 300, 1103, 4688
INVAR-10, Run: 055, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 993, 6226, 89, 59, 51, 111, 200, 300, 1104, 6226
INVAR-10, Run: 056, P, 0, 0, 1, 0, 0, 113, 113, 0, 0, 600, 0, 26, 200, 959, 4388, 87, 74, 38, 113, 200, 300, 1072, 4388
INVAR-10, Run: 057, P, 0, 0, 1, 0, 0, 107, 107, 0, 0, 600, 0, 14, 200, 843, 4110, 93, 66, 40, 107, 200, 300, 950, 4110
INVAR-10, Run: 058, P, 0, 0, 1, 0, 0, 107, 107, 0, 0, 600, 0, 14, 200, 809, 4148, 93, 65, 41, 107, 200, 300, 916, 4148
INVAR-10, Run: 059, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 1022, 3685, 91, 53, 55, 109, 200, 300, 1131, 3685
